sector,State,mpi_edu,mpi_att,mpi_cm,mpi_nutri,mpi_elec,mpi_toilet,mpi_water,mpi_fuel,mpi_asset,level,area,bpl,aadhar,household_has_preg_benefits,household_health_met,household_angan_benefits,dem,food_pds_subs,kerosene_pds_subs,food_pds_free,lpg_subs,elec_free,pmjay_ben,pmjay_ben_avail,real_wage_23,JQdim365,JQdim215,POV_365,POV_215,lf_cws,emp_cws,unpaid_emp,unemp_cws,neet,lfpr_female,unemp_female,m_poor_1_33_2019,m_poor_1_20_2019,m_poor_1_33_2015,m_poor_1_20_2015,poor_300_2011,poor_420_2011,poor_300_2022,poor_420_2022,poor_300_2023,poor_420_2023,fhiscore,rank202223,totalgva,india_gva,state_share_india,welfare_agg21_sp,india_welfare,welfare_pct_india
Urban,Assam,6.60245046,2.115938067,1.028717868,22.92992622,0.943193119,30.60597479,8.99746269,13.2136628,8.881279081,State,urban/rural,0.30200699,0.39438507,0.205859333,0.269035071,0.204099253,All Households,0.30579868,0,0.137423977,0.441755176,0.021688731,0.256503314,0.004270651,15644.79688,1.528669834,1.655044675,0.22890082,0.136845633,0.542045176,0.500617921,0.055465769,0.076427639,0.304931611,0.288537234,0.126593933,0.078,0.23,0.110861465,0.25999999,0.24499883,0.46308798,0.028541261,0.16418132,0.022240831,0.075103194,,,1831232.5,93310664,1.9625115,4171.8398,,118.62277
All,Assam,12.34765276,4.298422858,1.763597317,31.87712729,7.440409809,31.56186044,14.93241191,59.36610699,15.03738463,State,All,0.500756919,0.21664837,0.312341839,0.381634116,0.309737682,All Households,0.585698068,0.000293971,0.237262368,0.272091866,0.020448044,0.568068206,0.012237087,10541.00684,0.98815769,1.208057761,0.350294352,0.216070414,0.637745678,0.604532659,0.107849523,0.052078713,0.285871238,0.445786595,0.069329403,0.214,0.43000001,0.361947924,0.56999999,0.37164414,0.71853667,0.087663561,0.3639318,0.041973755,0.25340924,,,1831232.5,93310664,1.9625115,3034.05,,86.270668
Rural,Bihar,24.12932366,11.20897159,4.347765073,43.91128421,3.659801185,54.40142155,1.704400592,70.66609859,21.75294906,State,urban/rural,0.602115393,0.989220321,0.319522649,0.314317942,0.340337902,All Households,0.022180039,0.027993277,0.758646488,0.381257415,0.018794097,0.100971133,0.002573402,12054.7373,0.95067817,1.063650727,0.289973795,0.198775649,0.521696508,0.505796731,0.190899521,0.030477114,0.311254084,0.281663299,0.013180119,0.381,0.58999997,0.567896903,0.75999999,0.41061211,0.79258978,0.079715282,0.35844949,0.043747075,0.22750472,27.799999,13,2753584,93310664,2.9509854,3124.4387,,88.84079
Urban,Bihar,12.49888688,7.396821678,3.01681906,32.87518919,3.705040365,31.37969673,1.396753918,23.85739684,12.1176213,State,urban/rural,0.398872524,0.987440944,0.212217122,0.204167634,0.255876392,All Households,0.01850603,0.009544254,0.498279631,0.55428952,0.022790954,0.090859368,0.001758178,13799.97266,1.361638546,1.438985825,0.191599727,0.130237877,0.428198427,0.39653039,0.084881775,0.073956467,0.277436018,0.154124454,0.081113301,0.164,0.31,0.226400182,0.40000001,0.36922237,0.66670513,0.052665599,0.23286927,0.013677767,0.11103174,27.799999,13,2753584,93310664,2.9509854,3623.7522,,103.03835
All,Bihar,22.30044156,10.60951278,4.138474166,42.17586219,3.666914999,50.78126192,1.656023227,63.30544949,20.2377975,State,All,0.570409656,0.988942742,0.303372324,0.297421932,0.327625811,All Households,0.021823263,0.026201724,0.733362734,0.398060262,0.019182226,0.099989198,0.002494237,12433.63672,0.980897486,1.09125042,0.282739997,0.193735823,0.51236701,0.494893819,0.182423368,0.034102909,0.307866335,0.269531488,0.016875228,0.347,0.55000001,0.524269283,0.72000003,0.40651441,0.78012681,0.077590927,0.34858704,0.040867403,0.21635035,27.799999,13,2753584,93310664,2.9509854,3159.4231,,89.835541
Rural,Chandigarh,0,10.67961156,3.883495182,18.44660193,0,52.42718458,0,5.825242773,1.941747591,State,urban/rural,0,1,0.352941185,0.052631579,0.235294119,All Households,0.009135637,0,0,0.155936971,0.005648449,0.044168398,0,12720.35059,1.948495388,2.099487782,0.0765692,0.000688025,,,,,,,,0.039,0.2,0.24742268,0.56999999,0.06462314,0.37278336,0,0,0,0,,,139528.59,93310664,0.14953125,6285.4302,,178.72093
Urban,Chandigarh,4.584967345,3.86223495,1.124735642,21.52946591,0.041284441,17.27840453,3.259894997,5.198538303,0.564754335,State,urban/rural,0.082201064,0.993985534,0.208395138,0.096371993,0.236228317,All Households,0.002899359,0,0,0.153203398,0.003034199,0.055024795,0.006000916,24685.06836,2.372914314,2.407095909,0.058735326,0.036443353,0.545748353,0.492129654,0.01838286,0.09824805,0.202268034,0.312313855,0.19604066,0.039,0.11,0.039430618,0.090000004,0.1607261,0.37659946,0,0,0,0,,,139528.59,93310664,0.14953125,8190.1353,,232.87962
All,Chandigarh,4.523243755,3.954011202,1.161874365,21.48796469,0.040728666,17.75158197,3.21600996,5.206974968,0.583291566,State,All,0.081430003,0.99404192,0.21024254,0.095826939,0.236216366,All Households,0.003177065,0,0,0.153325126,0.003150613,0.054541349,0.005733691,22564.12305,2.348595381,2.389470339,0.059757188,0.034394607,0.545748353,0.492129654,0.01838286,0.09824805,0.202268034,0.312313855,0.19604066,0.039,0.11,0.047691967,0.11,0.15302865,0.37629381,0,0,0,0,,,139528.59,93310664,0.14953125,8048.9829,,228.86607
Rural,Chhattisgarh,12.14030087,5.985134095,2.602070756,37.41309941,1.366194803,26.475963,9.869392216,80.32316566,12.13536933,State,urban/rural,0.91323626,0.995935261,0.374565333,0.458955944,0.34968996,All Households,0.958870649,0.037826591,0.948221087,0.265532315,0.034639958,0.856002569,0.049302593,6066.048828,0.462370574,0.755468845,0.689490914,0.470750749,0.662278175,0.628065884,0.34170565,0.051658496,0.248520553,0.504893899,0.039611001,0.215,0.47999999,0.441400111,0.64999998,0.39481023,0.79349113,0.21540222,0.51471281,0.095651746,0.38355139,55.200001,2,2024219.9,93310664,2.1693339,2728.9636,,77.595787
Urban,Chhattisgarh,5.029311031,3.848370165,1.382251177,27.32259333,0.565438578,11.73311323,3.078472055,19.5830524,4.76199165,State,urban/rural,0.714938045,0.992333114,0.275973707,0.332832545,0.260539353,All Households,0.590324461,0.000962383,0.561946332,0.659162819,0.041535694,0.750092506,0.054686263,10413.18164,1.172816277,1.463329077,0.420567632,0.22746256,0.546211123,0.490078568,0.091329105,0.102767177,0.30032742,0.305607051,0.133994922,0.051,0.19,0.118770704,0.28,0.30798441,0.56527132,0.070788026,0.24990885,0.027577957,0.15007442,55.200001,2,2024219.9,93310664,2.1693339,3628.0376,,103.1602
All,Chhattisgarh,10.56827158,5.512758717,2.332404628,35.18238664,1.189171243,23.21675271,8.368120342,66.89531803,10.50533354,State,All,0.868469238,0.995122015,0.351737052,0.429673821,0.32904768,All Households,0.875949502,0.029532315,0.861311078,0.354097337,0.036191467,0.832173288,0.050513893,6532.866211,0.577391028,0.870070696,0.645952523,0.431362629,0.638577998,0.599889696,0.299938917,0.060585056,0.258540273,0.465057969,0.052008972,0.179,0.41999999,0.367861927,0.56999999,0.37511781,0.74172997,0.1874423,0.46351525,0.081770487,0.33594197,55.200001,2,2024219.9,93310664,2.1693339,2869.3486,,81.587517
Rural,Dadra & Nagar Haveli and Daman & Diu,9.841170907,3.218494728,1.914797723,44.67619658,0.52738646,36.98186278,7.896853983,39.55208063,17.8416729,State,urban/rural,0.529470325,0.992746651,0.314693123,0.506867409,0.332123578,All Households,0.008345609,0,0.662927568,0.012333432,0.008151444,0.543259442,0.009206218,,,,,,,,,,,,,0.222,0.47,0.460197479,0.63999999,0.40370467,0.71284509,0.1948013,0.41775808,0.03245632,0.36002097,,,,,,2766.4565,,78.661865
Urban,Dadra & Nagar Haveli and Daman & Diu,6.202181429,3.370344639,1.503208838,29.81466055,0.143655238,31.78589344,3.355497122,2.839357406,15.55165648,State,urban/rural,0.336255163,0.988220394,0.243252665,0.472984582,0.287696809,All Households,0,0,0.156070665,0.007738679,0.012628093,0.273512006,0,,,,,,,,,,,,,0.051,0.18000001,0.05764953,0.23,0.10587573,0.3354995,0.009747067,0.099094391,0,0.051976375,,,,,,3992.7124,,113.52943
All,Dadra & Nagar Haveli and Daman & Diu,8.153058589,3.28893736,1.723863371,37.78198957,0.349375093,34.57147479,5.790136755,22.52119631,16.77934378,State,All,0.426442891,0.99033314,0.279498875,0.489833027,0.310237288,All Households,0.002438505,0,0.304169297,0.009081221,0.01132006,0.352329552,0.002689967,,,,,,,,,,,,,0.143,0.34,0.243598327,0.41999999,0.27880633,0.55460042,0.089575283,0.23655869,0.011036836,0.15672755,,,,,,3509.991,,99.803642
Rural,Dadra and Nagar Haveli and Daman and Diu,,,,,,,,,,State,urban/rural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban,Dadra and Nagar Haveli and Daman and Diu,,,,,,,,,,State,urban/rural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Dadra and Nagar Haveli and Daman and Diu,,,,,,,,,,State,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rural,Daman and Diu,,,,,,,,,,state,urban/rural,,,,,,All,,,,,,,,,1.262664318,1.427535176,0.418608427,0.290514588,0.735097647,0.710750341,0.203319907,0.033121191,0.320641994,0.608080745,0,,,,,,,,,,,,,,,,,,
Urban,Daman and Diu,,,,,,,,,,state,urban/rural,,,,,,All,,,,,,,,,2.047721148,2.139268637,0.130844444,0.088064499,0.616879404,0.597532928,0.024846312,0.031361837,0.246082827,0.236173943,0.053447008,,,,,,,,,,,,,,,,,,
All,Daman and Diu,,,,,,,,,,state,All,,,,,,All,,,,,,,,,1.740863919,1.861071467,0.243323535,0.167196706,0.665987849,0.644564033,0.106598005,0.032168522,0.279395193,0.405942917,0.01690067,,,,,,,,,,,,,,,,,,
Rural,Delhi,3.049911745,1.288070064,1.905961707,20.35413086,0.065128581,12.54713982,2.216629311,1.932769828,2.319395356,State,urban/rural,0.243540406,0.981727242,0.343327969,0.451958328,0.404774755,All Households,0.138575301,0.003058238,0.078998029,0.007795581,0.321714878,0,0,19069.80078,1.716517329,1.811520815,0.050934002,0.000623868,0.525102913,0.493746042,0.028572045,0.05971561,0.323251009,0.17943272,0.19462274,0.024,0.07,0.026828697,0.12,0.045590658,0.31703547,0.008511367,0.068541244,0,0.024838936,,,2073981.8,93310664,2.2226632,4725.6157,,134.36891
Urban,Delhi,4.392629489,2.804476954,1.364486758,20.43932825,0.143328274,19.42001581,1.909379661,0.884287152,4.52487357,State,urban/rural,0.128932387,0.992153883,0.190940127,0.23588571,0.22617273,All Households,0.140088737,0,0.068021394,0.008219555,0.348204494,0.00082246,0.000699016,17912.51953,1.591772676,1.63122201,0.095738798,0.065973766,0.461057574,0.445500016,0.048457034,0.03374321,0.225795686,0.182487026,0.025560724,0.034,0.11,0.042732447,0.19,0.10817908,0.28937799,0.01634378,0.096701704,0.003888334,0.027951844,,,2073981.8,93310664,2.2226632,4754.9097,,135.20187
All,Delhi,4.359808564,2.767410316,1.377722342,20.43724507,0.141416781,19.25201714,1.916890033,0.909915939,4.470963404,State,All,0.13125439,0.991942644,0.194434404,0.240594223,0.230268091,All Households,0.140052408,7.34047E-05,0.068284862,0.008209378,0.347568661,0.000802719,0.000682238,17912.51953,1.594403863,1.635024905,0.094793752,0.064595371,0.462509423,0.446593702,0.047958668,0.034411661,0.228478119,0.182420388,0.02918924,0.034,0.11,0.042600293,0.19,0.10284814,0.29173368,0.016200904,0.096188009,0.003789265,0.027872531,,,2073981.8,93310664,2.2226632,4754.9097,,135.20187
Rural,Goa,3.68944481,0.913096033,0.411408301,22.3017931,0,14.16427344,2.425623685,5.665533617,1.97795406,State,urban/rural,0.417593628,0.998494208,0.30678001,0.195855767,0.245178685,All Households,0.30703637,0,0.509164035,0,0.001118866,0.344696015,0.028442627,21730.59961,2.266919613,2.300829172,0.113425359,0.093002774,0.505853057,0.455485553,0.066339359,0.099569462,0.165542558,0.244728982,0.122837871,0.028,0.1,0.077603497,0.22,0.053188156,0.32250997,0.002548154,0.024382368,0.000318306,0.036312647,53.599998,3,374228.25,93310664,0.40105626,5666.7451,,161.12914
Urban,Goa,1.743590645,0.556277065,0.368958199,18.78946573,0,10.95404327,0.898568612,0.477334531,1.626414433,State,urban/rural,0.246750414,0.997049212,0.304659903,0.1800991,0.255635858,All Households,0.385805786,0,0.205113754,0,0,0.243656248,0.02781048,21157.89648,2.621023655,2.644743919,0.068647854,0.047569215,0.505915463,0.46666491,0.021311125,0.077583298,0.263341874,0.290699542,0.185309708,0.004,0.059999999,0.041291807,0.11,0.046231683,0.19444485,0.007130097,0.011723981,0.001493051,0.01343594,53.599998,3,374228.25,93310664,0.40105626,5825.937,,165.65562
All,Goa,2.527759224,0.700073177,0.386065361,20.20491511,0,12.24774867,1.513963472,2.568150498,1.768082939,State,All,0.316131294,0.99763602,0.305490047,0.186387435,0.251541346,All Households,0.356241435,0,0.319232225,0,0.000419942,0.281579286,0.028047742,21604.80859,2.484782457,2.512423038,0.085875958,0.06504973,0.505889237,0.461962938,0.039984096,0.086829841,0.223371029,0.271507859,0.161801428,0.014,0.079999998,0.054931805,0.15000001,0.049780488,0.25977653,0.005134127,0.017238183,0.001003884,0.022961875,53.599998,3,374228.25,93310664,0.40105626,5736.1177,,163.1017
Rural,Gujarat,10.33831984,6.157227606,2.347060293,44.46475208,3.767795861,36.74650192,8.176106215,55.35080433,16.38070345,State,urban/rural,0.450586021,0.984671116,0.34587577,0.502999425,0.326437503,All Households,0.440812707,0,0.565330029,0.081434153,0.005760091,0.343667477,0.021320207,9346.6875,0.836921394,1.023838282,0.4676193,0.328505158,0.678111911,0.668119311,0.233072713,0.014735887,0.239674479,0.507019579,0.00746405,0.214,0.47,0.325457245,0.57999998,0.34553111,0.70168942,0.044235144,0.29172641,0.026497511,0.23765494,50.5,5,9306908,93310664,9.9741096,3084.0901,,87.69352
Urban,Gujarat,4.499176517,3.498942032,1.044400036,28.96468341,0.55998764,10.77398434,1.229212899,5.247257277,4.214763641,State,urban/rural,0.214818016,0.986708522,0.213968962,0.332759857,0.205462322,All Households,0.118639857,0,0.138110593,0.025916232,0.008306767,0.191988274,0.017958425,15344.68848,1.364911556,1.482759118,0.25132826,0.175043866,0.543635428,0.524358928,0.06269037,0.035458501,0.266703099,0.278046817,0.043728195,0.043,0.11,0.069702595,0.18000001,0.17952804,0.38857871,0.025759637,0.12371254,0.007401744,0.062289156,50.5,5,9306908,93310664,9.9741096,4165.8018,,118.45107
All,Gujarat,7.939845324,5.065315589,1.811982319,38.09797764,2.450163104,26.07808411,5.322614685,34.77037251,11.38344631,State,All,0.349091679,0.985548198,0.290690422,0.430721998,0.27582559,All Households,0.285868436,0,0.359865129,0.054733627,0.006984877,0.270719618,0.019703409,11119.33984,1.037058949,1.197794676,0.385632992,0.27033481,0.620744705,0.606791675,0.170262396,0.022477947,0.250916123,0.410977006,0.017755054,0.144,0.31999999,0.217333123,0.41,0.27932021,0.5768041,0.036840986,0.22448491,0.018316381,0.16252361,50.5,5,9306908,93310664,9.9741096,3470.8506,,98.690727
Rural,Haryana,5.985795334,4.616883025,2.122780494,28.77037525,0.498474808,15.48547447,8.942996711,59.83303785,5.940575898,State,urban/rural,0.27966398,0.994884729,0.323572457,0.397727877,0.314896911,All Households,0.614172637,0,0.547504246,0.439088732,0.015604584,0.30315733,0.024662528,13649.56543,1.292409658,1.402541518,0.235376984,0.152168408,0.4821845,0.458631486,0.132280111,0.048846453,0.309015781,0.233013928,0.028860545,0.086,0.30000001,0.133340582,0.38,0.11364181,0.36588582,0.043565594,0.15770671,0.002330782,0.040784672,27.4,14,3534732,93310664,3.7881329,4232.8877,,120.35861
Urban,Haryana,4.561418667,3.661050275,1.260704175,20.74057907,0.202667317,14.43035454,2.057364397,10.75088754,3.731519729,State,urban/rural,0.197521165,0.994909585,0.219956726,0.260863215,0.219417974,All Households,0.259884626,0,0.237563476,0.23208642,0.005875834,0.17963849,0.00692533,17137.89453,1.822360992,1.913556337,0.141259015,0.07385575,0.479349971,0.456985205,0.059241708,0.046656437,0.241432801,0.201947495,0.038813084,0.041,0.14,0.070892476,0.19,0.093805112,0.25198409,0.027547117,0.10698679,0.002206185,0.026594378,27.4,14,3534732,93310664,3.7881329,4824.4341,,137.17874
All,Haryana,5.524732172,4.307484999,1.843730919,26.17117167,0.402723486,15.14393687,6.714154035,43.94540191,5.225515738,State,All,0.250739813,0.994893491,0.289020717,0.351155907,0.283058465,All Households,0.467789203,0,0.419444054,0.353560269,0.011584894,0.252122253,0.017333936,15644.79688,1.485078812,1.588326097,0.201159447,0.123697042,0.481071353,0.457984984,0.103659868,0.047989491,0.282713264,0.220854133,0.032422613,0.072,0.25,0.109279878,0.31,0.10768994,0.33171037,0.037721168,0.13920127,0.002284517,0.035515532,27.4,14,3534732,93310664,3.7881329,4350.1235,,123.69212
Rural,Himachal Pradesh,4.901954159,0.845700968,1.17129311,24.33661371,0.461655203,18.6607033,5.442658439,59.55459476,6.938928366,State,urban/rural,0.208448216,0.995701075,0.290364385,0.419426203,0.261358351,All Households,0.886952877,0,0.055909216,0.633689582,0.783066034,0.577908099,0.164769918,7738.213379,0.771544576,0.959833264,0.575163424,0.443618,0.701655388,0.648020506,0.197061256,0.076440521,0.24763912,0.623646796,0.090435237,0.057,0.25,0.087313317,0.31,0.049615297,0.29236123,0.005679009,0.057282738,0,0.023137687,,,931463.38,93310664,0.99823892,4708.9126,,133.89398
Urban,Himachal Pradesh,2.778236195,1.316856872,0.341698923,13.6467889,1.093076356,15.47667831,3.073682822,6.595760584,5.443560332,State,urban/rural,0.080882087,0.998295903,0.233110815,0.199179426,0.219517723,All Households,0.390852481,0,0.008159203,0.458202899,0.579380751,0.386106968,0.06113388,15941.33691,2.025566101,2.147826672,0.191238329,0.108687058,0.623321176,0.56790036,0.066212878,0.088912174,0.176557347,0.431527555,0.179796845,0.023,0.079999998,0.021495536,0.1,0.039600223,0.15740182,0.020113772,0.054529775,0,0.016806211,,,931463.38,93310664,0.99823892,5495.4316,,156.25798
All,Himachal Pradesh,4.628386721,0.906393118,1.064428501,22.9595989,0.542992027,18.25055182,5.137497559,52.73267627,6.7463018,State,All,0.189977884,0.996076763,0.282996982,0.389654428,0.255974293,All Households,0.819838464,0,0.04944941,0.609949052,0.755510688,0.551960468,0.150749624,8727.631836,0.862079561,1.045601368,0.547445714,0.419437438,0.691942632,0.638086259,0.182621703,0.077833548,0.236926541,0.60332793,0.097195052,0.053,0.23,0.081256412,0.28999999,0.048511021,0.27748042,0.007174751,0.056997474,0,0.022499118,,,931463.38,93310664,0.99823892,4759.1777,,135.32323
Rural,India,13.76697123,6.08526282,2.386407927,35.01276374,4.299030825,35.15242636,9.317580611,58.61680508,12.59544641,National,urban/rural,0.535749197,0.963957727,0.338790268,0.385764837,0.32961154,All Households,0.291918874,0.028425869,0.700687468,0.308841228,0.246560737,0.394165635,0.019284749,9540.262695,0.837492526,1.017843604,0.439092994,0.300428927,0.589432001,0.56466943,0.202369943,0.042010989,0.288367629,0.39650479,0.038984984,0.212,0.44,0.36830458,0.58999997,0.31005174,0.64861715,0.061849859,0.2768226,0.030654749,0.19317964,,,93310664,93310664,100,3297.2151,,
Urban,India,6.090090424,3.433036804,1.332373917,23.77061695,0.969314296,18.86748672,2.84733288,10.91016829,4.708899558,National,urban/rural,0.330067694,0.983562768,0.212952271,0.262889236,0.216240406,All Households,0.221354067,0.01118332,0.365825385,0.276963621,0.233117089,0.228462219,0.013511907,15548.38672,1.558676481,1.721192241,0.244276091,0.135610834,0.507970273,0.474049181,0.064868048,0.066777647,0.275949597,0.261182398,0.086839624,0.055,0.16,0.091805071,0.23,0.17420436,0.39713687,0.028913906,0.14308301,0.014111704,0.085746177,,,93310664,93310664,100,4241.689,,
All,India,11.40130237,5.267966166,2.061602101,31.54844046,3.272962198,30.13414145,7.323741913,43.91576946,10.1651676,National,All,0.467509359,0.970462203,0.298906654,0.346071571,0.293679208,All Households,0.268232703,0.022638142,0.588285863,0.298141003,0.242048174,0.338544726,0.017347006,10844.25781,1.026369333,1.202049375,0.388070762,0.257263333,0.564487815,0.536920786,0.165196046,0.048835434,0.28470239,0.355689824,0.049583524,0.164,0.34999999,0.278921366,0.47,0.27124691,0.57678181,0.052516401,0.23892321,0.025724066,0.1611589,,,93310664,93310664,100,3516.8965,3516.8965,100
