sector,State,m_poor_1_33_2019,m_poor_1_20_2019,m_poor_1_33_2015,m_poor_1_20_2015,mpi_edu,mpi_att,mpi_cm,mpi_nutri,mpi_elec,mpi_toilet,mpi_water,mpi_fuel,mpi_asset,level,area,bpl,aadhar,household_has_preg_benefits,household_health_met,household_angan_benefits,dem,food_pds_subs,kerosene_pds_subs,food_pds_free,lpg_subs,elec_free,pmjay_ben,pmjay_ben_avail,real_wage_23,JQdim365,JQdim215,POV_365,POV_215,lf_cws,emp_cws,unpaid_emp,unemp_cws,neet,lfpr_female,unemp_female,poor_300_2011,poor_420_2011,poor_300_2022,poor_420_2022,poor_300_2023,poor_420_2023,fhiscore,rank202223,totalgva,india_gva,state_share_india,welfare_agg21_sp,india_welfare,welfare_pct_india
Urban,Assam,0.079999998,0.23,0.11,0.25999999,6.60245046,2.115938067,1.028717868,22.92992622,0.943193119,30.60597479,8.99746269,13.2136628,8.881279081,State,urban/rural,0.30200699,0.39438507,0.205859333,0.269035071,0.204099253,All Households,0.338034749,0,0.155310005,0.459268808,0.017062021,0.277567565,0.005159252,15644.79688,1.528669834,1.655044675,0.22890082,0.136845633,0.542045176,0.500617921,0.055465769,0.076427639,0.304931611,0.288537234,0.126593933,0.23999999,0.46000001,0.029999999,0.16,0.01711422,0.058066957,,,1831232.5,93310664,1.9625115,4171.8398,,118.62277
All,Assam,0.20999999,0.43000001,0.36000001,0.56999999,12.34765276,4.298422858,1.763597317,31.87712729,7.440409809,31.56186044,14.93241191,59.36610699,15.03738463,State,All,0.500756919,0.21664837,0.312341839,0.381634116,0.309737682,All Households,0.599094152,0.000362213,0.252154589,0.279698193,0.021981975,0.586033106,0.014291154,10541.00684,0.98815769,1.208057761,0.350294352,0.216070414,0.637745678,0.604532659,0.107849523,0.052078713,0.285871238,0.445786595,0.069329403,0.37,0.72000003,0.090000004,0.36000001,0.030331403,0.19501609,,,1831232.5,93310664,1.9625115,3034.05,,86.270668
Rural,Bihar,0.38,0.58999997,0.56999999,0.75999999,24.12932366,11.20897159,4.347765073,43.91128421,3.659801185,54.40142155,1.704400592,70.66609859,21.75294906,State,urban/rural,0.602115393,0.989220321,0.319522649,0.314317942,0.340337902,All Households,0.025656765,0.026263865,0.777352333,0.391730636,0.020513127,0.107240103,0.003101318,12054.7373,0.95067817,1.063650727,0.289973795,0.198775649,0.521696508,0.505796731,0.190899521,0.030477114,0.311254084,0.281663299,0.013180119,0.41,0.79000002,0.079999998,0.36000001,0.028104385,0.17249581,27.799999,13,2753584,93310664,2.9509854,3124.4387,,88.84079
Urban,Bihar,0.16,0.31,0.23,0.40000001,12.49888688,7.396821678,3.01681906,32.87518919,3.705040365,31.37969673,1.396753918,23.85739684,12.1176213,State,urban/rural,0.398872524,0.987440944,0.212217122,0.204167634,0.255876392,All Households,0.018960936,0.010166015,0.555989623,0.582675874,0.024084648,0.102557883,0.002564885,13799.97266,1.361638546,1.438985825,0.191599727,0.130237877,0.428198427,0.39653039,0.084881775,0.073956467,0.277436018,0.154124454,0.081113301,0.37,0.67000002,0.050000001,0.23,0.007510384,0.077409707,27.799999,13,2753584,93310664,2.9509854,3623.7522,,103.03835
All,Bihar,0.34999999,0.55000001,0.51999998,0.72000003,22.30044156,10.60951278,4.138474166,42.17586219,3.666914999,50.78126192,1.656023227,63.30544949,20.2377975,State,All,0.570409656,0.988942742,0.303372324,0.297421932,0.327625811,All Households,0.02501552,0.024722209,0.756152928,0.410017043,0.020855164,0.106791697,0.003049945,12433.63672,0.980897486,1.09125042,0.282739997,0.193735823,0.51236701,0.494893819,0.182423368,0.034102909,0.307866335,0.269531488,0.016875228,0.41,0.77999997,0.079999998,0.34999999,0.026104538,0.16326217,27.799999,13,2753584,93310664,2.9509854,3159.4231,,89.835541
Rural,Chandigarh,0.039999999,0.2,0.25,0.56999999,0,10.67961156,3.883495182,18.44660193,0,52.42718458,0,5.825242773,1.941747591,State,urban/rural,0,1,0.352941185,0.052631579,0.235294119,All Households,0.012474356,0,0,0.193100229,0.00500736,0.041333191,0,12720.35059,1.948495388,2.099487782,0.0765692,0.000688025,,,,,,,,0.059999999,0.37,0,0,0,0,,,139528.59,93310664,0.14953125,6285.4302,,178.72093
Urban,Chandigarh,0.039999999,0.11,0.039999999,0.090000004,4.584967345,3.86223495,1.124735642,21.52946591,0.041284441,17.27840453,3.259894997,5.198538303,0.564754335,State,urban/rural,0.082201064,0.993985534,0.208395138,0.096371993,0.236228317,All Households,0.00473548,0,0,0.159624651,0.004542735,0.076213963,0.009256694,24685.06836,2.372914314,2.407095909,0.058735326,0.036443353,0.545748353,0.492129654,0.01838286,0.09824805,0.202268034,0.312313855,0.19604066,0.16,0.38,0,0,0,0,,,139528.59,93310664,0.14953125,8190.1353,,232.87962
All,Chandigarh,0.039999999,0.11,0.050000001,0.11,4.523243755,3.954011202,1.161874365,21.48796469,0.040728666,17.75158197,3.21600996,5.206974968,0.583291566,State,All,0.081430003,0.99404192,0.21024254,0.095826939,0.236216366,All Households,0.005101556,0,0,0.161208153,0.004564714,0.07456398,0.00881882,22564.12305,2.348595381,2.389470339,0.059757188,0.034394607,0.545748353,0.492129654,0.01838286,0.09824805,0.202268034,0.312313855,0.19604066,0.15000001,0.38,0,0,0,0,,,139528.59,93310664,0.14953125,8048.9829,,228.86607
Rural,Chhattisgarh,0.22,0.47999999,0.44,0.64999998,12.14030087,5.985134095,2.602070756,37.41309941,1.366194803,26.475963,9.869392216,80.32316566,12.13536933,State,urban/rural,0.91323626,0.995935261,0.374565333,0.458955944,0.34968996,All Households,0.975768447,0.041099802,0.964127541,0.297111422,0.032641642,0.862392545,0.055298295,6066.048828,0.462370574,0.755468845,0.689490914,0.470750749,0.662278175,0.628065884,0.34170565,0.051658496,0.248520553,0.504893899,0.039611001,0.38999999,0.79000002,0.22,0.50999999,0.073743388,0.30235204,55.200001,2,2024219.9,93310664,2.1693339,2728.9636,,77.595787
Urban,Chhattisgarh,0.050000001,0.19,0.12,0.28,5.029311031,3.848370165,1.382251177,27.32259333,0.565438578,11.73311323,3.078472055,19.5830524,4.76199165,State,urban/rural,0.714938045,0.992333114,0.275973707,0.332832545,0.260539353,All Households,0.661957264,0.001295361,0.631080747,0.723633051,0.038916238,0.780976534,0.065564491,10413.18164,1.172816277,1.463329077,0.420567632,0.22746256,0.546211123,0.490078568,0.091329105,0.102767177,0.30032742,0.305607051,0.133994922,0.31,0.56999999,0.07,0.25,0.051957954,0.13941912,55.200001,2,2024219.9,93310664,2.1693339,3628.0376,,103.1602
All,Chhattisgarh,0.18000001,0.41999999,0.37,0.56999999,10.56827158,5.512758717,2.332404628,35.18238664,1.189171243,23.21675271,8.368120342,66.89531803,10.50533354,State,All,0.868469238,0.995122015,0.351737052,0.429673821,0.32904768,All Households,0.911777675,0.032983083,0.896214366,0.384085536,0.033921126,0.845790565,0.057391725,6532.866211,0.577391028,0.870070696,0.645952523,0.431362629,0.638577998,0.599889696,0.299938917,0.060585056,0.258540273,0.465057969,0.052008972,0.38,0.74000001,0.19,0.46000001,0.06884177,0.26569289,55.200001,2,2024219.9,93310664,2.1693339,2869.3486,,81.587517
Rural,Dadra & Nagar Haveli and Daman & Diu,0.22,0.47,0.46000001,0.63999999,9.841170907,3.218494728,1.914797723,44.67619658,0.52738646,36.98186278,7.896853983,39.55208063,17.8416729,State,urban/rural,0.529470325,0.992746651,0.314693123,0.506867409,0.332123578,All Households,,,,,,,,,,,,,,,,,,,,0.40000001,0.70999998,0.19,0.41999999,0.018773211,0.23650226,,,,,,,,
Urban,Dadra & Nagar Haveli and Daman & Diu,0.050000001,0.18000001,0.059999999,0.23,6.202181429,3.370344639,1.503208838,29.81466055,0.143655238,31.78589344,3.355497122,2.839357406,15.55165648,State,urban/rural,0.336255163,0.988220394,0.243252665,0.472984582,0.287696809,All Households,,,,,,,,,,,,,,,,,,,,0.11,0.34,0.01,0.1,0,0.030823225,,,,,,,,
All,Dadra & Nagar Haveli and Daman & Diu,0.14,0.34,0.23999999,0.41999999,8.153058589,3.28893736,1.723863371,37.78198957,0.349375093,34.57147479,5.790136755,22.52119631,16.77934378,State,All,0.426442891,0.99033314,0.279498875,0.489833027,0.310237288,All Households,,,,,,,,,,,,,,,,,,,,0.28,0.55000001,0.090000004,0.23999999,0.005485349,0.090920627,,,,,,,,
Rural,Delhi,0.02,0.07,0.029999999,0.12,3.049911745,1.288070064,1.905961707,20.35413086,0.065128581,12.54713982,2.216629311,1.932769828,2.319395356,State,urban/rural,0.243540406,0.981727242,0.343327969,0.451958328,0.404774755,All Households,0.155183837,0.002813619,0.081754275,0.007172039,0.327509642,0,0,19069.80078,1.716517329,1.811520815,0.050934002,0.000623868,0.525102913,0.493746042,0.028572045,0.05971561,0.323251009,0.17943272,0.19462274,0.050000001,0.31999999,0.01,0.07,0,0.018593935,,,2073981.8,93310664,2.2226632,4725.6157,,134.36891
Urban,Delhi,0.029999999,0.11,0.039999999,0.19,4.392629489,2.804476954,1.364486758,20.43932825,0.143328274,19.42001581,1.909379661,0.884287152,4.52487357,State,urban/rural,0.128932387,0.992153883,0.190940127,0.23588571,0.22617273,All Households,0.170969859,0,0.08000619,0.009411519,0.338654727,0.001171642,0.001072443,17912.51953,1.591772676,1.63122201,0.095738798,0.065973766,0.461057574,0.445500016,0.048457034,0.03374321,0.225795686,0.182487026,0.025560724,0.11,0.28999999,0.02,0.1,0.002452332,0.016426431,,,2073981.8,93310664,2.2226632,4754.9097,,135.20187
All,Delhi,0.029999999,0.11,0.039999999,0.19,4.359808564,2.767410316,1.377722342,20.43724507,0.141416781,19.25201714,1.916890033,0.909915939,4.470963404,State,All,0.13125439,0.991942644,0.194434404,0.240594223,0.230268091,All Households,0.170567647,7.16871E-05,0.080050729,0.00935446,0.33837077,0.001141791,0.001045118,17912.51953,1.594403863,1.635024905,0.094793752,0.064595371,0.462509423,0.446593702,0.047958668,0.034411661,0.228478119,0.182420388,0.02918924,0.1,0.28999999,0.02,0.1,0.00239347,0.016478457,,,2073981.8,93310664,2.2226632,4754.9097,,135.20187
Rural,Goa,0.029999999,0.1,0.079999998,0.22,3.68944481,0.913096033,0.411408301,22.3017931,0,14.16427344,2.425623685,5.665533617,1.97795406,State,urban/rural,0.417593628,0.998494208,0.30678001,0.195855767,0.245178685,All Households,0.345994353,0,0.489920169,0,0.000534744,0.321688086,0.035233688,21730.59961,2.266919613,2.300829172,0.113425359,0.093002774,0.505853057,0.455485553,0.066339359,0.099569462,0.165542558,0.244728982,0.122837871,0.050000001,0.31999999,0,0.02,0.001332009,0.024751112,53.599998,3,374228.25,93310664,0.40105626,5666.7451,,161.12914
Urban,Goa,0,0.059999999,0.039999999,0.11,1.743590645,0.556277065,0.368958199,18.78946573,0,10.95404327,0.898568612,0.477334531,1.626414433,State,urban/rural,0.246750414,0.997049212,0.304659903,0.1800991,0.255635858,All Households,0.435070604,0,0.198863238,0,0,0.232693657,0.038444947,21157.89648,2.621023655,2.644743919,0.068647854,0.047569215,0.505915463,0.46666491,0.021311125,0.077583298,0.263341874,0.290699542,0.185309708,0.050000001,0.19,0.01,0.01,0.001753769,0.012463949,53.599998,3,374228.25,93310664,0.40105626,5825.937,,165.65562
All,Goa,0.01,0.079999998,0.050000001,0.15000001,2.527759224,0.700073177,0.386065361,20.20491511,0,12.24774867,1.513963472,2.568150498,1.768082939,State,All,0.316131294,0.99763602,0.305490047,0.186387435,0.251541346,All Households,0.397978961,0,0.320060283,0,0.000222669,0.269751221,0.037107769,21604.80859,2.484782457,2.512423038,0.085875958,0.06504973,0.505889237,0.461962938,0.039984096,0.086829841,0.223371029,0.271507859,0.161801428,0.050000001,0.25999999,0.01,0.02,0.001595471,0.017075662,53.599998,3,374228.25,93310664,0.40105626,5736.1177,,163.1017
Rural,Gujarat,0.20999999,0.47,0.33000001,0.57999998,10.33831984,6.157227606,2.347060293,44.46475208,3.767795861,36.74650192,8.176106215,55.35080433,16.38070345,State,urban/rural,0.450586021,0.984671116,0.34587577,0.502999425,0.326437503,All Households,0.465004325,0,0.592256427,0.080862664,0.005417782,0.350684613,0.022683231,9346.6875,0.836921394,1.023838282,0.4676193,0.328505158,0.678111911,0.668119311,0.233072713,0.014735887,0.239674479,0.507019579,0.00746405,0.34999999,0.69999999,0.039999999,0.28999999,0.019442495,0.17980875,50.5,5,9306908,93310664,9.9741096,3084.0901,,87.69352
Urban,Gujarat,0.039999999,0.11,0.07,0.18000001,4.499176517,3.498942032,1.044400036,28.96468341,0.55998764,10.77398434,1.229212899,5.247257277,4.214763641,State,urban/rural,0.214818016,0.986708522,0.213968962,0.332759857,0.205462322,All Households,0.137639597,0,0.161939278,0.026846351,0.00558558,0.214533329,0.020337222,15344.68848,1.364911556,1.482759118,0.25132826,0.175043866,0.543635428,0.524358928,0.06269037,0.035458501,0.266703099,0.278046817,0.043728195,0.18000001,0.38999999,0.029999999,0.12,0.01100568,0.052716073,50.5,5,9306908,93310664,9.9741096,4165.8018,,118.45107
All,Gujarat,0.14,0.31999999,0.22,0.41,7.939845324,5.065315589,1.811982319,38.09797764,2.450163104,26.07808411,5.322614685,34.77037251,11.38344631,State,All,0.349091679,0.985548198,0.290690422,0.430721998,0.27582559,All Households,0.324752629,0,0.407897174,0.057720646,0.005489671,0.292353809,0.021678139,11119.33984,1.037058949,1.197794676,0.385632992,0.27033481,0.620744705,0.606791675,0.170262396,0.022477947,0.250916123,0.410977006,0.017755054,0.28,0.57999998,0.039999999,0.22,0.015384934,0.1186854,50.5,5,9306908,93310664,9.9741096,3470.8506,,98.690727
Rural,Haryana,0.090000004,0.30000001,0.13,0.38,5.985795334,4.616883025,2.122780494,28.77037525,0.498474808,15.48547447,8.942996711,59.83303785,5.940575898,State,urban/rural,0.27966398,0.994884729,0.323572457,0.397727877,0.314896911,All Households,0.622268379,0,0.549906254,0.454339802,0.016392333,0.305015445,0.026096256,13649.56543,1.292409658,1.402541518,0.235376984,0.152168408,0.4821845,0.458631486,0.132280111,0.048846453,0.309015781,0.233013928,0.028860545,0.11,0.37,0.039999999,0.16,0.001660121,0.03275216,27.4,14,3534732,93310664,3.7881329,4232.8877,,120.35861
Urban,Haryana,0.039999999,0.14,0.07,0.19,4.561418667,3.661050275,1.260704175,20.74057907,0.202667317,14.43035454,2.057364397,10.75088754,3.731519729,State,urban/rural,0.197521165,0.994909585,0.219956726,0.260863215,0.219417974,All Households,0.308857322,0,0.284360975,0.266616911,0.006800976,0.205131933,0.007691443,17137.89453,1.822360992,1.913556337,0.141259015,0.07385575,0.479349971,0.456985205,0.059241708,0.046656437,0.241432801,0.201947495,0.038813084,0.090000004,0.25,0.029999999,0.11,0.001422123,0.019675082,27.4,14,3534732,93310664,3.7881329,4824.4341,,137.17874
All,Haryana,0.07,0.25,0.11,0.31,5.524732172,4.307484999,1.843730919,26.17117167,0.402723486,15.14393687,6.714154035,43.94540191,5.225515738,State,All,0.250739813,0.994893491,0.289020717,0.351155907,0.283058465,All Households,0.505892575,0,0.451303989,0.384634554,0.01283087,0.267926693,0.019262182,15644.79688,1.485078812,1.588326097,0.201159447,0.123697042,0.481071353,0.457984984,0.103659868,0.047989491,0.282713264,0.220854133,0.032422613,0.11,0.33000001,0.039999999,0.14,0.001561786,0.027349019,27.4,14,3534732,93310664,3.7881329,4350.1235,,123.69212
Rural,Himachal Pradesh,0.059999999,0.25,0.090000004,0.31,4.901954159,0.845700968,1.17129311,24.33661371,0.461655203,18.6607033,5.442658439,59.55459476,6.938928366,State,urban/rural,0.208448216,0.995701075,0.290364385,0.419426203,0.261358351,All Households,0.925570071,0,0.069531195,0.643305361,0.751120269,0.602073193,0.19036749,7738.213379,0.771544576,0.959833264,0.575163424,0.443618,0.701655388,0.648020506,0.197061256,0.076440521,0.24763912,0.623646796,0.090435237,0.050000001,0.28999999,0.01,0.059999999,0,0.012379075,,,931463.38,93310664,0.99823892,4708.9126,,133.89398
Urban,Himachal Pradesh,0.02,0.079999998,0.02,0.1,2.778236195,1.316856872,0.341698923,13.6467889,1.093076356,15.47667831,3.073682822,6.595760584,5.443560332,State,urban/rural,0.080882087,0.998295903,0.233110815,0.199179426,0.219517723,All Households,0.536617935,0,0.011424082,0.557156682,0.520060062,0.43512395,0.084838063,15941.33691,2.025566101,2.147826672,0.191238329,0.108687058,0.623321176,0.56790036,0.066212878,0.088912174,0.176557347,0.431527555,0.179796845,0.039999999,0.16,0.02,0.050000001,0,0.011322274,,,931463.38,93310664,0.99823892,5495.4316,,156.25798
All,Himachal Pradesh,0.050000001,0.23,0.079999998,0.28999999,4.628386721,0.906393118,1.064428501,22.9595989,0.542992027,18.25055182,5.137497559,52.73267627,6.7463018,State,All,0.189977884,0.996076763,0.282996982,0.389654428,0.255974293,All Households,0.88634187,0,0.063670732,0.634616733,0.727816403,0.585235357,0.179724187,8727.631836,0.862079561,1.045601368,0.547445714,0.419437438,0.691942632,0.638086259,0.182621703,0.077833548,0.236926541,0.60332793,0.097195052,0.050000001,0.28,0.01,0.059999999,0,0.012236107,,,931463.38,93310664,0.99823892,4759.1777,,135.32323
Rural,India,0.20999999,0.44,0.37,0.58999997,13.76697123,6.08526282,2.386407927,35.01276374,4.299030825,35.15242636,9.317580611,58.61680508,12.59544641,National,urban/rural,0.535749197,0.963957727,0.338790268,0.385764837,0.32961154,All Households,0.275829971,0.02464509,0.718662858,0.316495895,0.233162358,0.384140879,0.021527255,9540.262695,0.837492526,1.017843604,0.439092994,0.300428927,0.589432001,0.56466943,0.202369943,0.042010989,0.288367629,0.39650479,0.038984984,0.31,0.64999998,0.059999999,0.28,0.023729734,0.14880876,,,93310664,93310664,100,3297.2151,,
Urban,India,0.059999999,0.16,0.090000004,0.23,6.090090424,3.433036804,1.332373917,23.77061695,0.969314296,18.86748672,2.84733288,10.91016829,4.708899558,National,urban/rural,0.330067694,0.983562768,0.212952271,0.262889236,0.216240406,All Households,0.229817733,0.010635483,0.413978219,0.302416414,0.228779972,0.239282221,0.016724063,15548.38672,1.558676481,1.721192241,0.244276091,0.135610834,0.507970273,0.474049181,0.064868048,0.066777647,0.275949597,0.261182398,0.086839624,0.17,0.40000001,0.029999999,0.14,0.010898667,0.060345147,,,93310664,93310664,100,4241.689,,
All,India,0.16,0.34999999,0.28,0.47,11.40130237,5.267966166,2.061602101,31.54844046,3.272962198,30.13414145,7.323741913,43.91576946,10.1651676,National,All,0.467509359,0.970462203,0.298906654,0.346071571,0.293679208,All Households,0.262115955,0.020469503,0.627851129,0.31229949,0.231856182,0.340965509,0.020095656,10844.25781,1.026369333,1.202049375,0.388070762,0.257263333,0.564487815,0.536920786,0.165196046,0.048835434,0.28470239,0.355689824,0.049583524,0.27000001,0.57999998,0.050000001,0.23999999,0.01942279,0.11911459,,,93310664,93310664,100,3516.8965,3516.8965,100
Rural,Jammu and Kashmir,0.079999998,0.20999999,0.2,0.41,4.787199944,3.37548703,0.814846717,16.54430032,1.005038712,27.79524326,13.37209791,41.85527563,10.23464575,State,urban/rural,0.618180275,0.995737553,0.18835482,0.222978905,0.239207014,All Households,0.353994489,0,0.600062907,0.459185839,0.008934409,0.784110606,0.084498279,11344.69531,0.974974513,1.134325027,0.421875626,0.28672868,0.614374578,0.574530602,0.11760518,0.064852953,0.216749221,0.492899418,0.079630278,0.07,0.31999999,0.01,0.17,0.00774696,0.11350939,,,675785.38,93310664,0.72423166,3609.2998,,102.62741
Urban,Jammu and Kashmir,0.02,0.059999999,0.050000001,0.14,2.724602632,1.682324335,0.492559467,12.70370036,0.06003704,14.28743303,1.819743775,4.713558406,1.733446121,State,urban/rural,0.412418097,0.994591832,0.125630826,0.17476128,0.15000765,All Households,0.283916563,0,0.381641179,0.520387113,0.012404092,0.846885979,0.056772389,16687.7832,1.484056473,1.648066759,0.226267248,0.115643471,0.529683232,0.468221784,0.053669285,0.116034329,0.221436635,0.302673995,0.288680702,0.059999999,0.23999999,0.01,0.059999999,0.000564687,0.050336536,,,675785.38,93310664,0.72423166,4332.1431,,123.18085
All,Jammu and Kashmir,0.059999999,0.17,0.15000001,0.33000001,4.252594337,2.936635539,0.731312949,15.54885358,0.760103343,24.29414839,10.37783772,32.22849667,8.031215519,State,All,0.560708523,0.995417535,0.171959132,0.209855884,0.215890825,All Households,0.339163214,0,0.553836167,0.472138494,0.009668733,0.797396421,0.078630373,12423.3291,1.049414039,1.209445953,0.393273145,0.261712074,0.597620249,0.553499699,0.106905587,0.073827058,0.217563987,0.455375254,0.107039638,0.07,0.30000001,0.01,0.15000001,0.006026719,0.098378733,,,675785.38,93310664,0.72423166,3745.7351,,106.50684
