sector,State,mpi_edu,mpi_att,mpi_cm,mpi_nutri,mpi_elec,mpi_toilet,mpi_water,mpi_fuel,mpi_asset,bpl,aadhar,household_has_preg_benefits,household_health_met,household_angan_benefits,food_pds_subs,kerosene_pds_subs,food_pds_free,lpg_subs,elec_free,pmjay_ben,pmjay_ben_avail,real_wage_23,JQdim365,JQdim215,POV_365,POV_215,lf_cws,emp_cws,unpaid_emp,unemp_cws,neet,lfpr_female,unemp_female,m_poor_1_33_2019,m_poor_1_20_2019,m_poor_1_33_2015,m_poor_1_20_2015,poor_300_2011,poor_420_2011,poor_300_2022,poor_420_2022,fhiscore,rank202223,totalgva,state_share_india,welfare_agg21_sp,welfare_pct_india
Urban,Assam,6.60245046,2.115938067,1.028717868,22.92992622,0.943193119,30.60597479,8.99746269,13.2136628,8.881279081,0.30200699,0.39438507,0.205859333,0.269035071,0.204099253,0.021776969,0.011620963,0.41868332,0.273232281,0.016168727,0.11811658,0.008144396,15644.79688,1.528669834,1.655044675,0.22890082,0.136845633,0.542045176,0.500617921,0.055465769,0.076427639,0.304931611,0.288537234,0.126593933,0.079999998,0.23,0.11,0.25999999,0.23999999,0.46000001,0.029999999,0.16,,,1831232.5,1.9625115,3210.738,114.6601
All,Assam,12.34765276,4.298422858,1.763597317,31.87712729,7.440409809,31.56186044,14.93241191,59.36610699,15.03738463,0.500756919,0.21664837,0.312341839,0.381634116,0.309737682,0.059235491,0.040318189,0.733277857,0.134624168,0.014142402,0.238770545,0.00716071,10541.00684,0.98815769,1.208057761,0.350294352,0.216070414,0.637745678,0.604532659,0.107849523,0.052078713,0.285871238,0.445786595,0.069329403,0.20999999,0.43000001,0.36000001,0.56999999,0.37,0.72000003,0.090000004,0.36000001,,,1831232.5,1.9625115,2427.4182,86.686623
Rural,Bihar,24.12932366,11.20897159,4.347765073,43.91128421,3.659801185,54.40142155,1.704400592,70.66609859,21.75294906,0.602115393,0.989220321,0.319522649,0.314317942,0.340337902,0.442178875,0.124821538,0.584202886,0.263594508,0.045556143,0.024785312,0.002732027,12054.7373,0.95067817,1.063650727,0.289973795,0.198775649,0.521696508,0.505796731,0.190899521,0.030477114,0.311254084,0.281663299,0.013180119,0.38,0.58999997,0.56999999,0.75999999,0.41,0.79000002,0.079999998,0.36000001,27.799999,13,2753584,2.9509854,2375.9395,84.848244
Urban,Bihar,12.49888688,7.396821678,3.01681906,32.87518919,3.705040365,31.37969673,1.396753918,23.85739684,12.1176213,0.398872524,0.987440944,0.212217122,0.204167634,0.255876392,0.29697299,0.064788301,0.337179691,0.440038472,0.055075321,0.040910807,0.004065203,13799.97266,1.361638546,1.438985825,0.191599727,0.130237877,0.428198427,0.39653039,0.084881775,0.073956467,0.277436018,0.154124454,0.081113301,0.16,0.31,0.23,0.40000001,0.37,0.67000002,0.050000001,0.23,27.799999,13,2753584,2.9509854,2671.9351,95.418671
All,Bihar,22.30044156,10.60951278,4.138474166,42.17586219,3.666914999,50.78126192,1.656023227,63.30544949,20.2377975,0.570409656,0.988942742,0.303372324,0.297421932,0.327625811,0.430775106,0.120106819,0.564802885,0.277451575,0.046303734,0.02605173,0.002836728,12433.63672,0.980897486,1.09125042,0.282739997,0.193735823,0.51236701,0.494893819,0.182423368,0.034102909,0.307866335,0.269531488,0.016875228,0.34999999,0.55000001,0.51999998,0.72000003,0.41,0.77999997,0.079999998,0.34999999,27.799999,13,2753584,2.9509854,2394.8201,85.522491
Rural,Chandigarh,0,10.67961156,3.883495182,18.44660193,0,52.42718458,0,5.825242773,1.941747591,0,1,0.352941185,0.052631579,0.235294119,0.003934377,0,0,0.097076163,0,0.048660412,0.004131728,12720.35059,1.948495388,2.099487782,0.0765692,0.000688025,,,,,,,,0.039999999,0.2,0.25,0.56999999,0.059999999,0.37,0,0,,,139528.59,0.14953125,3402.7271,121.51631
Urban,Chandigarh,4.584967345,3.86223495,1.124735642,21.52946591,0.041284441,17.27840453,3.259894997,5.198538303,0.564754335,0.082201064,0.993985534,0.208395138,0.096371993,0.236228317,0.008378673,0,0.006067531,0.019516014,0.010157555,0.0220447,0.00328171,24685.06836,2.372914314,2.407095909,0.058735326,0.036443353,0.545748353,0.492129654,0.01838286,0.09824805,0.202268034,0.312313855,0.19604066,0.039999999,0.11,0.039999999,0.090000004,0.16,0.38,0,0,,,139528.59,0.14953125,4882.2896,174.35364
All,Chandigarh,4.523243755,3.954011202,1.161874365,21.48796469,0.040728666,17.75158197,3.21600996,5.206974968,0.583291566,0.081430003,0.99404192,0.21024254,0.095826939,0.236216366,0.008210677,0,0.005838175,0.02244783,0.009773594,0.023050787,0.003313841,22564.12305,2.348595381,2.389470339,0.059757188,0.034394607,0.545748353,0.492129654,0.01838286,0.09824805,0.202268034,0.312313855,0.19604066,0.039999999,0.11,0.050000001,0.11,0.15000001,0.38,0,0,,,139528.59,0.14953125,4771.02,170.38004
Rural,Chhattisgarh,12.14030087,5.985134095,2.602070756,37.41309941,1.366194803,26.475963,9.869392216,80.32316566,12.13536933,0.91323626,0.995935261,0.374565333,0.458955944,0.34968996,0.923837304,0.083831285,0.805553079,0.236643463,0.061229434,0.616013348,0.05644992,6066.048828,0.462370574,0.755468845,0.689490914,0.470750749,0.662278175,0.628065884,0.34170565,0.051658496,0.248520553,0.504893899,0.039611001,0.22,0.47999999,0.44,0.64999998,0.38999999,0.79000002,0.22,0.50999999,55.200001,2,2024219.9,2.1693339,2110.2837,75.36129
Urban,Chhattisgarh,5.029311031,3.848370165,1.382251177,27.32259333,0.565438578,11.73311323,3.078472055,19.5830524,4.76199165,0.714938045,0.992333114,0.275973707,0.332832545,0.260539353,0.737815559,0.022261671,0.522403538,0.468380332,0.035565309,0.456463754,0.022678535,10413.18164,1.172816277,1.463329077,0.420567632,0.22746256,0.546211123,0.490078568,0.091329105,0.102767177,0.30032742,0.305607051,0.133994922,0.050000001,0.19,0.12,0.28,0.31,0.56999999,0.07,0.25,55.200001,2,2024219.9,2.1693339,2860.6836,102.15916
All,Chhattisgarh,10.56827158,5.512758717,2.332404628,35.18238664,1.189171243,23.21675271,8.368120342,66.89531803,10.50533354,0.868469238,0.995122015,0.351737052,0.429673821,0.32904768,0.887871623,0.07192733,0.750808537,0.281447798,0.056267496,0.585165799,0.049920514,6532.866211,0.577391028,0.870070696,0.645952523,0.431362629,0.638577998,0.599889696,0.299938917,0.060585056,0.258540273,0.465057969,0.052008972,0.18000001,0.41999999,0.37,0.56999999,0.38,0.74000001,0.19,0.46000001,55.200001,2,2024219.9,2.1693339,2215.1028,79.10453
Rural,Dadra & Nagar Haveli and Daman & Diu,9.841170907,3.218494728,1.914797723,44.67619658,0.52738646,36.98186278,7.896853983,39.55208063,17.8416729,0.529470325,0.992746651,0.314693123,0.506867409,0.332123578,0.361873895,0,0.285186857,0.007601317,0.006208573,0.222339571,0.014964336,,,,,,,,,,,,,0.22,0.47,0.46000001,0.63999999,0.40000001,0.70999998,0.19,0.41999999,,,,,2257.7422,80.627251
Urban,Dadra & Nagar Haveli and Daman & Diu,6.202181429,3.370344639,1.503208838,29.81466055,0.143655238,31.78589344,3.355497122,2.839357406,15.55165648,0.336255163,0.988220394,0.243252665,0.472984582,0.287696809,0.066428244,0,0.052642096,0.033783659,0.017495556,0.112457372,0.025271919,,,,,,,,,,,,,0.050000001,0.18000001,0.059999999,0.23,0.11,0.34,0.01,0.1,,,,,3318.7083,118.51588
All,Dadra & Nagar Haveli and Daman & Diu,8.153058589,3.28893736,1.723863371,37.78198957,0.349375093,34.57147479,5.790136755,22.52119631,16.77934378,0.426442891,0.99033314,0.279498875,0.489833027,0.310237288,0.193876818,0,0.152956635,0.022489188,0.012626607,0.159858063,0.020825461,,,,,,,,,,,,,0.14,0.34,0.23999999,0.41999999,0.28,0.55000001,0.090000004,0.23999999,,,,,2888.8733,103.16586
Rural,Delhi,3.049911745,1.288070064,1.905961707,20.35413086,0.065128581,12.54713982,2.216629311,1.932769828,2.319395356,0.243540406,0.981727242,0.343327969,0.451958328,0.404774755,0.06038918,0,0.118279897,0,0.483355045,0.004830193,0.001610064,19069.80078,1.716517329,1.811520815,0.050934002,0.000623868,0.525102913,0.493746042,0.028572045,0.05971561,0.323251009,0.17943272,0.19462274,0.02,0.07,0.029999999,0.12,0.050000001,0.31999999,0.01,0.07,,,2073981.8,2.2226632,2929.5681,104.61912
Urban,Delhi,4.392629489,2.804476954,1.364486758,20.43932825,0.143328274,19.42001581,1.909379661,0.884287152,4.52487357,0.128932387,0.992153883,0.190940127,0.23588571,0.22617273,0.067851722,0,0.150293887,0.0007749,0.411559731,0.005462718,0.001762026,17912.51953,1.591772676,1.63122201,0.095738798,0.065973766,0.461057574,0.445500016,0.048457034,0.03374321,0.225795686,0.182487026,0.025560724,0.029999999,0.11,0.039999999,0.19,0.11,0.28999999,0.02,0.1,,,2073981.8,2.2226632,3673.3237,131.17972
All,Delhi,4.359808564,2.767410316,1.377722342,20.43724507,0.141416781,19.25201714,1.916890033,0.909915939,4.470963404,0.13125439,0.991942644,0.194434404,0.240594223,0.230268091,0.067715593,0,0.149709895,0.000760765,0.412869394,0.00545118,0.001759254,17912.51953,1.594403863,1.635024905,0.094793752,0.064595371,0.462509423,0.446593702,0.047958668,0.034411661,0.228478119,0.182420388,0.02918924,0.029999999,0.11,0.039999999,0.19,0.1,0.28999999,0.02,0.1,,,2073981.8,2.2226632,3617.6677,129.19215
Rural,Goa,3.68944481,0.913096033,0.411408301,22.3017931,0,14.16427344,2.425623685,5.665533617,1.97795406,0.417593628,0.998494208,0.30678001,0.195855767,0.245178685,0.738543928,0,0.129795998,0,0.002760492,0.10193979,0.011817241,21730.59961,2.266919613,2.300829172,0.113425359,0.093002774,0.505853057,0.455485553,0.066339359,0.099569462,0.165542558,0.244728982,0.122837871,0.029999999,0.1,0.079999998,0.22,0.050000001,0.31999999,0,0.02,53.599998,3,374228.25,0.40105626,3960.1182,141.42155
Urban,Goa,1.743590645,0.556277065,0.368958199,18.78946573,0,10.95404327,0.898568612,0.477334531,1.626414433,0.246750414,0.997049212,0.304659903,0.1800991,0.255635858,0.529231966,0,0.12888056,0,0.003312044,0.147407115,0.011597863,21157.89648,2.621023655,2.644743919,0.068647854,0.047569215,0.505915463,0.46666491,0.021311125,0.077583298,0.263341874,0.290699542,0.185309708,0,0.059999999,0.039999999,0.11,0.050000001,0.19,0.01,0.01,53.599998,3,374228.25,0.40105626,4382.9873,156.52284
All,Goa,2.527759224,0.700073177,0.386065361,20.20491511,0,12.24774867,1.513963472,2.568150498,1.768082939,0.316131294,0.99763602,0.305490047,0.186387435,0.251541346,0.620411694,0,0.12927933,0,0.003071779,0.127600804,0.011693428,21604.80859,2.484782457,2.512423038,0.085875958,0.06504973,0.505889237,0.461962938,0.039984096,0.086829841,0.223371029,0.271507859,0.161801428,0.01,0.079999998,0.050000001,0.15000001,0.050000001,0.25999999,0.01,0.02,53.599998,3,374228.25,0.40105626,4137.8838,147.76982
Rural,Gujarat,10.33831984,6.157227606,2.347060293,44.46475208,3.767795861,36.74650192,8.176106215,55.35080433,16.38070345,0.450586021,0.984671116,0.34587577,0.502999425,0.326437503,0.662529707,0.001815199,0.166604146,0.035203706,0.007308745,0.234534085,0.017297249,9346.6875,0.836921394,1.023838282,0.4676193,0.328505158,0.678111911,0.668119311,0.233072713,0.014735887,0.239674479,0.507019579,0.00746405,0.20999999,0.47,0.33000001,0.57999998,0.34999999,0.69999999,0.039999999,0.28999999,50.5,5,9306908,9.9741096,2517.5818,89.906494
Urban,Gujarat,4.499176517,3.498942032,1.044400036,28.96468341,0.55998764,10.77398434,1.229212899,5.247257277,4.214763641,0.214818016,0.986708522,0.213968962,0.332759857,0.205462322,0.228463098,0,0.057243034,0.022679949,0.00971455,0.144807145,0.020387255,15344.68848,1.364911556,1.482759118,0.25132826,0.175043866,0.543635428,0.524358928,0.06269037,0.035458501,0.266703099,0.278046817,0.043728195,0.039999999,0.11,0.07,0.18000001,0.18000001,0.38999999,0.029999999,0.12,50.5,5,9306908,9.9741096,3336.2864,119.14362
All,Gujarat,7.939845324,5.065315589,1.811982319,38.09797764,2.450163104,26.07808411,5.322614685,34.77037251,11.38344631,0.349091679,0.985548198,0.290690422,0.430721998,0.27582559,0.488810182,0.001088731,0.122836299,0.030191522,0.008271581,0.198624104,0.018533912,11119.33984,1.037058949,1.197794676,0.385632992,0.27033481,0.620744705,0.606791675,0.170262396,0.022477947,0.250916123,0.410977006,0.017755054,0.14,0.31999999,0.22,0.41,0.28,0.57999998,0.039999999,0.22,50.5,5,9306908,9.9741096,2794.8945,99.809738
Rural,Haryana,5.985795334,4.616883025,2.122780494,28.77037525,0.498474808,15.48547447,8.942996711,59.83303785,5.940575898,0.27966398,0.994884729,0.323572457,0.397727877,0.314896911,0.441845953,0.000813688,0.255611718,0.242986187,0.01039208,0.136247322,0.015441331,13649.56543,1.292409658,1.402541518,0.235376984,0.152168408,0.4821845,0.458631486,0.132280111,0.048846453,0.309015781,0.233013928,0.028860545,0.090000004,0.30000001,0.13,0.38,0.11,0.37,0.039999999,0.16,27.4,14,3534732,3.7881329,3242.5161,115.79495
Urban,Haryana,4.561418667,3.661050275,1.260704175,20.74057907,0.202667317,14.43035454,2.057364397,10.75088754,3.731519729,0.197521165,0.994909585,0.219956726,0.260863215,0.219417974,0.20377335,0,0.134449691,0.272676945,0.011072404,0.100333527,0.003916104,17137.89453,1.822360992,1.913556337,0.141259015,0.07385575,0.479349971,0.456985205,0.059241708,0.046656437,0.241432801,0.201947495,0.038813084,0.039999999,0.14,0.07,0.19,0.090000004,0.25,0.029999999,0.11,27.4,14,3534732,3.7881329,4007.0898,143.09898
All,Haryana,5.524732172,4.307484999,1.843730919,26.17117167,0.402723486,15.14393687,6.714154035,43.94540191,5.225515738,0.250739813,0.994893491,0.289020717,0.351155907,0.283058465,0.354983866,0.000516809,0.211405098,0.253819019,0.0106403,0.123143978,0.01123629,15644.79688,1.485078812,1.588326097,0.201159447,0.123697042,0.481071353,0.457984984,0.103659868,0.047989491,0.282713264,0.220854133,0.032422613,0.07,0.25,0.11,0.31,0.11,0.33000001,0.039999999,0.14,27.4,14,3534732,3.7881329,3439.0591,122.81378
Rural,Himachal Pradesh,4.901954159,0.845700968,1.17129311,24.33661371,0.461655203,18.6607033,5.442658439,59.55459476,6.938928366,0.208448216,0.995701075,0.290364385,0.419426203,0.261358351,0.887514055,0.001935853,0.066994712,0.615770519,0.729152799,0.411261886,0.04111046,7738.213379,0.771544576,0.959833264,0.575163424,0.443618,0.701655388,0.648020506,0.197061256,0.076440521,0.24763912,0.623646796,0.090435237,0.059999999,0.25,0.090000004,0.31,0.050000001,0.28999999,0.01,0.059999999,,,931463.38,0.99823892,3615.1602,129.10262
Urban,Himachal Pradesh,2.778236195,1.316856872,0.341698923,13.6467889,1.093076356,15.47667831,3.073682822,6.595760584,5.443560332,0.080882087,0.998295903,0.233110815,0.199179426,0.219517723,0.521442652,0,0.016160648,0.518722713,0.520899653,0.273443997,0.024138434,15941.33691,2.025566101,2.147826672,0.191238329,0.108687058,0.623321176,0.56790036,0.066212878,0.088912174,0.176557347,0.431527555,0.179796845,0.02,0.079999998,0.02,0.1,0.039999999,0.16,0.02,0.050000001,,,931463.38,0.99823892,4453.9097,159.05556
All,Himachal Pradesh,4.628386721,0.906393118,1.064428501,22.9595989,0.542992027,18.25055182,5.137497559,52.73267627,6.7463018,0.189977884,0.996076763,0.282996982,0.389654428,0.255974293,0.84958142,0.001735258,0.061727244,0.605714321,0.707573414,0.39698109,0.039351806,8727.631836,0.862079561,1.045601368,0.547445714,0.419437438,0.691942632,0.638086259,0.182621703,0.077833548,0.236926541,0.60332793,0.097195052,0.050000001,0.23,0.079999998,0.28999999,0.050000001,0.28,0.01,0.059999999,,,931463.38,0.99823892,3686.887,131.66408
Rural,India,13.76697123,6.08526282,2.386407927,35.01276374,4.299030825,35.15242636,9.317580611,58.61680508,12.59544641,0.535749197,0.963957727,0.338790268,0.385764837,0.32961154,0.458168954,0.062459544,0.554675639,0.216804624,0.157503396,0.271913499,0.020179288,9540.262695,0.837492526,1.017843604,0.439092994,0.300428927,0.589432001,0.56466943,0.202369943,0.042010989,0.288367629,0.39650479,0.038984984,0.20999999,0.44,0.37,0.58999997,0.31,0.64999998,0.059999999,0.28,,,93310664,100,2615.0027,93.385536
Urban,India,6.090090424,3.433036804,1.332373917,23.77061695,0.969314296,18.86748672,2.84733288,10.91016829,4.708899558,0.330067694,0.983562768,0.212952271,0.262889236,0.216240406,0.324729145,0.028447053,0.322402924,0.253153443,0.168380767,0.18031159,0.016320296,15548.38672,1.558676481,1.721192241,0.244276091,0.135610834,0.507970273,0.474049181,0.064868048,0.066777647,0.275949597,0.261182398,0.086839624,0.059999999,0.16,0.090000004,0.23,0.17,0.40000001,0.029999999,0.14,,,93310664,100,3408.6965,121.72949
All,India,11.40130237,5.267966166,2.061602101,31.54844046,3.272962198,30.13414145,7.323741913,43.91576946,10.1651676,0.467509359,0.970462203,0.298906654,0.346071571,0.293679208,0.420354515,0.052821016,0.488853753,0.227105215,0.16058585,0.245955154,0.019085718,10844.25781,1.026369333,1.202049375,0.388070762,0.257263333,0.564487815,0.536920786,0.165196046,0.048835434,0.28470239,0.355689824,0.049583524,0.16,0.34999999,0.28,0.47,0.27000001,0.57999998,0.050000001,0.23999999,,,93310664,100,2800.2224,100
Rural,Jammu and Kashmir,4.787199944,3.37548703,0.814846717,16.54430032,1.005038712,27.79524326,13.37209791,41.85527563,10.23464575,0.618180275,0.995737553,0.18835482,0.222978905,0.239207014,0.593229115,0.006917276,0.44302094,0.355083525,0.012239942,0.738074124,0.073536068,11344.69531,0.974974513,1.134325027,0.421875626,0.28672868,0.614374578,0.574530602,0.11760518,0.064852953,0.216749221,0.492899418,0.079630278,0.079999998,0.20999999,0.2,0.41,0.07,0.31999999,0.01,0.17,,,675785.38,0.72423166,3203.6895,114.40839
Urban,Jammu and Kashmir,2.724602632,1.682324335,0.492559467,12.70370036,0.06003704,14.28743303,1.819743775,4.713558406,1.733446121,0.412418097,0.994591832,0.125630826,0.17476128,0.15000765,0.420570284,0.002589019,0.19178924,0.403989255,0.019161774,0.694999278,0.045904394,16687.7832,1.484056473,1.648066759,0.226267248,0.115643471,0.529683232,0.468221784,0.053669285,0.116034329,0.221436635,0.302673995,0.288680702,0.02,0.059999999,0.050000001,0.14,0.059999999,0.23999999,0.01,0.059999999,,,675785.38,0.72423166,4032.6914,144.01324
All,Jammu and Kashmir,4.252594337,2.936635539,0.731312949,15.54885358,0.760103343,24.29414839,10.37783772,32.22849667,8.031215519,0.560708523,0.995417535,0.171959132,0.209855884,0.215890825,0.554937124,0.005957362,0.387303174,0.365929753,0.013775055,0.728521049,0.067407958,12423.3291,1.049414039,1.209445953,0.393273145,0.261712074,0.597620249,0.553499699,0.106905587,0.073827058,0.217563987,0.455375254,0.107039638,0.059999999,0.17,0.15000001,0.33000001,0.07,0.30000001,0.01,0.15000001,,,675785.38,0.72423166,3327.9304,118.84522
Rural,Jharkhand,19.09308136,9.876748919,2.933307365,44.54879463,7.101714611,49.22611117,21.39280289,80.99973798,18.17337722,0.658262849,0.993715703,0.412290663,0.284961432,0.365065902,0.728662968,0.217213577,0.206865817,0.08115156,0.193062097,0.070253842,0.009638526,8344.445313,0.713271856,0.868457198,0.522453606,0.38510856,0.568713069,0.561259091,0.2527574,0.013106771,0.277189672,0.377378017,0.000734502,0.37,0.62,0.56,0.76999998,0.50999999,0.86000001,0.19,0.47999999,51.599998,4,1657278.9,1.7760873,2103.5911,75.122284
Urban,Jharkhand,6.564608216,3.747869655,1.371333655,26.47223473,0.970602501,24.03633446,9.443743527,30.07454574,6.612185389,0.400827467,0.995393038,0.209376529,0.158852518,0.218258947,0.396158934,0.030732025,0.091633298,0.113643147,0.204490855,0.041449212,0.007383848,14546.05371,1.453377128,1.582600117,0.27769348,0.174919367,0.430602163,0.398199797,0.081873693,0.075249009,0.281655759,0.178260371,0.066910453,0.090000004,0.23999999,0.17,0.36000001,0.27000001,0.47,0.079999998,0.25,51.599998,4,1657278.9,1.7760873,2985.6733,106.62272
All,Jharkhand,16.16994292,8.446761966,2.568868361,40.3311789,5.671206489,43.34884286,18.60485375,69.11789179,15.4759258,0.596288681,0.994119465,0.365145624,0.255127639,0.330956787,0.667050481,0.182658808,0.185513392,0.087172203,0.195179835,0.064916387,0.009220737,9001.705078,0.821880519,0.973255932,0.486535668,0.354263812,0.540643215,0.52811873,0.226570636,0.023165988,0.278074771,0.3382999,0.00757798,0.31,0.52999997,0.47,0.67000002,0.46000001,0.76999998,0.17,0.44,51.599998,4,1657278.9,1.7760873,2222.0688,79.353302
Rural,Karnataka,8.99618715,2.896650881,1.486914326,34.04883146,0.965845026,31.60350025,8.834403008,31.60321414,9.316128492,0.898406088,0.990780771,0.320862621,0.625177026,0.312591672,0.03230397,0.010205707,0.885095894,0.017425833,0.093937337,0.294661403,0.013610319,12433.63672,1.049387455,1.20592773,0.363296717,0.241090968,0.57575959,0.563005686,0.205804899,0.022151528,0.24458608,0.402338833,0.012647348,0.12,0.34,0.25,0.47999999,0.12,0.5,0.01,0.12,40.799999,10,5741303,6.1528907,3039.1641,108.53295
