statename,sector,sector_type,wealth_index,bpl,aadhar,health_insu_govt,household_has_preg_benefits,household_has_preg_fin,household_health_met,household_angan_benefits,household_angan_immun,household_angan_ecc,round,year,dem
Andaman & Nicobar Islands,1,Urban,3,0.05,0.87,0.00,0.16,0.00,0.02,0.05,0.03,0.05,4,2015,All Households
Andaman & Nicobar Islands,1,Urban,4,0.13,0.94,0.01,0.13,0.01,0.06,0.13,0.08,0.08,4,2015,All Households
Andaman & Nicobar Islands,1,Urban,5,0.04,0.95,0.03,0.20,0.01,0.12,0.13,0.04,0.09,4,2015,All Households
Andaman & Nicobar Islands,99,All,1,0.16,0.29,0.00,0.29,0.01,0.21,0.36,0.06,0.24,4,2015,All Households
Andaman & Nicobar Islands,99,All,2,0.18,0.37,0.00,0.19,0.00,0.15,0.18,0.05,0.10,4,2015,All Households
Andaman & Nicobar Islands,99,All,3,0.19,0.51,0.01,0.19,0.00,0.12,0.17,0.06,0.11,4,2015,All Households
Andaman & Nicobar Islands,99,All,4,0.15,0.73,0.01,0.18,0.02,0.11,0.16,0.07,0.10,4,2015,All Households
Andaman & Nicobar Islands,99,All,5,0.05,0.85,0.03,0.18,0.02,0.14,0.14,0.04,0.09,4,2015,All Households
Andhra Pradesh,0,Rural,1,0.95,0.99,0.80,0.29,0.11,0.23,0.34,0.31,0.19,4,2015,All Households
Andhra Pradesh,0,Rural,2,0.95,0.99,0.83,0.26,0.09,0.20,0.29,0.23,0.16,4,2015,All Households
Andhra Pradesh,0,Rural,3,0.95,0.99,0.83,0.25,0.08,0.18,0.30,0.25,0.14,4,2015,All Households
Andhra Pradesh,0,Rural,4,0.91,0.99,0.78,0.20,0.04,0.16,0.24,0.19,0.10,4,2015,All Households
Andhra Pradesh,0,Rural,5,0.78,1.00,0.59,0.16,0.04,0.14,0.22,0.17,0.07,4,2015,All Households
Andhra Pradesh,1,Urban,1,0.90,0.89,0.62,0.00,0.00,0.05,0.13,0.13,0.00,4,2015,All Households
Andhra Pradesh,1,Urban,2,0.85,0.92,0.64,0.21,0.10,0.11,0.29,0.25,0.13,4,2015,All Households
Andhra Pradesh,1,Urban,3,0.88,0.97,0.70,0.20,0.05,0.15,0.24,0.18,0.13,4,2015,All Households
Andhra Pradesh,1,Urban,4,0.83,0.99,0.64,0.19,0.05,0.11,0.21,0.16,0.08,4,2015,All Households
Andhra Pradesh,1,Urban,5,0.59,0.99,0.41,0.11,0.01,0.07,0.13,0.09,0.03,4,2015,All Households
Andhra Pradesh,99,All,1,0.94,0.98,0.79,0.28,0.10,0.21,0.33,0.30,0.18,4,2015,All Households
Andhra Pradesh,99,All,2,0.94,0.98,0.81,0.26,0.09,0.19,0.29,0.23,0.16,4,2015,All Households
Andhra Pradesh,99,All,3,0.94,0.99,0.81,0.25,0.08,0.17,0.29,0.24,0.14,4,2015,All Households
Andhra Pradesh,99,All,4,0.88,0.99,0.72,0.20,0.04,0.14,0.23,0.18,0.09,4,2015,All Households
Andhra Pradesh,99,All,5,0.64,0.99,0.46,0.12,0.02,0.09,0.15,0.11,0.04,4,2015,All Households
Andhra Pradesh,0,Rural,1,0.96,0.99,0.79,0.39,0.14,0.27,0.36,0.29,0.23,5,2019,All Households
Andhra Pradesh,0,Rural,2,0.97,0.99,0.86,0.28,0.12,0.25,0.27,0.23,0.18,5,2019,All Households
Andhra Pradesh,0,Rural,3,0.96,1.00,0.85,0.30,0.10,0.26,0.28,0.24,0.16,5,2019,All Households
Andhra Pradesh,0,Rural,4,0.93,1.00,0.83,0.25,0.07,0.22,0.22,0.19,0.12,5,2019,All Households
Andhra Pradesh,0,Rural,5,0.81,0.99,0.73,0.24,0.05,0.22,0.22,0.18,0.12,5,2019,All Households
Andhra Pradesh,1,Urban,1,0.90,1.00,0.57,0.27,0.14,0.19,0.27,0.27,0.22,5,2019,All Households
Andhra Pradesh,1,Urban,2,0.94,0.98,0.72,0.31,0.17,0.15,0.28,0.24,0.20,5,2019,All Households
Andhra Pradesh,1,Urban,3,0.92,1.00,0.71,0.23,0.07,0.16,0.19,0.18,0.12,5,2019,All Households
Andhra Pradesh,1,Urban,4,0.88,1.00,0.71,0.25,0.06,0.15,0.22,0.19,0.11,5,2019,All Households
Andhra Pradesh,1,Urban,5,0.59,1.00,0.49,0.17,0.04,0.10,0.16,0.13,0.06,5,2019,All Households
Andhra Pradesh,99,All,1,0.95,0.99,0.77,0.38,0.14,0.27,0.35,0.29,0.23,5,2019,All Households
Andhra Pradesh,99,All,2,0.97,0.99,0.85,0.28,0.12,0.24,0.27,0.23,0.18,5,2019,All Households
Andhra Pradesh,99,All,3,0.95,1.00,0.82,0.29,0.10,0.24,0.26,0.23,0.16,5,2019,All Households
Andhra Pradesh,99,All,4,0.91,1.00,0.78,0.25,0.07,0.19,0.22,0.19,0.11,5,2019,All Households
Andhra Pradesh,99,All,5,0.65,1.00,0.55,0.19,0.04,0.13,0.18,0.15,0.07,5,2019,All Households
Arunachal Pradesh,0,Rural,1,0.65,0.96,0.16,0.14,0.03,0.21,0.19,0.10,0.04,5,2019,All Households
Arunachal Pradesh,0,Rural,2,0.70,0.99,0.24,0.15,0.05,0.20,0.18,0.09,0.04,5,2019,All Households
Arunachal Pradesh,0,Rural,3,0.62,0.99,0.29,0.12,0.05,0.17,0.16,0.08,0.03,5,2019,All Households
Arunachal Pradesh,0,Rural,4,0.56,0.99,0.32,0.12,0.04,0.17,0.17,0.09,0.04,5,2019,All Households
Arunachal Pradesh,0,Rural,5,0.42,0.99,0.42,0.07,0.03,0.17,0.10,0.04,0.02,5,2019,All Households
Arunachal Pradesh,1,Urban,1,0.50,0.96,0.26,0.19,0.13,0.21,0.26,0.21,0.06,5,2019,All Households
Arunachal Pradesh,1,Urban,2,0.49,0.97,0.23,0.10,0.05,0.15,0.13,0.08,0.01,5,2019,All Households
Arunachal Pradesh,1,Urban,3,0.44,0.98,0.28,0.07,0.05,0.11,0.10,0.05,0.02,5,2019,All Households
Arunachal Pradesh,1,Urban,4,0.40,0.99,0.27,0.04,0.04,0.08,0.07,0.03,0.01,5,2019,All Households
Arunachal Pradesh,1,Urban,5,0.23,1.00,0.27,0.03,0.04,0.06,0.06,0.03,0.00,5,2019,All Households
Arunachal Pradesh,99,All,1,0.64,0.96,0.16,0.14,0.03,0.21,0.20,0.10,0.04,5,2019,All Households
Arunachal Pradesh,99,All,2,0.69,0.98,0.24,0.15,0.05,0.20,0.18,0.09,0.04,5,2019,All Households
Arunachal Pradesh,99,All,3,0.58,0.99,0.29,0.11,0.05,0.16,0.15,0.07,0.03,5,2019,All Households
Arunachal Pradesh,99,All,4,0.50,0.99,0.30,0.09,0.04,0.13,0.13,0.07,0.03,5,2019,All Households
Arunachal Pradesh,99,All,5,0.34,0.99,0.35,0.06,0.03,0.12,0.08,0.04,0.01,5,2019,All Households
Arunachal Pradesh,0,Rural,1,0.51,0.84,0.45,0.11,0.03,0.08,0.14,0.04,0.02,4,2015,All Households
Arunachal Pradesh,0,Rural,2,0.58,0.92,0.59,0.11,0.05,0.10,0.15,0.04,0.02,4,2015,All Households
Arunachal Pradesh,0,Rural,3,0.54,0.93,0.65,0.11,0.09,0.11,0.12,0.03,0.01,4,2015,All Households
Arunachal Pradesh,0,Rural,4,0.43,0.95,0.66,0.11,0.09,0.11,0.09,0.03,0.01,4,2015,All Households
Arunachal Pradesh,0,Rural,5,0.44,0.94,0.69,0.07,0.07,0.11,0.08,0.04,0.02,4,2015,All Households
Arunachal Pradesh,1,Urban,1,0.36,0.65,0.26,0.11,0.00,0.14,0.00,0.00,0.00,4,2015,All Households
Arunachal Pradesh,1,Urban,2,0.33,0.77,0.41,0.08,0.11,0.08,0.08,0.03,0.03,4,2015,All Households
Arunachal Pradesh,1,Urban,3,0.33,0.87,0.46,0.08,0.08,0.08,0.07,0.04,0.02,4,2015,All Households
Arunachal Pradesh,1,Urban,4,0.28,0.90,0.56,0.03,0.06,0.07,0.03,0.01,0.00,4,2015,All Households
Arunachal Pradesh,1,Urban,5,0.27,0.90,0.59,0.04,0.04,0.08,0.03,0.01,0.00,4,2015,All Households
Arunachal Pradesh,99,All,1,0.51,0.83,0.45,0.11,0.03,0.08,0.14,0.04,0.02,4,2015,All Households
Arunachal Pradesh,99,All,2,0.56,0.90,0.57,0.10,0.06,0.10,0.14,0.04,0.02,4,2015,All Households
Arunachal Pradesh,99,All,3,0.49,0.91,0.60,0.10,0.08,0.10,0.11,0.03,0.01,4,2015,All Households
Arunachal Pradesh,99,All,4,0.35,0.92,0.61,0.07,0.08,0.09,0.06,0.02,0.01,4,2015,All Households
Arunachal Pradesh,99,All,5,0.33,0.92,0.63,0.05,0.06,0.09,0.05,0.02,0.01,4,2015,All Households
Assam,0,Rural,1,0.56,0.13,0.01,0.35,0.19,0.39,0.35,0.19,0.08,5,2019,All Households
Assam,0,Rural,2,0.61,0.18,0.01,0.33,0.20,0.42,0.33,0.17,0.07,5,2019,All Households
Assam,0,Rural,3,0.46,0.24,0.01,0.30,0.16,0.40,0.28,0.14,0.05,5,2019,All Households
Assam,0,Rural,4,0.28,0.35,0.02,0.28,0.13,0.36,0.27,0.16,0.04,5,2019,All Households
Assam,0,Rural,5,0.14,0.45,0.07,0.23,0.06,0.32,0.24,0.11,0.06,5,2019,All Households
Assam,1,Urban,1,0.41,0.22,0.00,0.29,0.17,0.27,0.30,0.15,0.12,5,2019,All Households
Assam,1,Urban,2,0.45,0.32,0.01,0.29,0.14,0.35,0.30,0.19,0.07,5,2019,All Households
Assam,1,Urban,3,0.40,0.34,0.01,0.23,0.12,0.30,0.22,0.11,0.06,5,2019,All Households
Assam,1,Urban,4,0.26,0.43,0.04,0.17,0.09,0.26,0.17,0.10,0.04,5,2019,All Households
Assam,1,Urban,5,0.06,0.56,0.14,0.12,0.04,0.15,0.12,0.04,0.01,5,2019,All Households
Assam,99,All,1,0.56,0.13,0.01,0.35,0.19,0.39,0.35,0.19,0.08,5,2019,All Households
Assam,99,All,2,0.60,0.19,0.01,0.33,0.20,0.42,0.33,0.17,0.07,5,2019,All Households
Assam,99,All,3,0.44,0.27,0.01,0.28,0.15,0.38,0.26,0.14,0.05,5,2019,All Households
Assam,99,All,4,0.27,0.39,0.03,0.23,0.11,0.32,0.23,0.13,0.04,5,2019,All Households
Assam,99,All,5,0.08,0.52,0.12,0.16,0.04,0.21,0.16,0.06,0.03,5,2019,All Households
Assam,0,Rural,1,0.50,0.01,0.06,0.29,0.21,0.20,0.34,0.18,0.09,4,2015,All Households
Assam,0,Rural,2,0.53,0.01,0.08,0.29,0.26,0.20,0.31,0.17,0.08,4,2015,All Households
Assam,0,Rural,3,0.42,0.02,0.08,0.28,0.26,0.20,0.30,0.16,0.08,4,2015,All Households
Assam,0,Rural,4,0.23,0.04,0.10,0.24,0.20,0.21,0.26,0.14,0.06,4,2015,All Households
Assam,0,Rural,5,0.11,0.06,0.15,0.25,0.13,0.17,0.22,0.12,0.02,4,2015,All Households
Assam,1,Urban,1,0.32,0.03,0.02,0.28,0.27,0.17,0.25,0.11,0.05,4,2015,All Households
Assam,1,Urban,2,0.42,0.03,0.02,0.24,0.26,0.16,0.20,0.12,0.05,4,2015,All Households
Assam,1,Urban,3,0.33,0.08,0.03,0.20,0.21,0.13,0.17,0.08,0.04,4,2015,All Households
Assam,1,Urban,4,0.18,0.09,0.06,0.16,0.14,0.12,0.17,0.08,0.04,4,2015,All Households
Assam,1,Urban,5,0.07,0.09,0.10,0.08,0.03,0.11,0.06,0.02,0.01,4,2015,All Households
Assam,99,All,1,0.49,0.01,0.06,0.29,0.21,0.20,0.34,0.18,0.09,4,2015,All Households
Assam,99,All,2,0.53,0.01,0.08,0.29,0.26,0.19,0.31,0.17,0.08,4,2015,All Households
Assam,99,All,3,0.41,0.03,0.07,0.27,0.26,0.19,0.28,0.15,0.07,4,2015,All Households
Assam,99,All,4,0.21,0.06,0.08,0.21,0.17,0.17,0.22,0.11,0.06,4,2015,All Households
Assam,99,All,5,0.08,0.08,0.12,0.15,0.07,0.13,0.12,0.06,0.01,4,2015,All Households
Bihar,0,Rural,1,0.69,0.99,0.05,0.36,0.21,0.33,0.37,0.33,0.17,5,2019,All Households
Bihar,0,Rural,2,0.60,0.99,0.04,0.32,0.20,0.33,0.33,0.30,0.16,5,2019,All Households
Bihar,0,Rural,3,0.46,0.99,0.04,0.26,0.16,0.28,0.28,0.25,0.13,5,2019,All Households
Bihar,0,Rural,4,0.35,0.99,0.04,0.23,0.13,0.26,0.27,0.24,0.13,5,2019,All Households
Bihar,0,Rural,5,0.23,0.99,0.07,0.17,0.10,0.23,0.23,0.20,0.10,5,2019,All Households
Bihar,1,Urban,1,0.68,0.98,0.04,0.34,0.19,0.29,0.39,0.34,0.19,5,2019,All Households
Bihar,1,Urban,2,0.55,1.00,0.04,0.30,0.16,0.25,0.36,0.30,0.16,5,2019,All Households
Bihar,1,Urban,3,0.47,0.99,0.02,0.26,0.12,0.26,0.33,0.29,0.13,5,2019,All Households
Bihar,1,Urban,4,0.32,0.99,0.04,0.20,0.09,0.19,0.21,0.18,0.08,5,2019,All Households
Bihar,1,Urban,5,0.18,0.99,0.08,0.04,0.02,0.09,0.09,0.07,0.03,5,2019,All Households
Bihar,99,All,1,0.69,0.99,0.05,0.35,0.21,0.32,0.37,0.33,0.17,5,2019,All Households
Bihar,99,All,2,0.59,0.99,0.04,0.32,0.20,0.32,0.34,0.30,0.16,5,2019,All Households
Bihar,99,All,3,0.47,0.99,0.03,0.26,0.15,0.28,0.30,0.26,0.13,5,2019,All Households
Bihar,99,All,4,0.33,0.99,0.04,0.21,0.11,0.23,0.24,0.21,0.11,5,2019,All Households
Bihar,99,All,5,0.20,0.99,0.08,0.08,0.05,0.13,0.14,0.11,0.05,5,2019,All Households
Bihar,0,Rural,1,0.69,0.44,0.13,0.21,0.24,0.16,0.38,0.32,0.16,4,2015,All Households
Bihar,0,Rural,2,0.56,0.52,0.13,0.19,0.23,0.18,0.33,0.29,0.15,4,2015,All Households
Bihar,0,Rural,3,0.39,0.56,0.10,0.14,0.18,0.15,0.27,0.23,0.12,4,2015,All Households
Bihar,0,Rural,4,0.23,0.58,0.06,0.12,0.14,0.14,0.23,0.19,0.08,4,2015,All Households
Bihar,0,Rural,5,0.17,0.61,0.10,0.07,0.11,0.14,0.15,0.11,0.03,4,2015,All Households
Bihar,1,Urban,1,0.62,0.56,0.13,0.16,0.25,0.15,0.40,0.34,0.19,4,2015,All Households
Bihar,1,Urban,2,0.58,0.56,0.11,0.19,0.23,0.17,0.34,0.28,0.16,4,2015,All Households
Bihar,1,Urban,3,0.40,0.62,0.08,0.11,0.15,0.10,0.21,0.18,0.09,4,2015,All Households
Bihar,1,Urban,4,0.22,0.66,0.06,0.07,0.11,0.07,0.14,0.11,0.06,4,2015,All Households
Bihar,1,Urban,5,0.10,0.70,0.05,0.07,0.06,0.06,0.08,0.07,0.04,4,2015,All Households
Bihar,99,All,1,0.68,0.44,0.13,0.20,0.24,0.16,0.38,0.32,0.16,4,2015,All Households
Bihar,99,All,2,0.56,0.53,0.13,0.19,0.23,0.18,0.33,0.29,0.15,4,2015,All Households
Bihar,99,All,3,0.39,0.57,0.10,0.14,0.18,0.14,0.26,0.22,0.12,4,2015,All Households
Bihar,99,All,4,0.23,0.62,0.06,0.09,0.13,0.11,0.19,0.15,0.07,4,2015,All Households
Bihar,99,All,5,0.12,0.67,0.06,0.07,0.08,0.08,0.10,0.09,0.04,4,2015,All Households
Chandigarh,0,Rural,2,0.00,1.00,0.00,,,,,,,5,2019,All Households
Chandigarh,0,Rural,3,0.00,1.00,0.14,0.40,0.00,0.00,0.20,0.00,0.00,5,2019,All Households
Chandigarh,0,Rural,4,0.00,1.00,0.33,0.50,0.00,0.00,0.00,0.00,0.00,5,2019,All Households
Chandigarh,0,Rural,5,0.00,1.00,0.10,0.30,0.00,0.10,0.30,0.30,0.10,5,2019,All Households
Chandigarh,1,Urban,1,0.00,1.00,0.25,0.20,0.00,0.17,0.20,0.20,0.00,5,2019,All Households
Chandigarh,1,Urban,2,0.06,1.00,0.06,0.00,0.11,0.08,0.11,0.00,0.00,5,2019,All Households
Chandigarh,1,Urban,3,0.15,0.97,0.03,0.22,0.08,0.11,0.27,0.11,0.00,5,2019,All Households
Chandigarh,1,Urban,4,0.13,0.99,0.06,0.24,0.02,0.11,0.26,0.16,0.05,5,2019,All Households
Chandigarh,1,Urban,5,0.07,1.00,0.21,0.21,0.06,0.09,0.23,0.17,0.06,5,2019,All Households
Chandigarh,99,All,1,0.00,1.00,0.25,0.20,0.00,0.17,0.20,0.20,0.00,5,2019,All Households
Chandigarh,99,All,2,0.06,1.00,0.06,0.00,0.11,0.08,0.11,0.00,0.00,5,2019,All Households
Chandigarh,99,All,3,0.14,0.97,0.04,0.23,0.08,0.10,0.26,0.11,0.00,5,2019,All Households
Chandigarh,99,All,4,0.13,0.99,0.06,0.24,0.02,0.10,0.25,0.16,0.05,5,2019,All Households
Chandigarh,99,All,5,0.07,1.00,0.21,0.21,0.06,0.09,0.24,0.17,0.06,5,2019,All Households
Chandigarh,0,Rural,1,0.00,1.00,0.00,,,,,,,4,2015,All Households
Chandigarh,0,Rural,2,0.50,1.00,0.00,1.00,1.00,1.00,1.00,0.50,0.00,4,2015,All Households
Chandigarh,0,Rural,3,0.00,0.75,0.00,0.00,0.25,0.50,0.75,0.25,0.50,4,2015,All Households
Chandigarh,0,Rural,4,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,2015,All Households
Chandigarh,0,Rural,5,0.00,1.00,0.00,0.09,0.00,0.18,0.18,0.00,0.00,4,2015,All Households
Chandigarh,1,Urban,1,0.18,0.40,0.00,0.68,0.00,0.37,1.00,0.63,1.00,4,2015,All Households
Chandigarh,1,Urban,2,0.05,0.94,0.00,0.24,0.09,0.12,0.60,0.25,0.16,4,2015,All Households
Chandigarh,1,Urban,3,0.07,0.94,0.03,0.31,0.05,0.12,0.29,0.20,0.00,4,2015,All Households
Chandigarh,1,Urban,4,0.08,0.99,0.03,0.24,0.06,0.15,0.27,0.19,0.10,4,2015,All Households
Chandigarh,1,Urban,5,0.03,0.99,0.15,0.15,0.04,0.10,0.16,0.07,0.05,4,2015,All Households
Chandigarh,99,All,1,0.15,0.50,0.00,0.68,0.00,0.37,1.00,0.63,1.00,4,2015,All Households
Chandigarh,99,All,2,0.10,0.94,0.00,0.44,0.32,0.28,0.70,0.31,0.12,4,2015,All Households
Chandigarh,99,All,3,0.06,0.92,0.02,0.25,0.08,0.18,0.37,0.21,0.09,4,2015,All Households
Chandigarh,99,All,4,0.08,0.98,0.03,0.23,0.06,0.14,0.27,0.18,0.10,4,2015,All Households
Chandigarh,99,All,5,0.03,0.99,0.15,0.14,0.04,0.10,0.16,0.07,0.05,4,2015,All Households
Chhattisgarh,0,Rural,1,0.94,0.99,0.61,0.40,0.18,0.46,0.38,0.34,0.15,5,2019,All Households
Chhattisgarh,0,Rural,2,0.93,1.00,0.65,0.37,0.18,0.45,0.34,0.29,0.12,5,2019,All Households
Chhattisgarh,0,Rural,3,0.91,1.00,0.66,0.36,0.19,0.48,0.34,0.30,0.12,5,2019,All Households
Chhattisgarh,0,Rural,4,0.85,1.00,0.66,0.36,0.17,0.44,0.33,0.28,0.13,5,2019,All Households
Chhattisgarh,0,Rural,5,0.72,1.00,0.65,0.31,0.13,0.43,0.28,0.25,0.08,5,2019,All Households
Chhattisgarh,1,Urban,1,0.86,0.99,0.62,0.38,0.17,0.35,0.33,0.30,0.12,5,2019,All Households
Chhattisgarh,1,Urban,2,0.85,0.98,0.64,0.33,0.14,0.36,0.31,0.25,0.13,5,2019,All Households
Chhattisgarh,1,Urban,3,0.84,0.99,0.57,0.31,0.17,0.36,0.28,0.24,0.09,5,2019,All Households
Chhattisgarh,1,Urban,4,0.80,0.99,0.61,0.31,0.15,0.38,0.29,0.25,0.08,5,2019,All Households
Chhattisgarh,1,Urban,5,0.51,1.00,0.50,0.20,0.08,0.27,0.20,0.17,0.06,5,2019,All Households
Chhattisgarh,99,All,1,0.93,0.99,0.61,0.40,0.18,0.46,0.38,0.34,0.15,5,2019,All Households
Chhattisgarh,99,All,2,0.92,1.00,0.65,0.37,0.18,0.44,0.34,0.29,0.13,5,2019,All Households
Chhattisgarh,99,All,3,0.90,1.00,0.64,0.35,0.18,0.45,0.33,0.29,0.11,5,2019,All Households
Chhattisgarh,99,All,4,0.83,1.00,0.63,0.34,0.16,0.42,0.31,0.27,0.11,5,2019,All Households
Chhattisgarh,99,All,5,0.57,1.00,0.54,0.23,0.10,0.31,0.22,0.19,0.07,5,2019,All Households
Chhattisgarh,0,Rural,1,0.91,0.96,0.69,0.34,0.21,0.26,0.43,0.36,0.18,4,2015,All Households
Chhattisgarh,0,Rural,2,0.89,0.97,0.73,0.34,0.24,0.29,0.40,0.34,0.17,4,2015,All Households
Chhattisgarh,0,Rural,3,0.83,0.98,0.75,0.36,0.25,0.31,0.41,0.35,0.14,4,2015,All Households
Chhattisgarh,0,Rural,4,0.69,0.98,0.74,0.36,0.22,0.31,0.41,0.35,0.14,4,2015,All Households
Chhattisgarh,0,Rural,5,0.46,0.98,0.66,0.34,0.19,0.29,0.36,0.29,0.09,4,2015,All Households
Chhattisgarh,1,Urban,1,0.78,0.88,0.54,0.30,0.15,0.25,0.33,0.27,0.17,4,2015,All Households
Chhattisgarh,1,Urban,2,0.79,0.96,0.61,0.36,0.24,0.29,0.39,0.33,0.14,4,2015,All Households
Chhattisgarh,1,Urban,3,0.76,0.96,0.62,0.33,0.23,0.24,0.38,0.33,0.13,4,2015,All Households
Chhattisgarh,1,Urban,4,0.67,0.99,0.61,0.26,0.18,0.21,0.31,0.26,0.08,4,2015,All Households
Chhattisgarh,1,Urban,5,0.31,0.97,0.48,0.23,0.13,0.20,0.21,0.16,0.06,4,2015,All Households
Chhattisgarh,99,All,1,0.90,0.95,0.68,0.34,0.21,0.26,0.43,0.36,0.18,4,2015,All Households
Chhattisgarh,99,All,2,0.88,0.97,0.71,0.34,0.24,0.29,0.40,0.34,0.17,4,2015,All Households
Chhattisgarh,99,All,3,0.81,0.97,0.71,0.36,0.25,0.29,0.40,0.34,0.14,4,2015,All Households
Chhattisgarh,99,All,4,0.68,0.98,0.68,0.31,0.20,0.26,0.37,0.30,0.11,4,2015,All Households
Chhattisgarh,99,All,5,0.35,0.97,0.52,0.26,0.14,0.22,0.25,0.19,0.07,4,2015,All Households
Dadra and Nagar Haveli & Daman and Diu,0,Rural,1,0.54,1.04,0.02,0.27,0.01,0.11,0.44,0.36,0.26,4,2015,All Households
Dadra and Nagar Haveli & Daman and Diu,0,Rural,2,0.29,1.05,0.04,0.21,0.04,0.12,0.33,0.27,0.24,4,2015,All Households
Dadra and Nagar Haveli & Daman and Diu,0,Rural,3,0.37,1.07,0.10,0.16,0.05,0.16,0.27,0.20,0.12,4,2015,All Households
Dadra and Nagar Haveli & Daman and Diu,0,Rural,4,0.35,0.98,0.14,0.18,0.05,0.09,0.20,0.17,0.11,4,2015,All Households
Dadra and Nagar Haveli & Daman and Diu,0,Rural,5,0.17,1.00,0.23,0.19,0.05,0.13,0.25,0.20,0.12,4,2015,All Households
Dadra and Nagar Haveli & Daman and Diu,1,Urban,1,0.23,1.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,4,2015,All Households
Dadra and Nagar Haveli & Daman and Diu,1,Urban,2,0.14,0.88,0.08,0.08,0.08,0.08,0.19,0.12,0.07,4,2015,All Households
Dadra and Nagar Haveli & Daman and Diu,1,Urban,3,0.11,0.90,0.07,0.14,0.04,0.11,0.20,0.15,0.09,4,2015,All Households
Dadra and Nagar Haveli & Daman and Diu,1,Urban,4,0.10,0.99,0.21,0.07,0.02,0.10,0.12,0.09,0.07,4,2015,All Households
Dadra and Nagar Haveli & Daman and Diu,1,Urban,5,0.11,0.97,0.20,0.06,0.02,0.06,0.07,0.03,0.03,4,2015,All Households
Dadra and Nagar Haveli & Daman and Diu,99,All,1,0.53,1.04,0.02,0.27,0.01,0.11,0.44,0.36,0.26,4,2015,All Households
Dadra and Nagar Haveli & Daman and Diu,99,All,2,0.22,0.98,0.06,0.18,0.05,0.11,0.30,0.23,0.20,4,2015,All Households
Dadra and Nagar Haveli & Daman and Diu,99,All,3,0.21,0.96,0.08,0.15,0.04,0.13,0.24,0.17,0.11,4,2015,All Households
Dadra and Nagar Haveli & Daman and Diu,99,All,4,0.16,0.99,0.19,0.10,0.03,0.10,0.14,0.11,0.08,4,2015,All Households
Dadra and Nagar Haveli & Daman and Diu,99,All,5,0.11,0.97,0.20,0.07,0.03,0.07,0.09,0.05,0.04,4,2015,All Households
