,edu_cat,unemp_cws,lf_cws,emp_cws,unpaid_emp,salaried,casual,self_emp,neet,ind_cws_1,ind_cws_2,ind_cws_3,ind_cws_4,ind_cws_5,type,state,urban,level,area,year,dem,yr,youth,sex1,JQdim365,JQdim215,POV_365,POV_215,statename
3956,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,State+AllSectors+edu_cat,13,99,state,All,2019,Education,2019,NA,NA,NA,NA,NA,NA,Nagaland
3957,below primary,0.007683247,0.381013393,0.378085971,0.053419493,0.041686457,0.090988219,0.867325306,0.735259652,0.084034815,0.028840672,0.034231119,0.001616602,0.851276815,State+AllSectors+edu_cat,14,99,state,All,2019,Education,2019,NA,NA,0.737939477,1.039090872,0.463543802,0.231301174,Manipur
3958,primary and middle,0.051811386,0.51835382,0.491497189,0.034767933,0.124669492,0.109247126,0.76608336,0.300303549,0.150183156,0.10290958,0.114717931,0.023039829,0.609149516,State+AllSectors+edu_cat,14,99,state,All,2019,Education,2019,NA,NA,0.891643941,1.110722661,0.311045319,0.146872878,Manipur
3959,secondary,0.10797289,0.421276033,0.375789642,0.012711273,0.372276872,0.081405841,0.546317279,0.122018531,0.090014368,0.09238039,0.192214668,0.045343533,0.580047011,State+AllSectors+edu_cat,14,99,state,All,2019,Education,2019,NA,NA,1.233160019,1.46087122,0.286582202,0.137791887,Manipur
3960,tertiary,0.186273292,0.72723788,0.591772914,0.019152617,0.709351182,0.022796011,0.267852783,0.332900494,0.046895344,0.040916163,0.503961384,0.135464996,0.27276212,State+AllSectors+edu_cat,14,99,state,All,2019,Education,2019,NA,NA,2.039778709,2.197594643,0.150767297,0.06696783,Manipur
3961,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,1,State+AllSectors+edu_cat,14,99,state,All,2019,Education,2019,NA,NA,NA,NA,NA,NA,Manipur
3962,below primary,0,0.539710581,0.539710581,0.171475619,0.012887813,0.008284889,0.978827298,0.444750667,0.118046358,0.006714498,0.007281349,0,0.867957771,State+AllSectors+edu_cat,15,99,state,All,2019,Education,2019,NA,NA,1.119662881,1.165982008,0.430503547,0.407343954,Mizoram
3963,primary and middle,0.018318398,0.551816285,0.541707933,0.119751282,0.054431684,0.131019697,0.814548612,0.138052076,0.256821841,0.090577222,0.129356623,0.008893338,0.514350951,State+AllSectors+edu_cat,15,99,state,All,2019,Education,2019,NA,NA,1.138182402,1.335018992,0.383742929,0.26647985,Mizoram
3964,secondary,0.075657099,0.394067258,0.364253283,0.03793456,0.300531,0.064217173,0.63525182,0.048508558,0.106050491,0.040692624,0.217213959,0.029789742,0.606253207,State+AllSectors+edu_cat,15,99,state,All,2019,Education,2019,NA,NA,1.767766953,1.907793522,0.236614421,0.145722106,Mizoram
3965,tertiary,0.147588342,0.728555739,0.621029437,0.015642924,0.777368546,0.009461177,0.213170275,0.316027701,0.02874879,0.017160976,0.575119615,0.10752634,0.271444261,State+AllSectors+edu_cat,15,99,state,All,2019,Education,2019,NA,NA,2.975321054,3.010546923,0.081908852,0.067555271,Mizoram
3966,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,1,State+AllSectors+edu_cat,15,99,state,All,2019,Education,2019,NA,NA,NA,NA,NA,NA,Mizoram
3967,below primary,0.007206839,0.526149988,0.522358119,0.05613938,0.052102283,0.366646111,0.581251621,0.338437885,0.169916451,0.076396771,0.047861818,0.002377106,0.703447819,State+AllSectors+edu_cat,16,99,state,All,2019,Education,2019,NA,NA,0.617199719,0.972545326,0.524601102,0.235055968,Tripura
3968,primary and middle,0.026668411,0.513905764,0.500200689,0.045378834,0.154936224,0.246621639,0.598442137,0.325020164,0.182722539,0.104615174,0.144395664,0.011828933,0.556437671,State+AllSectors+edu_cat,16,99,state,All,2019,Education,2019,NA,NA,0.822763383,1.138851285,0.420989871,0.193356156,Tripura
3969,secondary,0.057564177,0.415356487,0.391446829,0.029182075,0.356941283,0.106730379,0.536328316,0.133516058,0.073757887,0.059199773,0.258489162,0.023909654,0.584643543,State+AllSectors+edu_cat,16,99,state,All,2019,Education,2019,NA,NA,1.269768,1.523436546,0.345542133,0.181732282,Tripura
3970,tertiary,0.126047105,0.66732049,0.583206654,0.014800383,0.605486035,0.019571908,0.374942034,0.280851841,0.036464442,0.040225681,0.506516516,0.084113814,0.33267954,State+AllSectors+edu_cat,16,99,state,All,2019,Education,2019,NA,NA,1.879400373,2.084881067,0.245776176,0.129188627,Tripura
3971,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,State+AllSectors+edu_cat,16,99,state,All,2019,Education,2019,NA,NA,NA,NA,NA,NA,Tripura
3972,below primary,0.000296005,0.700315475,0.700108171,0.094292626,0.077543303,0.466148078,0.456308603,0.329910934,0.149727166,0.066176057,0.03288202,0.000185201,0.751029551,State+AllSectors+edu_cat,17,99,state,All,2019,Education,2019,NA,NA,0.802695036,1.077721477,0.526961267,0.342602074,Meghalaya
3973,primary and middle,0.004439697,0.563964605,0.561460793,0.173844352,0.116459928,0.186159328,0.697380722,0.098844133,0.291873485,0.063487768,0.106238216,0.002055329,0.536345184,State+AllSectors+edu_cat,17,99,state,All,2019,Education,2019,NA,NA,0.868940592,1.029204726,0.501761615,0.400226146,Meghalaya
3974,secondary,0.077721179,0.441085994,0.406804293,0.035531789,0.453951418,0.100242428,0.445806146,0.084888361,0.081412613,0.05967553,0.265716136,0.034281723,0.558914006,State+AllSectors+edu_cat,17,99,state,All,2019,Education,2019,NA,NA,1.519298315,1.694177985,0.307489246,0.187458172,Meghalaya
3975,tertiary,0.164530084,0.811996043,0.678398252,0.016243361,0.796349168,0.045152117,0.158498719,0.431460917,0.027287656,0.041979507,0.609131098,0.133597776,0.188003957,State+AllSectors+edu_cat,17,99,state,All,2019,Education,2019,NA,NA,2.2016716,2.483867168,0.240462512,0.111339651,Meghalaya
3976,below primary,0.063824348,0.437004745,0.409113199,0.013366203,0.202591285,0.283897817,0.513510883,0.617336392,0.118971683,0.033649053,0.044739645,0.013856867,0.788782775,State+AllSectors+edu_cat,18,99,state,All,2019,Education,2019,NA,NA,0.814131498,1.130527258,0.399631709,0.181797564,Assam
3977,primary and middle,0.101383954,0.477752805,0.429316342,0.024299284,0.189010054,0.206929266,0.60406065,0.432591945,0.122934461,0.091060534,0.137994304,0.039686397,0.608324289,State+AllSectors+edu_cat,18,99,state,All,2019,Education,2019,NA,NA,0.92216289,1.159050703,0.343661427,0.183584154,Assam
3978,secondary,0.131563246,0.39526999,0.343266964,0.01099557,0.355250359,0.07252726,0.572222412,0.159626648,0.073352344,0.051570859,0.21804215,0.051957309,0.605077326,State+AllSectors+edu_cat,18,99,state,All,2019,Education,2019,NA,NA,1.262528777,1.472308397,0.251605541,0.125809669,Assam
3979,tertiary,0.192289501,0.675190032,0.545358062,0.006750722,0.728916705,0.015863091,0.255220205,0.354526728,0.023835214,0.069504216,0.452018648,0.129831955,0.324809968,State+AllSectors+edu_cat,18,99,state,All,2019,Education,2019,NA,NA,2.149986506,2.282837152,0.162168622,0.087687917,Assam
3980,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,State+AllSectors+edu_cat,18,99,state,All,2019,Education,2019,NA,NA,NA,NA,NA,NA,Assam
3981,below primary,0.061717227,0.511814058,0.480226338,0.027123336,0.152806655,0.394038826,0.453154534,0.465472221,0.138912305,0.074576356,0.073737428,0.019053476,0.69372046,State+AllSectors+edu_cat,19,99,state,All,2019,Education,2019,NA,NA,0.460858703,0.828960121,0.645354033,0.374344766,West Bengal
3982,primary and middle,0.085836723,0.520992279,0.476272017,0.034506675,0.177959487,0.248844147,0.573196352,0.411648184,0.146890447,0.118189916,0.134565309,0.037851706,0.562502623,State+AllSectors+edu_cat,19,99,state,All,2019,Education,2019,NA,NA,0.636379004,0.977302134,0.545377493,0.286577016,West Bengal
3983,secondary,0.112687543,0.422682643,0.375051588,0.035573069,0.347638756,0.127297238,0.525063992,0.269805163,0.099595942,0.090700187,0.184590563,0.047610126,0.577503204,State+AllSectors+edu_cat,19,99,state,All,2019,Education,2019,NA,NA,0.952370167,1.198819995,0.448456228,0.27953738,West Bengal
3984,tertiary,0.152919993,0.642540276,0.544283032,0.024455642,0.578998387,0.013903732,0.407097906,0.428072423,0.039537322,0.074128076,0.430617601,0.098257251,0.357459754,State+AllSectors+edu_cat,19,99,state,All,2019,Education,2019,NA,NA,1.639832735,1.784077644,0.2933487,0.205371886,West Bengal
3985,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,State+AllSectors+edu_cat,19,99,state,All,2019,Education,2019,NA,NA,NA,NA,NA,NA,West Bengal
3986,below primary,0.046625957,0.487254828,0.464536101,0.135012284,0.048127886,0.224990129,0.726881981,0.572360694,0.15725708,0.06978441,0.026694154,0.012350432,0.733913958,State+AllSectors+edu_cat,20,99,state,All,2019,Education,2019,NA,NA,0.333215684,0.610281765,0.746186078,0.540140688,Jharkhand
3987,primary and middle,0.091746747,0.513254821,0.466165364,0.086282611,0.133855447,0.218549728,0.64759481,0.342900842,0.150315464,0.112862192,0.079808518,0.034484562,0.622529268,State+AllSectors+edu_cat,20,99,state,All,2019,Education,2019,NA,NA,0.601805151,0.871809781,0.563547671,0.357522517,Jharkhand
3988,secondary,0.133677453,0.418346286,0.362422824,0.062535025,0.266888648,0.095379181,0.637732148,0.22166428,0.127326235,0.086820118,0.148217484,0.055914365,0.581721783,State+AllSectors+edu_cat,20,99,state,All,2019,Education,2019,NA,NA,0.773169219,1.000618935,0.503896892,0.345517337,Jharkhand
3989,tertiary,0.179114372,0.580185652,0.476266056,0.040795814,0.54653734,0.026657907,0.426804781,0.431298286,0.074198507,0.082777642,0.319289893,0.103919588,0.419814378,State+AllSectors+edu_cat,20,99,state,All,2019,Education,2019,NA,NA,1.56523931,1.749409437,0.291625857,0.173016042,Jharkhand
3990,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,State+AllSectors+edu_cat,20,99,state,All,2019,Education,2019,NA,NA,NA,NA,NA,NA,Jharkhand
3991,below primary,0.047423992,0.492436379,0.469083101,0.09654557,0.046523456,0.310481042,0.642995477,0.50037843,0.187249675,0.079984963,0.034707978,0.01499877,0.683058619,State+AllSectors+edu_cat,21,99,state,All,2019,Education,2019,NA,NA,0.38886252,0.720117867,0.675825775,0.414705694,Odisha
3992,primary and middle,0.100235425,0.52774334,0.474844784,0.073863871,0.123444378,0.266103476,0.610452116,0.409901172,0.162623808,0.106839933,0.088828407,0.041656215,0.600051641,State+AllSectors+edu_cat,21,99,state,All,2019,Education,2019,NA,NA,0.616136789,0.887029469,0.536010087,0.335729241,Odisha
3993,secondary,0.188393757,0.426274836,0.345967323,0.052680999,0.256781846,0.125333309,0.617884815,0.310330331,0.109535329,0.085322715,0.150788724,0.080233112,0.574120104,State+AllSectors+edu_cat,21,99,state,All,2019,Education,2019,NA,NA,0.82854557,1.101125836,0.487116903,0.284883618,Odisha
3994,tertiary,0.255523592,0.681126177,0.507082343,0.028221594,0.635540664,0.012185566,0.352273792,0.552941382,0.070371985,0.073157333,0.363553047,0.174043819,0.318873823,State+AllSectors+edu_cat,21,99,state,All,2019,Education,2019,NA,NA,1.856076121,1.981232285,0.20474951,0.130270049,Odisha
3995,below primary,0.033283614,0.578481197,0.559227228,0.181733221,0.060377646,0.196753204,0.742869139,0.561555207,0.251513779,0.034528892,0.023481792,0.010656789,0.679818749,State+AllSectors+edu_cat,22,99,state,All,2019,Education,2019,NA,NA,0.325249404,0.60996604,0.734175146,0.518556714,Chhattisgarh
3996,primary and middle,0.077233881,0.610568881,0.563412309,0.184429973,0.125397295,0.170300812,0.704301894,0.297858566,0.298658907,0.078483991,0.064974837,0.036861289,0.521020949,State+AllSectors+edu_cat,22,99,state,All,2019,Education,2019,NA,NA,0.480302662,0.734906018,0.662294447,0.463090539,Chhattisgarh
3997,secondary,0.106929034,0.458867878,0.409801573,0.105679758,0.268017769,0.089652449,0.642329812,0.224408135,0.200124726,0.081874885,0.127084956,0.048980448,0.541934967,State+AllSectors+edu_cat,22,99,state,All,2019,Education,2019,NA,NA,0.830220759,1.029458642,0.512158871,0.368223161,Chhattisgarh
3998,tertiary,0.184795082,0.670481324,0.546579659,0.049017642,0.600861847,0.017242149,0.381895989,0.38617292,0.054051392,0.091205731,0.401322544,0.123901658,0.329518676,State+AllSectors+edu_cat,22,99,state,All,2019,Education,2019,NA,NA,1.839435935,2.004435539,0.250825614,0.156535566,Chhattisgarh
3999,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,State+AllSectors+edu_cat,22,99,state,All,2019,Education,2019,NA,NA,NA,NA,NA,NA,Chhattisgarh
4000,below primary,0.073056981,0.533136785,0.494187415,0.127855062,0.058825716,0.30832088,0.632853389,0.583775699,0.208453029,0.043495581,0.028885707,0.022111144,0.697054565,State+AllSectors+edu_cat,23,99,state,All,2019,Education,2019,NA,NA,0.387874067,0.682381094,0.706819355,0.49044162,Madhya Pradesh
4001,primary and middle,0.112996325,0.582195401,0.516409457,0.110334978,0.135016978,0.26535809,0.599624932,0.404124498,0.23055388,0.095908813,0.089055955,0.052858062,0.531623304,State+AllSectors+edu_cat,23,99,state,All,2019,Education,2019,NA,NA,0.53655082,0.858001649,0.601086617,0.369574547,Madhya Pradesh
4002,secondary,0.08733508,0.452168941,0.412678719,0.092630349,0.254159838,0.093340039,0.652500153,0.161884695,0.184683546,0.083593428,0.143712133,0.039424218,0.548586667,State+AllSectors+edu_cat,23,99,state,All,2019,Education,2019,NA,NA,0.731034517,0.969307721,0.543455541,0.370453924,Madhya Pradesh
4003,tertiary,0.161501154,0.613447428,0.514374971,0.066261314,0.512263358,0.018666562,0.469070047,0.441688627,0.096454144,0.081071004,0.336849809,0.099072471,0.386552572,State+AllSectors+edu_cat,23,99,state,All,2019,Education,2019,NA,NA,1.575843811,1.724871159,0.331467301,0.237904519,Madhya Pradesh
4004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,State+AllSectors+edu_cat,23,99,state,All,2019,Education,2019,NA,NA,NA,NA,NA,NA,Madhya Pradesh
4005,below primary,0.01021528,0.538532853,0.533031583,0.087101422,0.126669884,0.313380837,0.559949279,0.60735172,0.216273963,0.042405114,0.041656774,0.003099665,0.696564496,State+AllSectors+edu_cat,24,99,state,All,2019,Education,2019,NA,NA,0.539191961,0.8339113,0.552757621,0.340638041,Gujarat
4006,primary and middle,0.023751915,0.582828999,0.568985701,0.089940123,0.259379596,0.177158669,0.563461721,0.377069533,0.222035214,0.133578852,0.105680652,0.011303267,0.527402043,State+AllSectors+edu_cat,24,99,state,All,2019,Education,2019,NA,NA,0.760289192,0.952846885,0.40683946,0.272064954,Gujarat
4007,secondary,0.037057307,0.475841343,0.458207935,0.076920509,0.33952561,0.081316777,0.579157591,0.140272871,0.156119779,0.141638622,0.158301324,0.017550729,0.526389539,State+AllSectors+edu_cat,24,99,state,All,2019,Education,2019,NA,NA,0.977814853,1.098541021,0.354507864,0.269982666,Gujarat
4008,tertiary,0.072690658,0.593562901,0.55041641,0.052928906,0.56749177,0.016569292,0.415938914,0.285139233,0.061479043,0.152918249,0.336019129,0.043146476,0.406437099,State+AllSectors+edu_cat,24,99,state,All,2019,Education,2019,NA,NA,1.422874212,1.504369974,0.228802621,0.170778036,Gujarat
4009,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,State+AllSectors+edu_cat,24,99,state,All,2019,Education,2019,NA,NA,NA,NA,NA,NA,Gujarat
4010,below primary,0.007297232,0.497566253,0.493935376,0.132711589,0.265675306,0.052480638,0.681844056,0.645767152,0.138466537,0.058087517,0.044040177,0.001768577,0.757637203,State+AllSectors+edu_cat,25,99,state,All,2019,Education,2019,NA,NA,0.78137815,0.986795127,0.471487761,0.309343487,Daman & Diu
4011,primary and middle,0.011604187,0.712537646,0.70426923,0.034116086,0.83516854,0.008045188,0.156786263,0.175282136,0.061712746,0.42102173,0.096732043,0.006803183,0.413730294,State+AllSectors+edu_cat,25,99,state,All,2019,Education,2019,NA,NA,1.511959314,1.553157926,0.094496071,0.064537667,Daman & Diu
4012,secondary,0.057788525,0.622188926,0.586233497,0.017980896,0.78614974,0,0.213850275,0.168430552,0.047535688,0.370721906,0.167975947,0.035955381,0.377811104,State+AllSectors+edu_cat,25,99,state,All,2019,Education,2019,NA,NA,1.72749722,1.776522756,0.089126118,0.059286542,Daman & Diu
4013,tertiary,0.09038642,0.726005793,0.660384715,0.019032042,0.833707392,0.004770429,0.16152218,0.346625477,0.013103518,0.450953603,0.196327627,0.065621063,0.273994207,State+AllSectors+edu_cat,25,99,state,All,2019,Education,2019,NA,NA,2.026814699,2.11087656,0.123292431,0.058640104,Daman & Diu
4014,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,State+AllSectors+edu_cat,25,99,state,All,2019,Education,2019,NA,NA,NA,NA,NA,NA,Daman & Diu
4015,below primary,0.043433554,0.552676082,0.528671384,0.088060081,0.098857656,0.416253,0.484889328,0.409917057,0.221375197,0.03134837,0.040807128,0.013305383,0.693163931,State+AllSectors+edu_cat,27,99,state,All,2019,Education,2019,NA,NA,0.527319789,0.799004018,0.586448908,0.381369323,Maharashtra
4016,primary and middle,0.083618544,0.604223728,0.553699434,0.079778627,0.209231585,0.307014912,0.483753502,0.269144237,0.230150998,0.080071203,0.11870297,0.039088387,0.531986415,State+AllSectors+edu_cat,27,99,state,All,2019,Education,2019,NA,NA,0.800632656,1.037503481,0.461580276,0.291789293,Maharashtra
4017,secondary,0.103316613,0.464831948,0.416807085,0.054753091,0.350690633,0.153854832,0.49545455,0.169591546,0.155318692,0.087143578,0.174060032,0.047992051,0.535485625,State+AllSectors+edu_cat,27,99,state,All,2019,Education,2019,NA,NA,1.158567786,1.320222497,0.35810101,0.244779676,Maharashtra
4018,tertiary,0.114324041,0.662713706,0.586949646,0.050656803,0.599849224,0.027163884,0.372986913,0.306121886,0.078721628,0.113294259,0.39493373,0.075764112,0.337286264,State+AllSectors+edu_cat,27,99,state,All,2019,Education,2019,NA,NA,1.877351403,1.96521008,0.202042222,0.146571726,Maharashtra
4019,below primary,0.069734879,0.562343776,0.523128748,0.056721967,0.071023926,0.48710385,0.441872209,0.53684932,0.227861121,0.070202284,0.065294661,0.0272198,0.609422147,State+AllSectors+edu_cat,28,99,state,All,2019,Education,2019,NA,NA,0.601345778,0.894792616,0.524097085,0.296742171,Andhra Pradesh
4020,primary and middle,0.066495486,0.595337272,0.555750012,0.052442092,0.141170457,0.380888253,0.477941275,0.330702841,0.171879783,0.117131747,0.126763225,0.029798485,0.55442673,State+AllSectors+edu_cat,28,99,state,All,2019,Education,2019,NA,NA,0.824575245,1.058290601,0.387339205,0.20187512,Andhra Pradesh
4021,secondary,0.091858014,0.421586812,0.38286069,0.035021365,0.344986469,0.21183449,0.443179041,0.215957776,0.10556858,0.101801991,0.174447134,0.038620632,0.579561651,State+AllSectors+edu_cat,28,99,state,All,2019,Education,2019,NA,NA,0.96866262,1.272212744,0.366096109,0.179246515,Andhra Pradesh
4022,tertiary,0.269117057,0.717891932,0.524694979,0.021686897,0.708453715,0.060060058,0.231486216,0.530740023,0.055810127,0.09374515,0.375139683,0.193196967,0.282108068,State+AllSectors+edu_cat,28,99,state,All,2019,Education,2019,NA,NA,1.817410588,2.028764009,0.195550263,0.085283287,Andhra Pradesh
4023,below primary,0.019496579,0.536367893,0.525910556,0.08460734,0.078179307,0.390673399,0.531147301,0.435922742,0.225324094,0.041788675,0.052042879,0.006345384,0.674498975,State+AllSectors+edu_cat,29,99,state,All,2019,Education,2019,NA,NA,0.645875335,0.924567163,0.521191001,0.315444887,Karnataka
4024,primary and middle,0.023311764,0.560706019,0.547634959,0.086275026,0.199023932,0.23882018,0.562155902,0.25160867,0.189941317,0.100068808,0.119787417,0.009763502,0.580438972,State+AllSectors+edu_cat,29,99,state,All,2019,Education,2019,NA,NA,0.892706752,1.061850071,0.399608791,0.272809476,Karnataka
4025,secondary,0.044881944,0.454755574,0.434345275,0.073511437,0.323709756,0.13011536,0.546174884,0.206316784,0.151414156,0.099805787,0.182957962,0.02040245,0.545419633,State+AllSectors+edu_cat,29,99,state,All,2019,Education,2019,NA,NA,1.084974051,1.22951436,0.370297015,0.269469976,Karnataka
4026,tertiary,0.168392345,0.661685646,0.550262809,0.03462816,0.725708544,0.020727038,0.253564417,0.471832544,0.061938763,0.126337618,0.361986428,0.1114228,0.338314384,State+AllSectors+edu_cat,29,99,state,All,2019,Education,2019,NA,NA,2.157650709,2.233190775,0.160680756,0.119250402,Karnataka
4027,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,State+AllSectors+edu_cat,29,99,state,All,2019,Education,2019,NA,NA,NA,NA,NA,NA,Karnataka
4028,below primary,0.085349768,0.331591576,0.303290308,0.04368604,0.353218585,0.127949178,0.518832207,1,0.063503884,0.012332701,0.068364024,0.013455952,0.84234345,State+AllSectors+edu_cat,30,99,state,All,2019,Education,2019,NA,NA,1.616080642,1.737320542,0.285581559,0.21075055,Goa
4029,primary and middle,0.062882252,0.492951274,0.461953402,0.038401667,0.523567677,0.087253042,0.389179289,0.22945486,0.066169135,0.109550387,0.197265461,0.02499322,0.602021813,State+AllSectors+edu_cat,30,99,state,All,2019,Education,2019,NA,NA,2.017426968,2.108700752,0.200892627,0.169518396,Goa
4030,secondary,0.120179296,0.488347054,0.429657847,0.01441494,0.725737751,0.013014059,0.261248171,0.176586688,0.010139043,0.094338462,0.325180322,0.058689203,0.511652946,State+AllSectors+edu_cat,30,99,state,All,2019,Education,2019,NA,NA,2.725902319,2.81222415,0.085415632,0.059549417,Goa
4031,tertiary,0.150899291,0.724712968,0.6153543,0.011434901,0.787885904,0.006063089,0.206051037,0.39652276,0.003730948,0.163347557,0.448275805,0.109358668,0.275287032,State+AllSectors+edu_cat,30,99,state,All,2019,Education,2019,NA,NA,3.092635155,3.10848856,0.050747588,0.042820852,Goa
4032,below primary,0,0.208895802,0.208895802,0,0.402417332,0.097733051,0.499849617,0.730062306,0.014828264,0.026750175,0.034993608,0,0.923427939,State+AllSectors+edu_cat,31,99,state,All,2019,Education,2019,NA,NA,1.075647354,1.784115911,0.572228372,0.059225891,Lakshadweep
4033,primary and middle,0.092357241,0.571158767,0.51840812,0.01872712,0.394328415,0.085878372,0.519793212,0.48311016,0.150659293,0.157017246,0.149720803,0.046542492,0.496060163,State+AllSectors+edu_cat,31,99,state,All,2019,Education,2019,NA,NA,1.722122192,1.818258286,0.180374801,0.113980062,Lakshadweep
4034,secondary,0.294024438,0.541379154,0.38220045,0,0.754180372,0.040722944,0.205096677,0.400710583,0.045949027,0.044328693,0.291922718,0.159178704,0.458620846,State+AllSectors+edu_cat,31,99,state,All,2019,Education,2019,NA,NA,2.50407362,2.529909372,0.133047119,0.107211165,Lakshadweep
4035,tertiary,0.34046188,0.870816827,0.574336886,0,0.879550755,0.045345485,0.075103737,0.682029486,0.016486885,0.104892671,0.452957362,0.29647994,0.129183143,State+AllSectors+edu_cat,31,99,state,All,2019,Education,2019,NA,NA,2.717770338,2.976760626,0.121173263,0.045140576,Lakshadweep
4036,below primary,0.100958742,0.310561001,0.27920714,0.00710904,0.154961213,0.433044553,0.411994249,0.693318188,0.047347158,0.033895094,0.043606762,0.014020046,0.861130953,State+AllSectors+edu_cat,32,99,state,All,2019,Education,2019,NA,NA,0.771426499,0.986097574,0.435261399,0.271362126,Kerala
4037,primary and middle,0.106107377,0.482316017,0.431138724,0.018454302,0.203300104,0.335599154,0.461100727,0.11197792,0.089155279,0.120639607,0.14763695,0.04264082,0.599927366,State+AllSectors+edu_cat,32,99,state,All,2019,Education,2019,NA,NA,0.924063623,1.123228788,0.37313965,0.225058123,Kerala
4038,secondary,0.169813752,0.400947392,0.332861006,0.019847069,0.375766456,0.189139664,0.43509388,0.203820482,0.053926233,0.102492668,0.176059574,0.068008132,0.599513412,State+AllSectors+edu_cat,32,99,state,All,2019,Education,2019,NA,NA,1.1891222,1.339035273,0.315507859,0.207490399,Kerala
4039,tertiary,0.25930953,0.665534973,0.492955416,0.019444318,0.6049757,0.060013309,0.335011005,0.515477359,0.060286481,0.083130471,0.349538445,0.172579557,0.334465027,State+AllSectors+edu_cat,32,99,state,All,2019,Education,2019,NA,NA,1.841692328,1.940179944,0.225770473,0.161770836,Kerala
4040,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,State+AllSectors+edu_cat,32,99,state,All,2019,Education,2019,NA,NA,NA,NA,NA,NA,Kerala
4041,below primary,0.065564387,0.558467269,0.521851718,0.031810071,0.144128233,0.491595358,0.364276409,0.812979043,0.153530017,0.098654859,0.057567969,0.021733712,0.668513417,State+AllSectors+edu_cat,33,99,state,All,2019,Education,2019,NA,NA,0.59043169,0.926795781,0.60309124,0.362480104,Tamil Nadu
4042,primary and middle,0.075548135,0.632985234,0.585164368,0.037121553,0.245231032,0.340093374,0.414675593,0.374032736,0.138118282,0.171359718,0.15028961,0.037684169,0.502548218,State+AllSectors+edu_cat,33,99,state,All,2019,Education,2019,NA,NA,0.930308342,1.154778361,0.413489223,0.250046492,Tamil Nadu
4043,secondary,0.075488977,0.401937455,0.371595621,0.028541163,0.41879788,0.187692717,0.393509388,0.145890698,0.080996521,0.116549753,0.172184467,0.030187245,0.60008198,State+AllSectors+edu_cat,33,99,state,All,2019,Education,2019,NA,NA,1.295251608,1.478431225,0.306945294,0.193540826,Tamil Nadu
4044,tertiary,0.20024009,0.683059394,0.546283543,0.021162363,0.732219875,0.039034862,0.228745282,0.46054253,0.03542703,0.141606271,0.369250208,0.136775866,0.316940606,State+AllSectors+edu_cat,33,99,state,All,2019,Education,2019,NA,NA,2.100811243,2.241334677,0.169371098,0.100944437,Tamil Nadu
4045,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,State+AllSectors+edu_cat,33,99,state,All,2019,Education,2019,NA,NA,NA,NA,NA,NA,Tamil Nadu
4046,below primary,0.0138131,0.356226981,0.351306379,0.009010309,0.32728976,0.274496347,0.398213923,0,0.065408513,0.051443093,0.04925881,0.002326638,0.831562936,State+AllSectors+edu_cat,34,99,state,All,2019,Education,2019,NA,NA,0.999782741,1.341662765,0.404348701,0.140685245,Puducherry
4047,primary and middle,0.083886757,0.512884319,0.469860107,0.026842693,0.392714262,0.092419147,0.51486659,0.287339419,0.055651065,0.114345975,0.172566757,0.031367917,0.626068294,State+AllSectors+edu_cat,34,99,state,All,2019,Education,2019,NA,NA,1.297553062,1.500286341,0.272481084,0.108219288,Puducherry
4048,secondary,0.072086632,0.445782781,0.413647801,0.015331074,0.480225325,0.147990033,0.371784627,0.100562602,0.060290482,0.141208202,0.211965755,0.032120734,0.554414809,State+AllSectors+edu_cat,34,99,state,All,2019,Education,2019,NA,NA,1.594759464,1.812601924,0.214872196,0.05356824,Puducherry
4049,tertiary,0.178168133,0.652788341,0.536482275,0.019972926,0.68114543,0.014495068,0.304359525,0.49006778,0.025862627,0.12448968,0.386129946,0.116306081,0.347211659,State+AllSectors+edu_cat,34,99,state,All,2019,Education,2019,NA,NA,2.165820599,2.189599276,0.078260772,0.061008908,Puducherry
4050,below primary,0.093365632,0.413504899,0.374897748,0.015658643,0.308613271,0.247429863,0.443956882,0.236556932,0.089321539,0.066336133,0.072225034,0.023242345,0.748874962,State+AllSectors+edu_cat,35,99,state,All,2019,Education,2019,NA,NA,1.206791639,1.409584999,0.306855828,0.145430744,A & N Island
