sector,state_numeric,m_poor_1_33,bpl,aadhar,health_insu_govt,household_has_preg_benefits,household_has_preg_fin,household_health_met,household_angan_benefits,household_angan_immun,household_angan_ecc,Year
1,Bihar,0,0.29,0.65,0.07,0.08,0.11,0.08,0.15,0.12,0.06,2015
1,Jharkhand,1,0.5,0.99,0.01,0.43,0.14,0.26,0.44,0.36,0.19,2019
0,Ladakh,1,0.82,0.98,0.05,0.47,0.51,0.34,0.48,0.36,0.04,2019
99,Ladakh,1,0.81,0.97,0.05,0.46,0.52,0.35,0.47,0.35,0.04,2019
1,Rajasthan,1,0.26,0.98,0.82,0.45,0.3,0.27,0.43,0.35,0.1,2019
1,Chandigarh,1,0.08,0.8,0,0.48,0.09,0.22,0.73,0.5,0.31,2015
99,Chandigarh,1,0.1,0.77,0,0.49,0.22,0.31,0.73,0.5,0.29,2015
0,Pondicherry,1,0.43,1,0.21,0.52,0.27,0.48,0.52,0.34,0.18,2019
99,Tamil Nadu,1,0.3,0.98,0.63,0.45,0.29,0.32,0.42,0.34,0.17,2019
0,Chandigarh,1,0.17,0.67,0,0.5,0.75,0.75,0.75,0.5,0.25,2015
99,Punjab,1,0.24,0.98,0.1,0.43,0.14,0.25,0.43,0.33,0.13,2019
1,Chandigarh,0,0.04,0.99,0.13,0.16,0.04,0.11,0.18,0.09,0.06,2015
99,Chandigarh,0,0.04,0.99,0.12,0.16,0.04,0.11,0.19,0.09,0.06,2015
0,Chandigarh,0,0,1,0,0.08,0,0.23,0.31,0,0.08,2015
1,Ladakh,1,0.6,0.86,0.14,0.32,0.69,0.53,0.32,0.32,0,2019
0,Chhattisgarh,1,0.89,0.96,0.67,0.46,0.29,0.32,0.55,0.48,0.23,2015
99,Chhattisgarh,1,0.88,0.96,0.67,0.46,0.29,0.32,0.55,0.47,0.22,2015
0,Tamil Nadu,1,0.33,0.99,0.64,0.43,0.26,0.29,0.39,0.32,0.16,2019
1,Chhattisgarh,1,0.76,0.95,0.59,0.48,0.31,0.32,0.52,0.45,0.18,2015
0,Chhattisgarh,0,0.83,0.98,0.74,0.26,0.17,0.26,0.3,0.25,0.11,2015
99,Chhattisgarh,0,0.72,0.97,0.68,0.25,0.16,0.24,0.29,0.23,0.1,2015
0,Delhi,0,0.26,0.98,0.11,0.34,0.05,0.45,0.4,0.32,0.1,2019
0,Odisha,0,0.51,1,0.51,0.38,0.26,0.57,0.35,0.31,0.21,2019
1,Chhattisgarh,0,0.52,0.97,0.55,0.24,0.15,0.21,0.25,0.2,0.08,2015
1,Dadra & Nagar Haveli,1,0.21,0.95,0.08,0.22,0,0.27,0.62,0.5,0.22,2015
99,Dadra & Nagar Haveli,1,0.38,0.98,0.05,0.29,0.03,0.17,0.47,0.39,0.28,2015
0,Dadra & Nagar Haveli,1,0.4,0.99,0.04,0.3,0.03,0.17,0.46,0.38,0.29,2015
99,Odisha,0,0.46,1,0.45,0.36,0.25,0.54,0.34,0.3,0.2,2019
0,Tripura,1,0.59,0.98,0.23,0.51,0.09,0.36,0.46,0.3,0.21,2019
0,Uttar Pradesh,0,0.4,0.99,0.02,0.33,0.18,0.41,0.33,0.3,0.11,2019
99,Tripura,1,0.58,0.98,0.22,0.5,0.09,0.34,0.46,0.29,0.21,2019
1,A & N Island,1,0.34,1,0,0,0,0.36,0.29,0.29,0,2019
0,Dadra & Nagar Haveli,0,0.45,1.02,0.06,0.15,0,0.1,0.25,0.18,0.14,2015
99,Dadra & Nagar Haveli,0,0.23,0.98,0.2,0.11,0,0.11,0.16,0.1,0.08,2015
1,West Bengal,1,0.49,0.98,0.15,0.43,0.19,0.47,0.47,0.29,0.28,2019
0,Sikkim,1,0.57,0.95,0.09,0.43,0.11,0.38,0.46,0.29,0.12,2019
99,Sikkim,1,0.57,0.95,0.09,0.42,0.12,0.36,0.48,0.29,0.11,2019
1,Dadra & Nagar Haveli,0,0.12,0.96,0.27,0.09,0,0.12,0.11,0.06,0.05,2015
1,Sikkim,1,0.52,0.95,0,0.28,0.23,0.05,0.75,0.28,0,2019
99,West Bengal,1,0.65,0.98,0.26,0.5,0.22,0.48,0.5,0.28,0.32,2019
0,West Bengal,1,0.67,0.98,0.28,0.5,0.23,0.48,0.5,0.28,0.33,2019
0,Daman & Diu,1,0.49,0.98,0.15,0.33,0.56,0,0.55,0.29,0.23,2015
99,Uttar Pradesh,0,0.35,0.99,0.02,0.3,0.16,0.37,0.31,0.27,0.1,2019
0,Daman & Diu,0,0.23,1.18,0.15,0.12,0.09,0.06,0.15,0.13,0.08,2015
0,Himachal Pradesh,1,0.37,0.98,0.21,0.59,0.09,0.53,0.56,0.27,0.22,2019
1,Maharashtra,1,0.33,0.97,0.06,0.25,0.07,0.23,0.32,0.27,0.15,2019
0,Chhattisgarh,0,0.91,1,0.66,0.33,0.16,0.45,0.31,0.27,0.11,2019
1,Tripura,1,0.52,0.99,0.18,0.42,0.09,0.19,0.41,0.27,0.23,2019
99,Daman & Diu,1,0.16,0.97,0.08,0.16,0.16,0.05,0.27,0.13,0.08,2015
1,Daman & Diu,1,0.07,0.97,0.07,0.12,0.08,0.06,0.21,0.1,0.05,2015
99,Daman & Diu,0,0.11,0.98,0.08,0.07,0.07,0.04,0.11,0.09,0.06,2015
1,Daman & Diu,0,0.07,0.92,0.06,0.05,0.06,0.03,0.1,0.08,0.06,2015
0,Karnataka,0,0.9,0.99,0.13,0.3,0.05,0.63,0.29,0.26,0.15,2019
1,Delhi,1,0.19,1.03,0.02,0.21,0.06,0.16,0.23,0.16,0.04,2015
99,Delhi,1,0.19,1.02,0.02,0.21,0.06,0.17,0.23,0.16,0.04,2015
99,Himachal Pradesh,1,0.35,0.98,0.2,0.57,0.09,0.5,0.54,0.26,0.2,2019
0,MP,0,0.58,0.99,0.13,0.31,0.19,0.33,0.29,0.26,0.13,2019
0,Meghalaya,1,0.58,0.27,0.61,0.52,0.13,0.4,0.58,0.26,0.11,2019
1,Delhi,0,0.2,0.98,0.05,0.09,0.03,0.13,0.07,0.05,0.02,2015
0,Gujarat,0,0.41,0.99,0.42,0.3,0.07,0.49,0.28,0.25,0.21,2019
99,MP,0,0.53,0.99,0.14,0.31,0.18,0.32,0.29,0.25,0.12,2019
99,Meghalaya,1,0.58,0.27,0.6,0.52,0.14,0.4,0.57,0.25,0.11,2019
99,Chhattisgarh,0,0.86,1,0.64,0.31,0.15,0.42,0.29,0.25,0.1,2019
0,Assam,1,0.52,0.13,0.01,0.47,0.26,0.46,0.47,0.25,0.11,2019
99,Assam,1,0.51,0.13,0.01,0.46,0.26,0.46,0.47,0.25,0.11,2019
99,Delhi,0,0.2,0.98,0.05,0.09,0.03,0.13,0.07,0.05,0.02,2015
0,Jharkhand,0,0.65,1,0.04,0.32,0.11,0.26,0.29,0.25,0.14,2019
0,Haryana,0,0.27,1,0.09,0.31,0.06,0.4,0.3,0.25,0.1,2019
0,Delhi,0,0.13,1,0.04,0.06,0,0.27,0.04,0,0,2015
99,Karnataka,0,0.79,0.99,0.12,0.28,0.04,0.56,0.27,0.24,0.14,2019
1,MP,0,0.4,0.99,0.16,0.29,0.15,0.3,0.28,0.24,0.11,2019
0,Dadra & Nagar Haveli,0,0.49,0.99,0.03,0.24,0.06,0.48,0.26,0.24,0.21,2019
0,Delhi,1,0,0.94,0,0,0,0.92,0.08,0,0.08,2015
99,Dadra & Nagar Haveli,0,0.4,0.99,0.02,0.24,0.07,0.49,0.27,0.24,0.19,2019
0,Goa,1,0.32,0.91,0.02,0.28,0.1,0.21,0.37,0.26,0.22,2015
1,Dadra & Nagar Haveli,0,0.34,0.99,0.02,0.24,0.07,0.49,0.28,0.24,0.16,2019
1,Odisha,0,0.28,1,0.2,0.31,0.21,0.43,0.28,0.24,0.15,2019
99,Goa,1,0.2,0.82,0.01,0.44,0.08,0.32,0.42,0.24,0.18,2015
0,Rajasthan,0,0.26,1,0.9,0.3,0.2,0.29,0.27,0.24,0.09,2019
1,Goa,1,0.07,0.71,0,0.6,0.05,0.44,0.48,0.22,0.14,2015
0,Tamil Nadu,0,0.29,1,0.7,0.31,0.19,0.3,0.28,0.24,0.1,2019
0,Goa,0,0.22,0.94,0.05,0.26,0.07,0.26,0.29,0.16,0.1,2015
99,Goa,0,0.14,0.94,0.06,0.21,0.06,0.24,0.22,0.13,0.09,2015
1,Goa,0,0.09,0.94,0.06,0.19,0.05,0.23,0.19,0.12,0.09,2015
0,Gujarat,1,0.6,0.86,0.21,0.3,0.09,0.24,0.44,0.38,0.24,2015
99,Gujarat,1,0.57,0.86,0.19,0.29,0.08,0.23,0.44,0.38,0.23,2015
1,Gujarat,1,0.38,0.83,0.1,0.25,0.03,0.19,0.42,0.36,0.2,2015
0,India,0,0.52,0.97,0.32,0.3,0.13,0.37,0.29,0.23,0.13,2019
0,Bihar,0,0.57,0.99,0.05,0.24,0.15,0.27,0.26,0.23,0.12,2019
0,Gujarat,0,0.4,0.92,0.19,0.18,0.05,0.22,0.27,0.23,0.16,2015
1,Punjab,1,0.12,0.97,0.06,0.28,0.11,0.2,0.29,0.23,0.1,2019
99,Gujarat,0,0.32,0.92,0.15,0.14,0.03,0.19,0.22,0.18,0.12,2015
1,Karnataka,0,0.66,0.99,0.11,0.25,0.02,0.47,0.25,0.22,0.13,2019
99,Jharkhand,0,0.57,1,0.06,0.28,0.1,0.22,0.26,0.22,0.12,2019
1,Gujarat,0,0.23,0.93,0.11,0.11,0.02,0.16,0.16,0.14,0.08,2015
0,Haryana,1,0.44,0.89,0.04,0.34,0.08,0.31,0.37,0.32,0.17,2015
99,Rajasthan,0,0.23,1,0.86,0.28,0.19,0.26,0.26,0.22,0.08,2019
99,Haryana,0,0.24,1,0.09,0.27,0.05,0.35,0.27,0.22,0.09,2019
99,Bihar,0,0.53,0.99,0.05,0.23,0.13,0.25,0.25,0.22,0.11,2019
1,Ladakh,0,0.52,0.99,0.13,0.23,0.24,0.28,0.27,0.22,0.1,2019
0,Uttarakhand,0,0.41,0.99,0.1,0.35,0.13,0.24,0.29,0.22,0.08,2019
99,Uttarakhand,0,0.33,0.99,0.11,0.34,0.12,0.24,0.29,0.22,0.08,2019
0,Jammu & Kashmir,1,0.84,0.99,0.01,0.31,0.34,0.3,0.41,0.22,0.1,2019
99,Haryana,1,0.39,0.85,0.03,0.31,0.08,0.31,0.34,0.3,0.15,2015
1,Haryana,1,0.27,0.76,0.02,0.23,0.08,0.29,0.27,0.24,0.1,2015
0,Maharashtra,0,0.46,1,0.11,0.25,0.05,0.29,0.26,0.21,0.14,2019
1,Assam,1,0.37,0.23,0,0.39,0.2,0.38,0.37,0.21,0.12,2019
99,Gujarat,0,0.31,0.99,0.36,0.26,0.06,0.42,0.24,0.21,0.17,2019
0,Haryana,0,0.25,0.95,0.05,0.21,0.06,0.28,0.24,0.21,0.1,2015
1,Uttarakhand,0,0.18,0.99,0.14,0.31,0.11,0.24,0.27,0.21,0.07,2019
99,Jammu & Kashmir,1,0.85,0.99,0.01,0.31,0.35,0.3,0.4,0.21,0.1,2019
99,A & N Island,1,0.22,0.99,0.01,0.26,0.04,0.32,0.34,0.21,0.15,2019
0,Mizoram,1,0.61,0.96,0.24,0.48,0.14,0.16,0.51,0.21,0.23,2019
99,Haryana,0,0.21,0.94,0.05,0.18,0.05,0.24,0.19,0.17,0.08,2015
1,Chhattisgarh,0,0.71,0.99,0.57,0.26,0.12,0.33,0.25,0.21,0.08,2019
1,Uttar Pradesh,0,0.24,0.99,0.03,0.22,0.09,0.28,0.24,0.21,0.08,2019
99,Tamil Nadu,0,0.25,0.99,0.62,0.27,0.17,0.27,0.25,0.21,0.08,2019
99,India,0,0.45,0.97,0.29,0.26,0.11,0.33,0.26,0.21,0.11,2019
1,Haryana,0,0.15,0.92,0.06,0.13,0.03,0.19,0.12,0.11,0.05,2015
0,Himachal Pradesh,1,0.4,0.97,0.24,0.19,0.08,0.05,0.46,0.13,0.16,2015
99,Mizoram,1,0.59,0.96,0.25,0.5,0.15,0.16,0.5,0.2,0.22,2019
99,Himachal Pradesh,1,0.4,0.97,0.25,0.19,0.08,0.05,0.45,0.13,0.16,2015
1,Arunachal Pradesh,1,0.41,0.94,0.22,0.15,0.09,0.25,0.25,0.2,0.06,2019
0,Andhra Pradesh,0,0.95,1,0.84,0.26,0.09,0.23,0.24,0.2,0.14,2019
1,Himachal Pradesh,1,0.73,0.9,0.31,0.17,0.06,0,0.31,0.11,0.17,2015
0,Telangana,0,0.92,1,0.75,0.27,0.08,0.35,0.24,0.2,0.12,2019
0,A & N Island,1,0.2,0.98,0.01,0.31,0.05,0.31,0.34,0.2,0.17,2019
0,Himachal Pradesh,0,0.24,0.99,0.23,0.14,0.05,0.11,0.27,0.07,0.07,2015
99,Himachal Pradesh,0,0.23,0.99,0.21,0.13,0.05,0.1,0.26,0.07,0.07,2015
1,Himachal Pradesh,0,0.16,0.99,0.11,0.09,0.05,0.05,0.12,0.02,0.03,2015
0,India,1,0.54,0.73,0.22,0.31,0.24,0.22,0.42,0.33,0.16,2015
99,India,1,0.52,0.74,0.22,0.31,0.24,0.22,0.42,0.32,0.16,2015
99,Telangana,0,0.86,1,0.66,0.25,0.08,0.31,0.23,0.19,0.11,2019
1,Meghalaya,1,0.61,0.33,0.47,0.4,0.22,0.42,0.45,0.19,0.13,2019
99,Andhra Pradesh,0,0.9,1,0.78,0.25,0.08,0.2,0.22,0.19,0.12,2019
1,India,1,0.41,0.79,0.18,0.28,0.19,0.22,0.36,0.27,0.15,2015
0,Chandigarh,0,0,1,0.1,0.31,0,0.06,0.25,0.19,0.06,2019
0,India,0,0.43,0.83,0.29,0.18,0.12,0.19,0.24,0.18,0.09,2015
99,India,0,0.35,0.86,0.26,0.16,0.1,0.17,0.2,0.15,0.08,2015
1,India,0,0.26,0.9,0.21,0.13,0.08,0.15,0.15,0.11,0.05,2015
0,Jammu & Kashmir,1,0.63,0.76,0,0.26,0.28,0.2,0.26,0.11,0.05,2015
99,Jammu & Kashmir,1,0.61,0.76,0,0.26,0.3,0.2,0.26,0.1,0.04,2015
1,Jammu & Kashmir,1,0.46,0.71,0,0.28,0.47,0.23,0.28,0.09,0.03,2015
0,West Bengal,0,0.5,0.99,0.31,0.32,0.12,0.46,0.31,0.18,0.21,2019
0,Jammu & Kashmir,0,0.44,0.85,0.02,0.19,0.22,0.17,0.18,0.08,0.02,2015
99,Jammu & Kashmir,0,0.38,0.83,0.03,0.17,0.2,0.18,0.15,0.07,0.02,2015
1,Bihar,0,0.37,0.99,0.05,0.17,0.08,0.18,0.21,0.18,0.08,2019
1,Telangana,0,0.74,0.99,0.5,0.22,0.07,0.25,0.21,0.18,0.09,2019
1,Rajasthan,0,0.15,1,0.76,0.22,0.16,0.18,0.21,0.18,0.07,2019
99,Pondicherry,1,0.34,0.99,0.15,0.35,0.18,0.43,0.33,0.18,0.07,2019
1,Jammu & Kashmir,0,0.28,0.8,0.03,0.13,0.17,0.2,0.11,0.04,0.02,2015
0,Jharkhand,1,0.58,0.98,0.12,0.32,0.18,0.19,0.48,0.38,0.15,2015
99,Jharkhand,1,0.56,0.97,0.12,0.31,0.18,0.19,0.47,0.38,0.14,2015
1,Jharkhand,1,0.4,0.95,0.06,0.25,0.17,0.15,0.39,0.31,0.1,2015
0,Jharkhand,0,0.54,0.99,0.14,0.15,0.1,0.12,0.22,0.18,0.07,2015
1,Tamil Nadu,0,0.21,0.99,0.54,0.24,0.15,0.24,0.22,0.17,0.06,2019
99,Jharkhand,0,0.42,0.98,0.11,0.13,0.08,0.1,0.18,0.15,0.06,2015
0,Punjab,0,0.24,0.99,0.18,0.24,0.06,0.17,0.24,0.17,0.07,2019
1,Jharkhand,0,0.23,0.97,0.06,0.09,0.06,0.07,0.13,0.1,0.04,2015
0,Karnataka,1,0.86,0.87,0.24,0.27,0.16,0.17,0.43,0.38,0.2,2015
99,Delhi,0,0.14,0.99,0.07,0.19,0.04,0.24,0.23,0.17,0.08,2019
1,Haryana,0,0.2,1,0.09,0.21,0.04,0.26,0.21,0.17,0.07,2019
99,Karnataka,1,0.84,0.87,0.23,0.27,0.16,0.17,0.43,0.38,0.2,2015
99,Ladakh,0,0.61,0.99,0.09,0.22,0.23,0.25,0.24,0.17,0.07,2019
1,Gujarat,0,0.21,0.99,0.29,0.2,0.04,0.33,0.19,0.17,0.13,2019
1,Jharkhand,0,0.39,1,0.08,0.19,0.07,0.15,0.2,0.17,0.07,2019
1,Delhi,0,0.13,0.99,0.07,0.18,0.04,0.24,0.22,0.17,0.08,2019
1,Karnataka,1,0.76,0.87,0.2,0.27,0.16,0.14,0.42,0.37,0.19,2015
0,Karnataka,0,0.82,0.92,0.28,0.16,0.09,0.14,0.24,0.21,0.1,2015
1,Andhra Pradesh,0,0.8,1,0.64,0.22,0.06,0.14,0.19,0.17,0.1,2019
99,Karnataka,0,0.67,0.92,0.22,0.13,0.07,0.12,0.2,0.17,0.08,2015
0,Mizoram,0,0.38,0.97,0.57,0.38,0.16,0.1,0.35,0.16,0.16,2019
99,Chandigarh,0,0.1,0.99,0.18,0.2,0.06,0.09,0.25,0.16,0.06,2019
0,Meghalaya,0,0.68,0.51,0.68,0.31,0.11,0.26,0.34,0.16,0.06,2019
1,Chandigarh,0,0.1,0.99,0.18,0.2,0.06,0.09,0.25,0.16,0.06,2019
1,Karnataka,0,0.52,0.92,0.14,0.1,0.04,0.09,0.16,0.12,0.06,2015
0,Kerala,1,0.91,0.98,0.53,0.52,0.17,0.46,0.49,0.16,0.21,2019
1,Kerala,1,0.57,0.96,0.38,0.29,0.14,0.3,0.33,0.18,0.05,2015
99,Kerala,1,0.78,0.94,0.45,0.29,0.2,0.29,0.4,0.15,0.08,2015
0,Kerala,1,0.85,0.94,0.48,0.29,0.22,0.28,0.44,0.13,0.09,2015
99,Maharashtra,0,0.34,0.99,0.1,0.18,0.04,0.22,0.21,0.16,0.11,2019
1,Jammu & Kashmir,1,0.91,1,0,0.31,0.57,0.31,0.35,0.16,0.07,2019
0,Kerala,0,0.35,0.97,0.44,0.15,0.07,0.18,0.17,0.07,0.05,2015
1,India,0,0.33,0.98,0.25,0.2,0.08,0.26,0.21,0.16,0.08,2019
99,Kerala,0,0.34,0.97,0.4,0.15,0.07,0.17,0.16,0.07,0.04,2015
99,West Bengal,0,0.43,0.99,0.27,0.27,0.1,0.4,0.27,0.16,0.17,2019
0,Ladakh,0,0.63,1,0.08,0.22,0.22,0.24,0.23,0.16,0.07,2019
1,Kerala,0,0.32,0.97,0.35,0.14,0.06,0.17,0.15,0.06,0.04,2015
1,Lakshadweep,0,0.4,0.98,0.02,0.21,0.1,0.14,0.32,0.03,0.08,2015
99,Lakshadweep,0,0.38,0.99,0.01,0.19,0.1,0.14,0.31,0.03,0.07,2015
1,Lakshadweep,1,0.5,1,0,0.5,0.5,0,0.67,0,0.17,2015
99,Lakshadweep,1,0.36,1,0,0.36,0.36,0,0.48,0,0.12,2015
0,Assam,0,0.55,0.2,0.01,0.29,0.16,0.38,0.28,0.15,0.06,2019
0,Tripura,0,0.45,0.99,0.22,0.27,0.06,0.29,0.25,0.15,0.12,2019
1,Goa,0,0.25,1,0.54,0.31,0.04,0.18,0.26,0.15,0.08,2019
0,Lakshadweep,0,0.31,1,0,0.11,0.11,0.15,0.27,0,0.04,2015
1,Pondicherry,0,0.18,1,0.22,0.24,0.08,0.21,0.21,0.15,0.05,2019
0,Lakshadweep,1,0,1,0,0,0,0,0,0,0,2015
0,Maharashtra,1,0.47,0.9,0.07,0.3,0.08,0.27,0.42,0.35,0.21,2015
