State,sector,bpl,aadhar,household_has_preg_benefits,household_health_met,household_angan_benefits,round,Year,level,area,dem,food_pds_subs,kerosene_pds_subs,food_pds_free,lpg_subs,elec_free,pmjay_ben,pmjay_ben_avail,real_wage_23,yr,JQdim365,JQdim215,POV_365,POV_215,lf_cws,emp_cws,unpaid_emp,unemp_cws,neet,lfpr_female,unemp_female,fhiscore,rank202223,totalgva,india_gva,state_share_india,poor_300,poor_420,poor_830,welfare_agg21_sp,india_welfare,welfare_pct_india,m_poor_1_33,m_poor_1_50
Assam,1,0.30200699,0.39438507,0.205859333,0.269035071,0.204099253,5,2019,State,urban/rural,All Households,0.021776969,0.011620963,0.41868332,0.273232281,0.016168727,0.11811658,0.008144396,15644.79688,2022,1.528669834,1.655044675,0.22890082,0.136845633,0.542045176,0.500617921,0.055465769,0.076427639,0.09085498,0.288537234,0.126593933,,,1831232.5,93310664,1.9625115,0.028541261,0.16418132,0.72017974,3210.73797,,114.6601,0.078385226,0.013248416
Assam,99,0.500756919,0.21664837,0.312341839,0.381634116,0.309737682,5,2019,State,All,All Households,0.059235491,0.040318189,0.733277857,0.134624168,0.014142402,0.238770545,0.00716071,10541.00684,2022,0.98815769,1.208057761,0.350294352,0.216070414,0.637745678,0.604532659,0.107849523,0.052078713,0.085772686,0.445786595,0.069329403,,,1831232.5,93310664,1.9625115,0.087663561,0.3639318,0.92901874,2427.418183,,86.686623,0.21410458,0.054333124
Bihar,0,0.602115393,0.989220321,0.319522649,0.314317942,0.340337902,5,2019,State,urban/rural,All Households,0.442178875,0.124821538,0.584202886,0.263594508,0.045556143,0.024785312,0.002732027,12054.7373,2022,0.95067817,1.063650727,0.289973795,0.198775649,0.521696508,0.505796731,0.190899521,0.030477114,0.078910686,0.281663299,0.013180119,27.799999,13,2753584,93310664,2.9509854,0.079715282,0.35844949,0.93863606,2375.939511,,84.848244,0.38065317,0.14688942
Bihar,1,0.398872524,0.987440944,0.212217122,0.204167634,0.255876392,5,2019,State,urban/rural,All Households,0.29697299,0.064788301,0.337179691,0.440038472,0.055075321,0.040910807,0.004065203,13799.97266,2022,1.361638546,1.438985825,0.191599727,0.130237877,0.428198427,0.39653039,0.084881775,0.073956467,0.075855292,0.154124454,0.081113301,27.799999,13,2753584,93310664,2.9509854,0.052665599,0.23286927,0.80568725,2671.935076,,95.418671,0.16415334,0.051644884
Bihar,99,0.570409656,0.988942742,0.303372324,0.297421932,0.327625811,5,2019,State,All,All Households,0.430775106,0.120106819,0.564802885,0.277451575,0.046303734,0.02605173,0.002836728,12433.63672,2022,0.980897486,1.09125042,0.282739997,0.193735823,0.51236701,0.494893819,0.182423368,0.034102909,0.078649595,0.269531488,0.016875228,27.799999,13,2753584,93310664,2.9509854,0.077590927,0.34858704,0.92819488,2394.819954,,85.522491,0.34660864,0.13191225
Chandigarh,0,0,1,0.352941185,0.052631579,0.235294119,5,2019,State,urban/rural,All Households,0.003934377,0,0,0.097076163,0,0.048660412,0.004131728,12720.35059,2022,1.948495388,2.099487782,0.0765692,0.000688025,,,,,,,,,,139528.59,93310664,0.14953125,0,0,0.4853484,3402.727047,,121.51631,0.038834952,0
Chandigarh,1,0.082201064,0.993985534,0.208395138,0.096371993,0.236228317,5,2019,State,urban/rural,All Households,0.008378673,0,0.006067531,0.019516014,0.010157555,0.0220447,0.00328171,24685.06836,2022,2.372914314,2.407095909,0.058735326,0.036443353,0.545748353,0.492129654,0.01838286,0.09824805,0.070232518,0.312313855,0.19604066,,,139528.59,93310664,0.14953125,0,0,0.15836777,4882.289743,,174.35364,0.039434381,0.011991247
Chandigarh,99,0.081430003,0.99404192,0.21024254,0.095826939,0.236216366,5,2019,State,All,All Households,0.008210677,0,0.005838175,0.02244783,0.009773594,0.023050787,0.003313841,22564.12305,2022,2.348595381,2.389470339,0.059757188,0.034394607,0.545748353,0.492129654,0.01838286,0.09824805,0.070232518,0.312313855,0.19604066,,,139528.59,93310664,0.14953125,0,0,0.1707278,4771.019779,,170.38004,0.039426312,0.01182982
Chhattisgarh,0,0.91323626,0.995935261,0.374565333,0.458955944,0.34968996,5,2019,State,urban/rural,All Households,0.923837304,0.083831285,0.805553079,0.236643463,0.061229434,0.616013348,0.05644992,6066.048828,2022,0.462370574,0.755468845,0.689490914,0.470750749,0.662278175,0.628065884,0.34170565,0.051658496,0.114173912,0.504893899,0.039611001,55.200001,2,2024219.9,93310664,2.1693339,0.21540222,0.51471281,0.95704204,2110.28367,,75.36129,0.21517663,0.04576258
Chhattisgarh,1,0.714938045,0.992333114,0.275973707,0.332832545,0.260539353,5,2019,State,urban/rural,All Households,0.737815559,0.022261671,0.522403538,0.468380332,0.035565309,0.456463754,0.022678535,10413.18164,2022,1.172816277,1.463329077,0.420567632,0.22746256,0.546211123,0.490078568,0.091329105,0.102767177,0.126480997,0.305607051,0.133994922,55.200001,2,2024219.9,93310664,2.1693339,0.070788026,0.24990885,0.79199874,2860.68367,,102.15916,0.050845772,0.007517346
Chhattisgarh,99,0.868469238,0.995122015,0.351737052,0.429673821,0.32904768,5,2019,State,All,All Households,0.887871623,0.07192733,0.750808537,0.281447798,0.056267496,0.585165799,0.049920514,6532.866211,2022,0.577391028,0.870070696,0.645952523,0.431362629,0.638577998,0.599889696,0.299938917,0.060585056,0.116269395,0.465057969,0.052008972,55.200001,2,2024219.9,93310664,2.1693339,0.1874423,0.46351525,0.92513233,2215.10286,,79.10453,0.17884792,0.037307687
Dadra & Nagar Haveli and Diu & Daman,0,0.529470325,0.992746651,0.314693123,0.506867409,0.332123578,5,2019,State,urban/rural,All Households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dadra & Nagar Haveli and Diu & Daman,1,0.336255163,0.988220394,0.243252665,0.472984582,0.287696809,5,2019,State,urban/rural,All Households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dadra & Nagar Haveli and Diu & Daman,99,0.426442891,0.99033314,0.279498875,0.489833027,0.310237288,5,2019,State,All,All Households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi,0,0.243540406,0.981727242,0.343327969,0.451958328,0.404774755,5,2019,State,urban/rural,All Households,0.06038918,0,0.118279897,0,0.483355045,0.004830193,0.001610064,19069.80078,2022,1.716517329,1.811520815,0.050934002,0.000623868,0.525102913,0.493746042,0.028572045,0.05971561,0.084790364,0.17943272,0.19462274,,,2073981.8,93310664,2.2226632,0.008511367,0.068541244,0.70725322,2929.568032,,104.61912,0.02368954,0.008120588
Delhi,1,0.128932387,0.992153883,0.190940127,0.23588571,0.22617273,5,2019,State,urban/rural,All Households,0.067851722,0,0.150293887,0.0007749,0.411559731,0.005462718,0.001762026,17912.51953,2022,1.591772676,1.63122201,0.095738798,0.065973766,0.461057574,0.445500016,0.048457034,0.03374321,0.067443848,0.182487026,0.025560724,,,2073981.8,93310664,2.2226632,0.01634378,0.096701704,0.64082074,3673.323822,,131.17972,0.033789698,0.0048089
Delhi,99,0.13125439,0.991942644,0.194434404,0.240594223,0.230268091,5,2019,State,All,All Households,0.067715593,0,0.149709895,0.000760765,0.412869394,0.00545118,0.001759254,17912.51953,2022,1.594403863,1.635024905,0.094793752,0.064595371,0.462509423,0.446593702,0.047958668,0.034411661,0.067951582,0.182420388,0.02918924,,,2073981.8,93310664,2.2226632,0.016200904,0.096188009,0.64203256,3617.667802,,129.19215,0.033542812,0.00488985
Goa,0,0.417593628,0.998494208,0.30678001,0.195855767,0.245178685,5,2019,State,urban/rural,All Households,0.738543928,0,0.129795998,0,0.002760492,0.10193979,0.011817241,21730.59961,2022,2.266919613,2.300829172,0.113425359,0.093002774,0.505853057,0.455485553,0.066339359,0.099569462,0.035369743,0.244728982,0.122837871,53.599998,3,374228.25,93310664,0.40105626,0.002548154,0.024382368,0.54424989,3960.11812,,141.42155,0.028414149,0.003376751
Goa,1,0.246750414,0.997049212,0.304659903,0.1800991,0.255635858,5,2019,State,urban/rural,All Households,0.529231966,0,0.12888056,0,0.003312044,0.147407115,0.011597863,21157.89648,2022,2.621023655,2.644743919,0.068647854,0.047569215,0.505915463,0.46666491,0.021311125,0.077583298,0.055858303,0.290699542,0.185309708,53.599998,3,374228.25,93310664,0.40105626,0.007130097,0.011723981,0.5150187,4382.987542,,156.52284,0.004166212,0
Goa,99,0.316131294,0.99763602,0.305490047,0.186387435,0.251541346,5,2019,State,All,All Households,0.620411694,0,0.12927933,0,0.003071779,0.127600804,0.011693428,21604.80859,2022,2.484782457,2.512423038,0.085875958,0.06504973,0.505889237,0.461962938,0.039984096,0.086829841,0.047475122,0.271507859,0.161801428,53.599998,3,374228.25,93310664,0.40105626,0.005134127,0.017238183,0.52775228,4137.883579,,147.76982,0.013937999,0.001360812
Gujarat,0,0.450586021,0.984671116,0.34587577,0.502999425,0.326437503,5,2019,State,urban/rural,All Households,0.662529707,0.001815199,0.166604146,0.035203706,0.007308745,0.234534085,0.017297249,9346.6875,2022,0.836921394,1.023838282,0.4676193,0.328505158,0.678111911,0.668119311,0.233072713,0.014735887,0.094257705,0.507019579,0.00746405,50.5,5,9306908,93310664,9.9741096,0.044235144,0.29172641,0.9088878,2517.581763,,89.906494,0.21433543,0.046168625
Gujarat,1,0.214818016,0.986708522,0.213968962,0.332759857,0.205462322,5,2019,State,urban/rural,All Households,0.228463098,0,0.057243034,0.022679949,0.00971455,0.144807145,0.020387255,15344.68848,2022,1.364911556,1.482759118,0.25132826,0.175043866,0.543635428,0.524358928,0.06269037,0.035458501,0.101886854,0.278046817,0.043728195,50.5,5,9306908,93310664,9.9741096,0.025759637,0.12371254,0.70880675,3336.286307,,119.14362,0.043155078,0.007206296
Gujarat,99,0.349091679,0.985548198,0.290690422,0.430721998,0.27582559,5,2019,State,All,All Households,0.488810182,0.001088731,0.122836299,0.030191522,0.008271581,0.198624104,0.018533912,11119.33984,2022,1.037058949,1.197794676,0.385632992,0.27033481,0.620744705,0.606791675,0.170262396,0.022477947,0.09720885,0.410977006,0.017755054,50.5,5,9306908,93310664,9.9741096,0.036840986,0.22448491,0.82881254,2794.894606,,99.809738,0.14402173,0.030164538
Haryana,0,0.27966398,0.994884729,0.323572457,0.397727877,0.314896911,5,2019,State,urban/rural,All Households,0.441845953,0.000813688,0.255611718,0.242986187,0.01039208,0.136247322,0.015441331,13649.56543,2022,1.292409658,1.402541518,0.235376984,0.152168408,0.4821845,0.458631486,0.132280111,0.048846453,0.089249775,0.233013928,0.028860545,27.4,14,3534732,93310664,3.7881329,0.043565594,0.15770671,0.81625903,3242.516137,,115.79495,0.086267814,0.019693904
Haryana,1,0.197521165,0.994909585,0.219956726,0.260863215,0.219417974,5,2019,State,urban/rural,All Households,0.20377335,0,0.134449691,0.272676945,0.011072404,0.100333527,0.003916104,17137.89453,2022,1.822360992,1.913556337,0.141259015,0.07385575,0.479349971,0.456985205,0.059241708,0.046656437,0.08773987,0.201947495,0.038813084,27.4,14,3534732,93310664,3.7881329,0.027547117,0.10698679,0.58030885,4007.089906,,143.09898,0.041405171,0.008073798
Haryana,99,0.250739813,0.994893491,0.289020717,0.351155907,0.283058465,5,2019,State,All,All Households,0.354983866,0.000516809,0.211405098,0.253819019,0.0106403,0.123143978,0.01123629,15644.79688,2022,1.485078812,1.588326097,0.201159447,0.123697042,0.481071353,0.457984984,0.103659868,0.047989491,0.088685207,0.220854133,0.032422613,27.4,14,3534732,93310664,3.7881329,0.037721168,0.13920127,0.73017132,3439.05914,,122.81378,0.071746014,0.015932536
Himachal Pradesh,0,0.208448216,0.995701075,0.290364385,0.419426203,0.261358351,5,2019,State,urban/rural,All Households,0.887514055,0.001935853,0.066994712,0.615770519,0.729152799,0.411261886,0.04111046,7738.213379,2022,0.771544576,0.959833264,0.575163424,0.443618,0.701655388,0.648020506,0.197061256,0.076440521,0.093941152,0.623646796,0.090435237,,,931463.38,93310664,0.99823892,0.005679009,0.057282738,0.63645387,3615.160226,,129.10262,0.057492629,0.005818551
Himachal Pradesh,1,0.080882087,0.998295903,0.233110815,0.199179426,0.219517723,5,2019,State,urban/rural,All Households,0.521442652,0,0.016160648,0.518722713,0.520899653,0.273443997,0.024138434,15941.33691,2022,2.025566101,2.147826672,0.191238329,0.108687058,0.623321176,0.56790036,0.066212878,0.088912174,0.059699036,0.431527555,0.179796845,,,931463.38,93310664,0.99823892,0.020113772,0.054529775,0.49257934,4453.909474,,159.05556,0.02341295,0.009907729
Himachal Pradesh,99,0.189977884,0.996076763,0.282996982,0.389654428,0.255974293,5,2019,State,All,All Households,0.84958142,0.001735258,0.061727244,0.605714321,0.707573414,0.39698109,0.039351806,8727.631836,2022,0.862079561,1.045601368,0.547445714,0.419437438,0.691942632,0.638086259,0.182621703,0.077833548,0.089370824,0.60332793,0.097195052,,,931463.38,93310664,0.99823892,0.007174751,0.056997474,0.62154549,3686.887009,,131.66408,0.053102639,0.006345301
India,0,0.535749197,0.963957727,0.338790268,0.385764837,0.32961154,5,2019,National,urban/rural,All Households,0.458168954,0.062459544,0.554675639,0.216804624,0.157503396,0.271913499,0.020179288,9540.262695,2022,0.837492526,1.017843604,0.439092994,0.300428927,0.589432001,0.56466943,0.202369943,0.042010989,0.09801963,0.39650479,0.038984984,,,93310664,93310664,100,0.061849859,0.2768226,0.87585223,2615.002611,,93.385536,0.21237667,0.056454737
India,1,0.330067694,0.983562768,0.212952271,0.262889236,0.216240406,5,2019,National,urban/rural,All Households,0.324729145,0.028447053,0.322402924,0.253153443,0.168380767,0.18031159,0.016320296,15548.38672,2022,1.558676481,1.721192241,0.244276091,0.135610834,0.507970273,0.474049181,0.064868048,0.066777647,0.095522262,0.261182398,0.086839624,,,93310664,93310664,100,0.028913906,0.14308301,0.68091989,3408.69649,,121.72949,0.055155069,0.01101905
India,99,0.467509359,0.970462203,0.298906654,0.346071571,0.293679208,5,2019,National,All,All Households,0.420354515,0.052821016,0.488853753,0.227105215,0.16058585,0.245955154,0.019085718,10844.25781,2022,1.026369333,1.202049375,0.388070762,0.257263333,0.564487815,0.536920786,0.165196046,0.048835434,0.097362131,0.355689824,0.049583524,,,93310664,93310664,100,0.052516401,0.23892321,0.82061195,2800.222373,2800.2224,100,0.16392806,0.042453505
Jammu and Kashmir,0,0.618180275,0.995737553,0.18835482,0.222978905,0.239207014,5,2019,State,urban/rural,All Households,0.593229115,0.006917276,0.44302094,0.355083525,0.012239942,0.738074124,0.073536068,11344.69531,2022,0.974974513,1.134325027,0.421875626,0.28672868,0.614374578,0.574530602,0.11760518,0.064852953,0.064356349,0.492899418,0.079630278,,,675785.38,93310664,0.72423166,0.013379182,0.17097884,0.77813357,3203.689424,,114.40839,0.078970119,0.013209112
Jammu and Kashmir,1,0.412418097,0.994591832,0.125630826,0.17476128,0.15000765,5,2019,State,urban/rural,All Households,0.420570284,0.002589019,0.19178924,0.403989255,0.019161774,0.694999278,0.045904394,16687.7832,2022,1.484056473,1.648066759,0.226267248,0.115643471,0.529683232,0.468221784,0.053669285,0.116034329,0.061601967,0.302673995,0.288680702,,,675785.38,93310664,0.72423166,0.011964581,0.060683552,0.5890879,4032.691306,,144.01324,0.015621888,0.001160011
Jammu and Kashmir,99,0.560708523,0.995417535,0.171959132,0.209855884,0.215890825,5,2019,State,All,All Households,0.554937124,0.005957362,0.387303174,0.365929753,0.013775055,0.728521049,0.067407958,12423.3291,2022,1.049414039,1.209445953,0.393273145,0.261712074,0.597620249,0.553499699,0.106905587,0.073827058,0.063898399,0.455375254,0.107039638,,,675785.38,93310664,0.72423166,0.013065454,0.14651774,0.73620731,3327.930516,,118.84522,0.062550865,0.010086101
Jharkhand,0,0.658262849,0.993715703,0.412290663,0.284961432,0.365065902,5,2019,State,urban/rural,All Households,0.728662968,0.217213577,0.206865817,0.08115156,0.193062097,0.070253842,0.009638526,8344.445313,2022,0.713271856,0.868457198,0.522453606,0.38510856,0.568713069,0.561259091,0.2527574,0.013106771,0.090700097,0.377378017,0.000734502,51.599998,4,1657278.9,93310664,1.7760873,0.18990391,0.48395237,0.93019044,2103.591032,,75.122284,0.37289152,0.11367442
Jharkhand,1,0.400827467,0.995393038,0.209376529,0.158852518,0.218258947,5,2019,State,urban/rural,All Households,0.396158934,0.030732025,0.091633298,0.113643147,0.204490855,0.041449212,0.007383848,14546.05371,2022,1.453377128,1.582600117,0.27769348,0.174919367,0.430602163,0.398199797,0.081873693,0.075249009,0.093601651,0.178260371,0.066910453,51.599998,4,1657278.9,93310664,1.7760873,0.076997213,0.24785662,0.78059322,2985.673231,,106.62272,0.08632721,0.018519159
Jharkhand,99,0.596288681,0.994119465,0.365145624,0.255127639,0.330956787,5,2019,State,All,All Households,0.667050481,0.182658808,0.185513392,0.087172203,0.195179835,0.064916387,0.009220737,9001.705078,2022,0.821880519,0.973255932,0.486535668,0.354263812,0.540643215,0.52811873,0.226570636,0.023165988,0.091170758,0.3382999,0.00757798,51.599998,4,1657278.9,93310664,1.7760873,0.16898246,0.44020414,0.90247029,2222.068934,,79.353302,0.30603045,0.091472834
Karnataka,0,0.898406088,0.990780771,0.320862621,0.625177026,0.312591672,5,2019,State,urban/rural,All Households,0.03230397,0.010205707,0.885095894,0.017425833,0.093937337,0.294661403,0.013610319,12433.63672,2022,1.049387455,1.20592773,0.363296717,0.241090968,0.57575959,0.563005686,0.205804899,0.022151528,0.086711906,0.402338833,0.012647348,40.799999,10,5741303,93310664,6.1528907,0.011244263,0.116444,0.78394604,3039.164097,,108.53295,0.11833716,0.018633734
Karnataka,1,0.654316723,0.989883184,0.25898999,0.471991211,0.259583265,5,2019,State,urban/rural,All Households,0.034605954,0.000734576,0.489866108,0.002429909,0.018267261,0.134155229,0.005703226,18512.86523,2022,2.0781703,2.214117527,0.174522802,0.090764612,0.51067394,0.486874551,0.045683905,0.046603858,0.094116017,0.275690585,0.047220897,40.799999,10,5741303,93310664,6.1528907,0.010355606,0.07231342,0.54999644,3939.70477,,140.69257,0.032152899,0.00360988
Karnataka,99,0.797524929,0.990409791,0.295958906,0.562255144,0.291255802,5,2019,State,All,All Households,0.033137418,0.006776617,0.742000163,0.011996453,0.06654045,0.236549005,0.0107475,13950.64355,2022,1.402538419,1.552009702,0.298496157,0.189488336,0.551109195,0.534171879,0.150530577,0.030733071,0.089406736,0.354856253,0.022717787,40.799999,10,5741303,93310664,6.1528907,0.010922519,0.10046621,0.69924295,3262.528145,,116.50961,0.08497858,0.012818584
Kerala,0,0.508200169,0.990635574,0.250004321,0.579134226,0.228476122,5,2019,State,urban/rural,All Households,0.861632049,0.296832111,0.214750439,0.001106232,0.005916788,0.365415603,0.046269391,14366.95703,2022,1.328903794,1.438145995,0.229978904,0.134191349,0.523710191,0.470901161,0.048670925,0.100836374,0.114709273,0.354480565,0.147422746,25.4,15,3264067.8,93310664,3.498065,0.013362321,0.092849582,0.68309712,3637.900542,,129.9147,0.012588571,0.000577356
Kerala,1,0.407447875,0.987727821,0.213398501,0.552861214,0.209797964,5,2019,State,urban/rural,All Households,0.744188786,0.237154324,0.157173768,6.39E-05,0.006838519,0.21666038,0.027454877,16106.4668,2022,1.548016191,1.703072548,0.228839949,0.122384101,0.492606878,0.44460538,0.033183947,0.097443797,0.06610433,0.314008415,0.143936276,25.4,15,3264067.8,93310664,3.498065,0.01518869,0.097088233,0.63376081,3934.550226,,140.50848,0.004135723,0
Kerala,99,0.46051532,0.989259362,0.232613415,0.566689074,0.219602406,5,2019,State,All,All Households,0.807480335,0.26931538,0.188202515,0.00062563,0.006341788,0.296826303,0.037594236,15550.59473,2022,1.425008297,1.554344893,0.229479358,0.1290126,0.508893549,0.458374679,0.04151503,0.099271975,0.091683112,0.335065246,0.145855322,25.4,15,3264067.8,93310664,3.498065,0.014204438,0.094803974,0.66034871,3746.180383,,133.78152,0.008574503,0.000303183
Ladakh,0,0.644899487,0.993881404,0.237922609,0.246585757,0.250852823,5,2019,State,urban/rural,All Households,0.872376025,0.385892001,0.313173801,0.766030073,0.014092084,0.646400213,0.050263967,,,,,,,,,,,,,,,,0,93310664,0,0.098837726,0.29142737,0.85783261,3164.101029,,112.99463,0.076473728,0.008998775
Ladakh,1,0.524528384,0.98178798,0.23476027,0.283043563,0.273561597,5,2019,State,urban/rural,All Households,0.76757133,0.142972368,0.102687471,0.702356339,0.00307486,0.715043426,0.020560009,,,,,,,,,,,,,,,,0,93310664,0,0.03986875,0.12637158,0.66291881,3841.405543,,137.18216,0.01650467,0.003765208
Ladakh,99,0.621846259,0.991565287,0.237332523,0.253428161,0.255090237,5,2019,State,All,All Households,0.858815789,0.3544616,0.285939813,0.757791579,0.01266661,0.655281723,0.04642069,,,,,,,,,,,,,,,,0,93310664,0,0.091207966,0.27007148,0.83261347,3201.806552,,114.34115,0.065117896,0.008007739
Lakshadweep,0,0.403519869,1,0.384087861,0.354081988,0.154159158,5,2019,State,urban/rural,All Households,0.819982469,0.167260303,0.201870516,0,0,0.017386338,0,19916.52344,2022,1.985047698,2.043581724,0.220313087,0.161778986,0.563262224,0.480066299,0.010486669,0.147703722,0.150166646,0.186664611,0.53611207,,,0,93310664,0,0,0.02770669,0.66261804,4193.375693,,149.75153,0.012339019,0
Lakshadweep,1,0.360866219,0.991919816,0.349784911,0.38283056,0.267894328,5,2019,State,urban/rural,All Households,0.890899003,0,0.110348456,0,0.001260048,0.087538265,0.003956399,17984.21094,2022,1.82718575,1.900794506,0.187123939,0.113515206,0.445991516,0.35610047,0.016200854,0.20155327,0.15510653,0.153031424,0.357038826,,,0,93310664,0,0,0.029308192,0.70969182,3901.685952,,139.33485,0.007854932,0
Lakshadweep,99,0.369686723,0.993590772,0.357742995,0.376546532,0.241508469,5,2019,State,All,All Households,0.873714924,0.040529572,0.132525563,0,0.00095472,0.070539445,0.002997707,18773.75586,2022,1.866295338,1.936169386,0.1953464,0.125472337,0.479834616,0.391875714,0.014180684,0.183310881,0.153735071,0.161872566,0.411321342,,,0,93310664,0,0,0.028920125,0.69828516,4091.751338,,146.12238,0.00882642,0
Madhya Pradesh,0,0.60667628,0.993142366,0.374136984,0.351269871,0.353506655,5,2019,State,urban/rural,All Households,0.615712762,0.014253873,0.344719559,0.124289624,0.237704128,0.46572566,0.017183926,8385.904297,2022,0.638526261,0.852951527,0.557565928,0.386835903,0.648639143,0.634649575,0.314786345,0.021567548,0.109054446,0.443824202,0.02479808,42.200001,9,4362210.5,93310664,4.6749325,0.058144812,0.27106941,0.91215301,2450.88166,,87.524536,0.29620168,0.068865046
