state_numeric,sector,m_poor_1_33,bpl,aadhar,health_insu_govt,household_has_preg_benefits,household_has_preg_fin,household_health_met,household_angan_benefits,household_angan_immun,household_angan_ecc,round,Year,level,area,dem
Andhra Pradesh,99,0,0.9,1,0.78,0.25,0.08,0.2,0.22,0.19,0.12,5,2019,State,All,All Households
Andhra Pradesh,0,1,0.94,0.99,0.8,0.41,0.13,0.25,0.44,0.36,0.25,4,2015,State,urban/rural,All Households
Andhra Pradesh,1,1,0.86,0.91,0.66,0.38,0.12,0.22,0.46,0.38,0.2,4,2015,State,urban/rural,All Households
Andhra Pradesh,99,1,0.93,0.98,0.79,0.41,0.13,0.25,0.44,0.37,0.24,4,2015,State,All,All Households
Andhra Pradesh,0,0,0.93,0.99,0.8,0.2,0.06,0.17,0.24,0.2,0.11,4,2015,State,urban/rural,All Households
Andhra Pradesh,1,0,0.74,0.99,0.55,0.15,0.03,0.1,0.17,0.12,0.06,4,2015,State,urban/rural,All Households
Andhra Pradesh,99,0,0.86,0.99,0.72,0.18,0.05,0.14,0.22,0.18,0.09,4,2015,State,All,All Households
Arunachal Pradesh,0,1,0.63,0.94,0.15,0.21,0.04,0.22,0.27,0.13,0.05,5,2019,State,urban/rural,All Households
Arunachal Pradesh,1,1,0.41,0.94,0.22,0.15,0.09,0.25,0.25,0.2,0.06,5,2019,State,urban/rural,All Households
Arunachal Pradesh,99,1,0.62,0.94,0.16,0.21,0.04,0.22,0.27,0.13,0.05,5,2019,State,All,All Households
Arunachal Pradesh,0,0,0.64,0.99,0.26,0.12,0.04,0.19,0.16,0.08,0.04,5,2019,State,urban/rural,All Households
Arunachal Pradesh,1,0,0.41,0.99,0.27,0.06,0.04,0.09,0.08,0.04,0.01,5,2019,State,urban/rural,All Households
Arunachal Pradesh,99,0,0.6,0.99,0.26,0.11,0.04,0.17,0.15,0.07,0.03,5,2019,State,All,All Households
Arunachal Pradesh,0,1,0.51,0.84,0.49,0.14,0.05,0.1,0.19,0.05,0.03,4,2015,State,urban/rural,All Households
Arunachal Pradesh,1,1,0.34,0.75,0.38,0.12,0.11,0.14,0.07,0.02,0.02,4,2015,State,urban/rural,All Households
Arunachal Pradesh,99,1,0.5,0.83,0.48,0.14,0.05,0.1,0.18,0.05,0.03,4,2015,State,All,All Households
Arunachal Pradesh,0,0,0.53,0.93,0.63,0.09,0.07,0.1,0.1,0.03,0.01,4,2015,State,urban/rural,All Households
Arunachal Pradesh,1,0,0.29,0.9,0.54,0.04,0.06,0.07,0.04,0.02,0.01,4,2015,State,urban/rural,All Households
Arunachal Pradesh,99,0,0.45,0.92,0.6,0.08,0.07,0.09,0.08,0.03,0.01,4,2015,State,All,All Households
Assam,0,1,0.52,0.13,0.01,0.47,0.26,0.46,0.47,0.25,0.11,5,2019,State,urban/rural,All Households
Assam,1,1,0.37,0.23,0,0.39,0.2,0.38,0.37,0.21,0.12,5,2019,State,urban/rural,All Households
Assam,99,1,0.51,0.13,0.01,0.46,0.26,0.46,0.47,0.25,0.11,5,2019,State,All,All Households
Assam,0,0,0.55,0.2,0.01,0.29,0.16,0.38,0.28,0.15,0.06,5,2019,State,urban/rural,All Households
Assam,1,0,0.3,0.41,0.04,0.19,0.09,0.26,0.19,0.1,0.05,5,2019,State,urban/rural,All Households
Assam,99,0,0.5,0.24,0.02,0.27,0.15,0.36,0.27,0.14,0.06,5,2019,State,All,All Households
Assam,0,1,0.49,0.02,0.07,0.36,0.28,0.22,0.38,0.21,0.11,4,2015,State,urban/rural,All Households
Assam,1,1,0.35,0.1,0.02,0.27,0.28,0.17,0.23,0.11,0.07,4,2015,State,urban/rural,All Households
Assam,99,1,0.48,0.02,0.07,0.35,0.28,0.22,0.38,0.21,0.1,4,2015,State,All,All Households
Assam,0,0,0.45,0.02,0.09,0.24,0.21,0.18,0.26,0.14,0.06,4,2015,State,urban/rural,All Households
Assam,1,0,0.21,0.08,0.06,0.15,0.13,0.13,0.14,0.07,0.03,4,2015,State,urban/rural,All Households
Assam,99,0,0.4,0.03,0.08,0.22,0.19,0.17,0.24,0.13,0.06,4,2015,State,All,All Households
Bihar,0,1,0.66,0.99,0.05,0.45,0.27,0.39,0.47,0.41,0.22,5,2019,State,urban/rural,All Households
Bihar,1,1,0.57,0.97,0.03,0.42,0.24,0.35,0.48,0.4,0.21,5,2019,State,urban/rural,All Households
Bihar,99,1,0.65,0.98,0.05,0.45,0.27,0.38,0.47,0.41,0.22,5,2019,State,All,All Households
Bihar,0,0,0.57,0.99,0.05,0.24,0.15,0.27,0.26,0.23,0.12,5,2019,State,urban/rural,All Households
Bihar,1,0,0.37,0.99,0.05,0.17,0.08,0.18,0.21,0.18,0.08,5,2019,State,urban/rural,All Households
Bihar,99,0,0.53,0.99,0.05,0.23,0.13,0.25,0.25,0.22,0.11,5,2019,State,All,All Households
Bihar,0,1,0.67,0.45,0.13,0.25,0.29,0.18,0.44,0.38,0.19,4,2015,State,urban/rural,All Households
Bihar,1,1,0.57,0.57,0.12,0.21,0.28,0.17,0.44,0.37,0.2,4,2015,State,urban/rural,All Households
Bihar,99,1,0.66,0.46,0.13,0.25,0.29,0.18,0.44,0.38,0.19,4,2015,State,All,All Households
Bihar,0,0,0.49,0.52,0.11,0.11,0.13,0.13,0.2,0.17,0.09,4,2015,State,urban/rural,All Households
Bihar,1,0,0.29,0.65,0.07,0.08,0.11,0.08,0.15,0.12,0.06,4,2015,State,urban/rural,All Households
Bihar,99,0,0.45,0.55,0.1,0.1,0.13,0.12,0.19,0.16,0.08,4,2015,State,All,All Households
Chandigarh,0,1,0,1,1,1,0,0,0,0,0,5,2019,State,urban/rural,All Households
Chandigarh,1,1,0.04,1,0.15,0.38,0,0.29,0.2,0.11,0,5,2019,State,urban/rural,All Households
Chandigarh,99,1,0.04,1,0.16,0.39,0,0.28,0.19,0.11,0,5,2019,State,All,All Households
Chandigarh,0,0,0,1,0.1,0.31,0,0.06,0.25,0.19,0.06,5,2019,State,urban/rural,All Households
Chandigarh,1,0,0.1,0.99,0.18,0.2,0.06,0.09,0.25,0.16,0.06,5,2019,State,urban/rural,All Households
Chandigarh,99,0,0.1,0.99,0.18,0.2,0.06,0.09,0.25,0.16,0.06,5,2019,State,All,All Households
Chandigarh,0,1,0.17,0.67,0,0.5,0.75,0.75,0.75,0.5,0.25,4,2015,State,urban/rural,All Households
Chandigarh,1,1,0.08,0.8,0,0.48,0.09,0.22,0.73,0.5,0.31,4,2015,State,urban/rural,All Households
Chandigarh,99,1,0.1,0.77,0,0.49,0.22,0.31,0.73,0.5,0.29,4,2015,State,All,All Households
Chandigarh,0,0,0,1,0,0.08,0,0.23,0.31,0,0.08,4,2015,State,urban/rural,All Households
Chandigarh,1,0,0.04,0.99,0.13,0.16,0.04,0.11,0.18,0.09,0.06,4,2015,State,urban/rural,All Households
Chandigarh,99,0,0.04,0.99,0.12,0.16,0.04,0.11,0.19,0.09,0.06,4,2015,State,All,All Households
Chhattisgarh,0,1,0.92,0.99,0.57,0.55,0.26,0.5,0.52,0.46,0.2,5,2019,State,urban/rural,All Households
Chhattisgarh,1,1,0.86,0.99,0.59,0.57,0.23,0.47,0.53,0.47,0.19,5,2019,State,urban/rural,All Households
Chhattisgarh,99,1,0.92,0.99,0.57,0.55,0.26,0.5,0.52,0.46,0.2,5,2019,State,All,All Households
Chhattisgarh,0,0,0.91,1,0.66,0.33,0.16,0.45,0.31,0.27,0.11,5,2019,State,urban/rural,All Households
Chhattisgarh,1,0,0.71,0.99,0.57,0.26,0.12,0.33,0.25,0.21,0.08,5,2019,State,urban/rural,All Households
Chhattisgarh,99,0,0.86,1,0.64,0.31,0.15,0.42,0.29,0.25,0.1,5,2019,State,All,All Households
Chhattisgarh,0,1,0.89,0.96,0.67,0.46,0.29,0.32,0.55,0.48,0.23,4,2015,State,urban/rural,All Households
Chhattisgarh,1,1,0.76,0.95,0.59,0.48,0.31,0.32,0.52,0.45,0.18,4,2015,State,urban/rural,All Households
Chhattisgarh,99,1,0.88,0.96,0.67,0.46,0.29,0.32,0.55,0.47,0.22,4,2015,State,All,All Households
Chhattisgarh,0,0,0.83,0.98,0.74,0.26,0.17,0.26,0.3,0.25,0.11,4,2015,State,urban/rural,All Households
Chhattisgarh,1,0,0.52,0.97,0.55,0.24,0.15,0.21,0.25,0.2,0.08,4,2015,State,urban/rural,All Households
Chhattisgarh,99,0,0.72,0.97,0.68,0.25,0.16,0.24,0.29,0.23,0.1,4,2015,State,All,All Households
Dadra & Nagar Haveli and Daman & Diu,0,1,0.68,1,0.01,0.59,0.15,0.57,0.58,0.5,0.4,5,2019,State,urban/rural,All Households
Dadra & Nagar Haveli and Daman & Diu,1,1,0.22,0.94,0.01,0.41,0.06,0.41,0.58,0.54,0.43,5,2019,State,urban/rural,All Households
Dadra & Nagar Haveli and Daman & Diu,99,1,0.59,0.98,0.01,0.55,0.13,0.54,0.58,0.51,0.41,5,2019,State,All,All Households
Dadra & Nagar Haveli and Daman & Diu,0,0,0.49,0.99,0.03,0.24,0.06,0.48,0.26,0.24,0.21,5,2019,State,urban/rural,All Households
Dadra & Nagar Haveli and Daman & Diu,1,0,0.34,0.99,0.02,0.24,0.07,0.49,0.28,0.24,0.16,5,2019,State,urban/rural,All Households
Dadra & Nagar Haveli and Daman & Diu,99,0,0.4,0.99,0.02,0.24,0.07,0.49,0.27,0.24,0.19,5,2019,State,All,All Households
Dadra & Nagar Haveli and Daman & Diu,0,1,0.4,0.99,0.05,0.3,0.04,0.16,0.46,0.38,0.29,4,2015,State,urban/rural,All Households
Dadra & Nagar Haveli and Daman & Diu,1,1,0.13,0.96,0.07,0.16,0.04,0.14,0.39,0.28,0.12,4,2015,State,urban/rural,All Households
Dadra & Nagar Haveli and Daman & Diu,99,1,0.36,0.98,0.05,0.28,0.04,0.16,0.45,0.37,0.26,4,2015,State,All,All Households
Dadra & Nagar Haveli and Daman & Diu,0,0,0.37,1.08,0.09,0.14,0.03,0.09,0.22,0.16,0.12,4,2015,State,urban/rural,All Households
Dadra & Nagar Haveli and Daman & Diu,1,0,0.1,0.94,0.16,0.07,0.03,0.08,0.1,0.07,0.05,4,2015,State,urban/rural,All Households
Dadra & Nagar Haveli and Daman & Diu,99,0,0.17,0.98,0.14,0.09,0.03,0.08,0.14,0.1,0.07,4,2015,State,All,All Households
Delhi,0,1,0,1,0,0.61,0,0.61,0.61,0.61,0.61,5,2019,State,urban/rural,All Households
Delhi,1,1,0.13,0.98,0.02,0.48,0.11,0.46,0.52,0.37,0.18,5,2019,State,urban/rural,All Households
Delhi,99,1,0.13,0.98,0.02,0.48,0.11,0.46,0.52,0.38,0.19,5,2019,State,All,All Households
Delhi,0,0,0.26,0.98,0.11,0.34,0.05,0.45,0.4,0.32,0.1,5,2019,State,urban/rural,All Households
Delhi,1,0,0.13,0.99,0.07,0.18,0.04,0.24,0.22,0.17,0.08,5,2019,State,urban/rural,All Households
Delhi,99,0,0.14,0.99,0.07,0.19,0.04,0.24,0.23,0.17,0.08,5,2019,State,All,All Households
Delhi,0,1,0,0.94,0,0,0,0.92,0.08,0,0.08,4,2015,State,urban/rural,All Households
Delhi,1,1,0.19,1.03,0.02,0.21,0.06,0.16,0.23,0.16,0.04,4,2015,State,urban/rural,All Households
Delhi,99,1,0.19,1.02,0.02,0.21,0.06,0.17,0.23,0.16,0.04,4,2015,State,All,All Households
Delhi,0,0,0.13,1,0.04,0.06,0,0.27,0.04,0,0,4,2015,State,urban/rural,All Households
Delhi,1,0,0.2,0.98,0.05,0.09,0.03,0.13,0.07,0.05,0.02,4,2015,State,urban/rural,All Households
Delhi,99,0,0.2,0.98,0.05,0.09,0.03,0.13,0.07,0.05,0.02,4,2015,State,All,All Households
Goa,0,1,0.46,1,0.7,0.43,0,0.37,0.43,0.4,0.25,5,2019,State,urban/rural,All Households
Goa,1,1,0.27,1,0,0.49,0,0.38,0.49,0.49,0.21,5,2019,State,urban/rural,All Households
Goa,99,1,0.42,1,0.56,0.44,0,0.37,0.45,0.42,0.24,5,2019,State,All,All Households
Goa,0,0,0.38,1,0.7,0.31,0.05,0.2,0.24,0.12,0.07,5,2019,State,urban/rural,All Households
Goa,1,0,0.25,1,0.54,0.31,0.04,0.18,0.26,0.15,0.08,5,2019,State,urban/rural,All Households
Goa,99,0,0.3,1,0.6,0.31,0.04,0.19,0.25,0.14,0.07,5,2019,State,All,All Households
Goa,0,1,0.32,0.91,0.02,0.28,0.1,0.21,0.37,0.26,0.22,4,2015,State,urban/rural,All Households
Goa,1,1,0.07,0.71,0,0.6,0.05,0.44,0.48,0.22,0.14,4,2015,State,urban/rural,All Households
Goa,99,1,0.2,0.82,0.01,0.44,0.08,0.32,0.42,0.24,0.18,4,2015,State,All,All Households
Goa,0,0,0.22,0.94,0.05,0.26,0.07,0.26,0.29,0.16,0.1,4,2015,State,urban/rural,All Households
Goa,1,0,0.09,0.94,0.06,0.19,0.05,0.23,0.19,0.12,0.09,4,2015,State,urban/rural,All Households
Goa,99,0,0.14,0.94,0.06,0.21,0.06,0.24,0.22,0.13,0.09,4,2015,State,All,All Households
Gujarat,0,1,0.6,0.97,0.34,0.51,0.13,0.55,0.49,0.45,0.35,5,2019,State,urban/rural,All Households
Gujarat,1,1,0.39,0.94,0.27,0.56,0.06,0.46,0.54,0.46,0.35,5,2019,State,urban/rural,All Households
Gujarat,99,1,0.58,0.96,0.33,0.52,0.12,0.54,0.5,0.45,0.35,5,2019,State,All,All Households
Gujarat,0,0,0.41,0.99,0.42,0.3,0.07,0.49,0.28,0.25,0.21,5,2019,State,urban/rural,All Households
Gujarat,1,0,0.21,0.99,0.29,0.2,0.04,0.33,0.19,0.17,0.13,5,2019,State,urban/rural,All Households
Gujarat,99,0,0.31,0.99,0.36,0.26,0.06,0.42,0.24,0.21,0.17,5,2019,State,All,All Households
Gujarat,0,1,0.6,0.86,0.21,0.3,0.09,0.24,0.44,0.38,0.24,4,2015,State,urban/rural,All Households
Gujarat,1,1,0.38,0.83,0.1,0.25,0.03,0.19,0.42,0.36,0.2,4,2015,State,urban/rural,All Households
Gujarat,99,1,0.57,0.86,0.19,0.29,0.08,0.23,0.44,0.38,0.23,4,2015,State,All,All Households
Gujarat,0,0,0.4,0.92,0.19,0.18,0.05,0.22,0.27,0.23,0.16,4,2015,State,urban/rural,All Households
Gujarat,1,0,0.23,0.93,0.11,0.11,0.02,0.16,0.16,0.14,0.08,4,2015,State,urban/rural,All Households
Gujarat,99,0,0.32,0.92,0.15,0.14,0.03,0.19,0.22,0.18,0.12,4,2015,State,All,All Households
Haryana,0,1,0.39,0.99,0.08,0.55,0.07,0.45,0.53,0.43,0.18,5,2019,State,urban/rural,All Households
Haryana,1,1,0.33,0.97,0.04,0.55,0.09,0.46,0.54,0.45,0.18,5,2019,State,urban/rural,All Households
Haryana,99,1,0.38,0.99,0.07,0.55,0.08,0.45,0.53,0.43,0.18,5,2019,State,All,All Households
Haryana,0,0,0.27,1,0.09,0.31,0.06,0.4,0.3,0.25,0.1,5,2019,State,urban/rural,All Households
Haryana,1,0,0.2,1,0.09,0.21,0.04,0.26,0.21,0.17,0.07,5,2019,State,urban/rural,All Households
Haryana,99,0,0.24,1,0.09,0.27,0.05,0.35,0.27,0.22,0.09,5,2019,State,All,All Households
Haryana,0,1,0.44,0.89,0.04,0.34,0.08,0.31,0.37,0.32,0.17,4,2015,State,urban/rural,All Households
Haryana,1,1,0.27,0.76,0.02,0.23,0.08,0.29,0.27,0.24,0.1,4,2015,State,urban/rural,All Households
Haryana,99,1,0.39,0.85,0.03,0.31,0.08,0.31,0.34,0.3,0.15,4,2015,State,All,All Households
Haryana,0,0,0.25,0.95,0.05,0.21,0.06,0.28,0.24,0.21,0.1,4,2015,State,urban/rural,All Households
Haryana,1,0,0.15,0.92,0.06,0.13,0.03,0.19,0.12,0.11,0.05,4,2015,State,urban/rural,All Households
Haryana,99,0,0.21,0.94,0.05,0.18,0.05,0.24,0.19,0.17,0.08,4,2015,State,All,All Households
Himachal Pradesh,0,1,0.37,0.98,0.21,0.59,0.09,0.53,0.56,0.27,0.22,5,2019,State,urban/rural,All Households
Himachal Pradesh,1,1,0.05,1,0.04,0.27,0.13,0.15,0.27,0.09,0,5,2019,State,urban/rural,All Households
Himachal Pradesh,99,1,0.35,0.98,0.2,0.57,0.09,0.5,0.54,0.26,0.2,5,2019,State,All,All Households
Himachal Pradesh,0,0,0.2,1,0.19,0.28,0.06,0.42,0.25,0.11,0.07,5,2019,State,urban/rural,All Households
Himachal Pradesh,1,0,0.08,1,0.11,0.24,0.03,0.2,0.22,0.06,0.04,5,2019,State,urban/rural,All Households
Himachal Pradesh,99,0,0.18,1,0.18,0.27,0.05,0.39,0.24,0.1,0.06,5,2019,State,All,All Households
Himachal Pradesh,0,1,0.4,0.97,0.24,0.19,0.08,0.05,0.46,0.13,0.16,4,2015,State,urban/rural,All Households
Himachal Pradesh,1,1,0.73,0.9,0.31,0.17,0.06,0,0.31,0.11,0.17,4,2015,State,urban/rural,All Households
Himachal Pradesh,99,1,0.4,0.97,0.25,0.19,0.08,0.05,0.45,0.13,0.16,4,2015,State,All,All Households
Himachal Pradesh,0,0,0.24,0.99,0.23,0.14,0.05,0.11,0.27,0.07,0.07,4,2015,State,urban/rural,All Households
Himachal Pradesh,1,0,0.16,0.99,0.11,0.09,0.05,0.05,0.12,0.02,0.03,4,2015,State,urban/rural,All Households
Himachal Pradesh,99,0,0.23,0.99,0.21,0.13,0.05,0.1,0.26,0.07,0.07,4,2015,State,All,All Households
India,0,1,0.59,0.95,0.21,0.51,0.26,0.44,0.5,0.42,0.23,5,2019,National,urban/rural,All Households
India,1,1,0.44,0.96,0.16,0.45,0.19,0.38,0.46,0.38,0.2,5,2019,National,urban/rural,All Households
India,99,1,0.58,0.95,0.2,0.5,0.25,0.44,0.5,0.41,0.23,5,2019,National,All,All Households
India,0,0,0.52,0.97,0.32,0.3,0.13,0.37,0.29,0.23,0.13,5,2019,National,urban/rural,All Households
India,1,0,0.33,0.98,0.25,0.2,0.08,0.26,0.21,0.16,0.08,5,2019,National,urban/rural,All Households
India,99,0,0.45,0.97,0.29,0.26,0.11,0.33,0.26,0.21,0.11,5,2019,National,All,All Households
India,0,1,0.54,0.73,0.22,0.31,0.24,0.22,0.42,0.33,0.16,4,2015,National,urban/rural,All Households
India,1,1,0.41,0.79,0.18,0.28,0.19,0.22,0.36,0.27,0.15,4,2015,National,urban/rural,All Households
India,99,1,0.52,0.74,0.22,0.31,0.24,0.22,0.42,0.32,0.16,4,2015,National,All,All Households
India,0,0,0.43,0.83,0.29,0.18,0.12,0.19,0.24,0.18,0.09,4,2015,National,urban/rural,All Households
India,1,0,0.26,0.9,0.21,0.13,0.08,0.15,0.15,0.11,0.05,4,2015,National,urban/rural,All Households
India,99,0,0.35,0.86,0.26,0.16,0.1,0.17,0.2,0.15,0.08,4,2015,National,All,All Households
Jammu & Kashmir,0,1,0.84,0.99,0.01,0.31,0.34,0.3,0.41,0.22,0.1,5,2019,State,urban/rural,All Households
Jammu & Kashmir,1,1,0.91,1,0,0.31,0.57,0.31,0.35,0.16,0.07,5,2019,State,urban/rural,All Households
Jammu & Kashmir,99,1,0.85,0.99,0.01,0.31,0.35,0.3,0.4,0.21,0.1,5,2019,State,All,All Households
Jammu & Kashmir,0,0,0.6,1,0.04,0.18,0.2,0.22,0.23,0.12,0.06,5,2019,State,urban/rural,All Households
Jammu & Kashmir,1,0,0.4,0.99,0.06,0.12,0.17,0.17,0.15,0.07,0.03,5,2019,State,urban/rural,All Households
Jammu & Kashmir,99,0,0.54,1,0.04,0.16,0.19,0.2,0.2,0.11,0.05,5,2019,State,All,All Households
Jammu & Kashmir,0,1,0.63,0.76,0,0.26,0.28,0.2,0.26,0.11,0.05,4,2015,State,urban/rural,All Households
Jammu & Kashmir,1,1,0.46,0.71,0,0.28,0.47,0.23,0.28,0.09,0.03,4,2015,State,urban/rural,All Households
Jammu & Kashmir,99,1,0.61,0.76,0,0.26,0.3,0.2,0.26,0.1,0.04,4,2015,State,All,All Households
Jammu & Kashmir,0,0,0.44,0.85,0.02,0.19,0.22,0.17,0.18,0.08,0.02,4,2015,State,urban/rural,All Households
Jammu & Kashmir,1,0,0.28,0.8,0.03,0.13,0.17,0.2,0.11,0.04,0.02,4,2015,State,urban/rural,All Households
Jammu & Kashmir,99,0,0.38,0.83,0.03,0.17,0.2,0.18,0.15,0.07,0.02,4,2015,State,All,All Households
Jharkhand,0,1,0.67,0.99,0.03,0.56,0.18,0.33,0.5,0.43,0.24,5,2019,State,urban/rural,All Households
Jharkhand,1,1,0.5,0.99,0.01,0.43,0.14,0.26,0.44,0.36,0.19,5,2019,State,urban/rural,All Households
Jharkhand,99,1,0.66,0.99,0.02,0.55,0.17,0.33,0.49,0.43,0.24,5,2019,State,All,All Households
Jharkhand,0,0,0.65,1,0.04,0.32,0.11,0.26,0.29,0.25,0.14,5,2019,State,urban/rural,All Households
Jharkhand,1,0,0.39,1,0.08,0.19,0.07,0.15,0.2,0.17,0.07,5,2019,State,urban/rural,All Households
Jharkhand,99,0,0.57,1,0.06,0.28,0.1,0.22,0.26,0.22,0.12,5,2019,State,All,All Households
Jharkhand,0,1,0.58,0.98,0.12,0.32,0.18,0.19,0.48,0.38,0.15,4,2015,State,urban/rural,All Households
Jharkhand,1,1,0.4,0.95,0.06,0.25,0.17,0.15,0.39,0.31,0.1,4,2015,State,urban/rural,All Households
Jharkhand,99,1,0.56,0.97,0.12,0.31,0.18,0.19,0.47,0.38,0.14,4,2015,State,All,All Households
Jharkhand,0,0,0.54,0.99,0.14,0.15,0.1,0.12,0.22,0.18,0.07,4,2015,State,urban/rural,All Households
Jharkhand,1,0,0.23,0.97,0.06,0.09,0.06,0.07,0.13,0.1,0.04,4,2015,State,urban/rural,All Households
Jharkhand,99,0,0.42,0.98,0.11,0.13,0.08,0.1,0.18,0.15,0.06,4,2015,State,All,All Households
Karnataka,0,1,0.91,0.99,0.09,0.53,0.09,0.58,0.51,0.47,0.28,5,2019,State,urban/rural,All Households
Karnataka,1,1,0.87,0.98,0.08,0.64,0.05,0.64,0.61,0.56,0.34,5,2019,State,urban/rural,All Households
Karnataka,99,1,0.9,0.98,0.09,0.55,0.08,0.59,0.53,0.49,0.29,5,2019,State,All,All Households
Karnataka,0,0,0.9,0.99,0.13,0.3,0.05,0.63,0.29,0.26,0.15,5,2019,State,urban/rural,All Households
Karnataka,1,0,0.66,0.99,0.11,0.25,0.02,0.47,0.25,0.22,0.13,5,2019,State,urban/rural,All Households
Karnataka,99,0,0.79,0.99,0.12,0.28,0.04,0.56,0.27,0.24,0.14,5,2019,State,All,All Households
Karnataka,0,1,0.86,0.87,0.24,0.27,0.16,0.17,0.43,0.38,0.2,4,2015,State,urban/rural,All Households
Karnataka,1,1,0.76,0.87,0.2,0.27,0.16,0.14,0.42,0.37,0.19,4,2015,State,urban/rural,All Households
Karnataka,99,1,0.84,0.87,0.23,0.27,0.16,0.17,0.43,0.38,0.2,4,2015,State,All,All Households
Karnataka,0,0,0.82,0.92,0.28,0.16,0.09,0.14,0.24,0.21,0.1,4,2015,State,urban/rural,All Households
Karnataka,1,0,0.52,0.92,0.14,0.1,0.04,0.09,0.16,0.12,0.06,4,2015,State,urban/rural,All Households
Karnataka,99,0,0.67,0.92,0.22,0.13,0.07,0.12,0.2,0.17,0.08,4,2015,State,All,All Households
Kerala,0,1,0.91,0.98,0.53,0.52,0.17,0.46,0.49,0.16,0.21,5,2019,State,urban/rural,All Households
Kerala,1,1,0.83,0.94,0.5,0.29,0.22,0.71,0.24,0,0.24,5,2019,State,urban/rural,All Households
Kerala,99,1,0.89,0.97,0.52,0.46,0.18,0.52,0.43,0.12,0.22,5,2019,State,All,All Households
Kerala,0,0,0.5,0.99,0.56,0.25,0.06,0.58,0.23,0.1,0.05,5,2019,State,urban/rural,All Households
Kerala,1,0,0.41,0.99,0.43,0.21,0.05,0.56,0.21,0.09,0.05,5,2019,State,urban/rural,All Households
Kerala,99,0,0.46,0.99,0.5,0.23,0.06,0.57,0.22,0.1,0.05,5,2019,State,All,All Households
Kerala,0,1,0.85,0.94,0.48,0.29,0.22,0.28,0.44,0.13,0.09,4,2015,State,urban/rural,All Households
Kerala,1,1,0.57,0.96,0.38,0.29,0.14,0.3,0.33,0.18,0.05,4,2015,State,urban/rural,All Households
Kerala,99,1,0.78,0.94,0.45,0.29,0.2,0.29,0.4,0.15,0.08,4,2015,State,All,All Households
Kerala,0,0,0.35,0.97,0.44,0.15,0.07,0.18,0.17,0.07,0.05,4,2015,State,urban/rural,All Households
Kerala,1,0,0.32,0.97,0.35,0.14,0.06,0.17,0.15,0.06,0.04,4,2015,State,urban/rural,All Households
Kerala,99,0,0.34,0.97,0.4,0.15,0.07,0.17,0.16,0.07,0.04,4,2015,State,All,All Households
Ladakh,0,1,0.82,0.98,0.05,0.47,0.51,0.34,0.48,0.36,0.04,5,2019,State,urban/rural,All Households
Ladakh,1,1,0.6,0.86,0.14,0.32,0.69,0.53,0.32,0.32,0,5,2019,State,urban/rural,All Households
Ladakh,99,1,0.81,0.97,0.05,0.46,0.52,0.35,0.47,0.35,0.04,5,2019,State,All,All Households
Ladakh,0,0,0.63,1,0.08,0.22,0.22,0.24,0.23,0.16,0.07,5,2019,State,urban/rural,All Households
