,edu_cat,unemp_cws,lf_cws,emp_cws,unpaid_emp,salaried,casual,self_emp,neet,agri_cws,services_cws,ind_cws,type,statenumber,sector,level,area,year,dem,yr,youth,sex1,JQdim365,JQdim215,POV_365,POV_215,statename
3114,secondary,0.118758358,0.391016424,0.344579965,0.016006043,0.646763563,0.017215028,0.336021423,0.230826706,0.002326117,0.728002369,0.26967153,State+Urban+edu_cat,7,1,state,urban/rural,2020,Education,2020,NA,NA,1.681069732,1.708107948,0.087535188,0.075189129,Delhi
3115,tertiary,0.102938779,0.527337134,0.473053664,0.025881525,0.72063005,0,0.27936995,0.355891258,0,0.880891979,0.119108006,State+Urban+edu_cat,7,1,state,urban/rural,2020,Education,2020,NA,NA,2.482427597,2.482427597,0.075590469,0.075590469,Delhi
3116,below primary,0.017882364,0.582580328,0.572162449,0.214803576,0.023414772,0.154792309,0.821792901,0.483344734,0.796594799,0.04557417,0.157831013,State+Urban+edu_cat,8,0,state,urban/rural,2020,Education,2020,NA,NA,0.474938363,0.673131287,0.597043157,0.456836641,Rajasthan
3117,primary and middle,0.068845831,0.600963831,0.559589982,0.151963219,0.102412499,0.139703557,0.757883966,0.331913114,0.593929172,0.1776696,0.228401229,State+Urban+edu_cat,8,0,state,urban/rural,2020,Education,2020,NA,NA,0.678975165,0.793105125,0.427500486,0.337509722,Rajasthan
3118,secondary,0.090052709,0.42381373,0.385648161,0.09752968,0.184672803,0.09037751,0.724949658,0.17519255,0.493706644,0.246570274,0.259723067,State+Urban+edu_cat,8,0,state,urban/rural,2020,Education,2020,NA,NA,0.780196369,0.878601849,0.367603362,0.290575713,Rajasthan
3119,tertiary,0.269966871,0.592462599,0.43251732,0.095168307,0.398823231,0.032975972,0.568200767,0.467670351,0.336678416,0.498248667,0.165072918,State+Urban+edu_cat,8,0,state,urban/rural,2020,Education,2020,NA,NA,1.141123056,1.196901202,0.306738824,0.258229077,Rajasthan
3120,below primary,0.063901357,0.380156487,0.355863988,0.04025273,0.317418426,0.178632095,0.503949463,0.622802973,0.130783379,0.421461254,0.447755367,State+Urban+edu_cat,8,1,state,urban/rural,2020,Education,2020,NA,NA,0.626123965,0.872589946,0.472932428,0.293694615,Rajasthan
3121,primary and middle,0.086202227,0.464070052,0.424066186,0.024835709,0.368053466,0.133132413,0.498814106,0.397031456,0.046683915,0.511140704,0.442175359,State+Urban+edu_cat,8,1,state,urban/rural,2020,Education,2020,NA,NA,0.826342285,1.026501894,0.321626931,0.149066389,Rajasthan
3122,secondary,0.107732937,0.358488172,0.319867164,0.033104949,0.361182243,0.058210511,0.580607235,0.153057754,0.072790936,0.595578074,0.331630975,State+Urban+edu_cat,8,1,state,urban/rural,2020,Education,2020,NA,NA,0.940332532,1.052104354,0.257217467,0.169092074,Rajasthan
3123,tertiary,0.21302323,0.591954231,0.465854198,0.044859827,0.616753042,0.001917766,0.381329209,0.455845743,0.035765685,0.806959093,0.157275215,State+Urban+edu_cat,8,1,state,urban/rural,2020,Education,2020,NA,NA,1.636155009,1.71883285,0.188460901,0.12944901,Rajasthan
3124,below primary,0.035128165,0.448582083,0.432824224,0.109196797,0.024216658,0.188742429,0.787040889,0.62628001,0.733814478,0.095554344,0.170631215,State+Urban+edu_cat,9,0,state,urban/rural,2020,Education,2020,NA,NA,0.47599858,0.711582184,0.621009409,0.435161173,Uttar Pradesh
3125,primary and middle,0.06526909,0.535067201,0.500143826,0.093149126,0.069263846,0.21553272,0.715203464,0.369534463,0.595983028,0.145110145,0.258906841,State+Urban+edu_cat,9,0,state,urban/rural,2020,Education,2020,NA,NA,0.669131398,0.888239622,0.483671129,0.308737844,Uttar Pradesh
3126,secondary,0.073543124,0.424107105,0.392916948,0.09136837,0.100610487,0.120765448,0.778624058,0.272277892,0.614863932,0.199186608,0.18594946,State+Urban+edu_cat,9,0,state,urban/rural,2020,Education,2020,NA,NA,0.690459669,0.887557864,0.474591076,0.334333837,Uttar Pradesh
3127,tertiary,0.14087896,0.589137316,0.506140232,0.132774532,0.256578505,0.041304369,0.702117145,0.480818838,0.521035314,0.370342851,0.108621813,State+Urban+edu_cat,9,0,state,urban/rural,2020,Education,2020,NA,NA,0.888427377,1.059448719,0.489584118,0.363498688,Uttar Pradesh
3128,below primary,0.073925711,0.402133882,0.372405827,0.029233148,0.232023701,0.196174935,0.571801364,0.569652498,0.127907038,0.504894078,0.367198884,State+Urban+edu_cat,9,1,state,urban/rural,2020,Education,2020,NA,NA,0.673459232,1.034838438,0.516002238,0.253202677,Uttar Pradesh
3129,primary and middle,0.061712928,0.470538974,0.441500634,0.032950528,0.330045611,0.144218251,0.525736153,0.366382152,0.073530369,0.521044493,0.405425131,State+Urban+edu_cat,9,1,state,urban/rural,2020,Education,2020,NA,NA,0.875844777,1.161202908,0.414799839,0.188009903,Uttar Pradesh
3130,secondary,0.081717603,0.35519284,0.326167315,0.037777416,0.384315401,0.055499781,0.560184836,0.191285193,0.082160726,0.643258095,0.274581164,State+Urban+edu_cat,9,1,state,urban/rural,2020,Education,2020,NA,NA,1.046911001,1.267080784,0.343895167,0.191113442,Uttar Pradesh
3131,tertiary,0.201446369,0.512779653,0.409482032,0.034113459,0.587075889,0.009058869,0.403865278,0.483279973,0.049113989,0.775209427,0.175676584,State+Urban+edu_cat,9,1,state,urban/rural,2020,Education,2020,NA,NA,1.812726736,1.911603451,0.202590838,0.137012586,Uttar Pradesh
3132,below primary,0.026749546,0.418479681,0.407285541,0.039225258,0.028099045,0.423459053,0.548441887,0.638860285,0.613702595,0.131680921,0.254616469,State+Urban+edu_cat,10,0,state,urban/rural,2020,Education,2020,NA,NA,0.89915508,1.055739999,0.251786709,0.138956055,Bihar
3133,primary and middle,0.031664755,0.447613627,0.433440059,0.051407117,0.038798716,0.264470637,0.696730614,0.315215349,0.446855038,0.264152914,0.288992047,State+Urban+edu_cat,10,0,state,urban/rural,2020,Education,2020,NA,NA,0.979519129,1.037715197,0.183306128,0.133299902,Bihar
3134,secondary,0.065521479,0.345739961,0.32308656,0.032412916,0.079284273,0.175090179,0.745625556,0.203736514,0.473532438,0.300203115,0.226264462,State+Urban+edu_cat,10,0,state,urban/rural,2020,Education,2020,NA,NA,1.015573025,1.070904374,0.167280182,0.118626751,Bihar
3135,tertiary,0.129995242,0.538015068,0.468075663,0.036214475,0.294646293,0.033716902,0.67163676,0.372261256,0.309862018,0.599887133,0.09025088,State+Urban+edu_cat,10,0,state,urban/rural,2020,Education,2020,NA,NA,1.500474095,1.586354136,0.149087697,0.09882354,Bihar
3136,below primary,0.039774746,0.35281682,0.338783622,0.01152352,0.054976135,0.435277671,0.509746194,0.66771543,0.181317568,0.440819651,0.377862811,State+Urban+edu_cat,10,1,state,urban/rural,2020,Education,2020,NA,NA,0.844398797,1.198955894,0.304058939,0.067990005,Bihar
3137,primary and middle,0.063821562,0.404270381,0.378469199,0.016963199,0.20152013,0.218036398,0.580443501,0.285883665,0.109546199,0.560586751,0.329867065,State+Urban+edu_cat,10,1,state,urban/rural,2020,Education,2020,NA,NA,1.030439615,1.172152758,0.17933999,0.069005117,Bihar
3138,secondary,0.094322599,0.282072365,0.25546658,0.018141458,0.24697502,0.103112102,0.649912894,0.175490454,0.089289881,0.697701216,0.21300891,State+Urban+edu_cat,10,1,state,urban/rural,2020,Education,2020,NA,NA,1.128811598,1.215158939,0.165848002,0.092722058,Bihar
3139,tertiary,0.180741817,0.558206677,0.457315385,0.018757867,0.523891568,0.026364714,0.449743718,0.416322857,0.0509465,0.845943987,0.103109486,State+Urban+edu_cat,10,1,state,urban/rural,2020,Education,2020,NA,NA,1.554721475,1.618793249,0.108712368,0.058944993,Bihar
3140,below primary,0.000651158,0.832163751,0.831621885,0.242187709,0.053131204,0.082048178,0.8648206,0.144158259,0.807230413,0.094019063,0.098750524,State+Urban+edu_cat,11,0,state,urban/rural,2020,Education,2020,NA,NA,0.381506711,0.595490873,0.718058944,0.573280096,Sikkim
3141,primary and middle,0.00221694,0.763831139,0.762137771,0.183368698,0.232700512,0.045987219,0.721312284,0.107649393,0.564198256,0.335727513,0.100074239,State+Urban+edu_cat,11,0,state,urban/rural,2020,Education,2020,NA,NA,0.675536931,0.833820105,0.566123486,0.449825734,Sikkim
3142,secondary,0.01157711,0.606436551,0.599415779,0.073788844,0.588671744,0.019575303,0.391752958,0.080793627,0.212106988,0.685279846,0.102613173,State+Urban+edu_cat,11,0,state,urban/rural,2020,Education,2020,NA,NA,1.592944384,1.669602871,0.227123857,0.169973373,Sikkim
3143,tertiary,0.049831063,0.720197618,0.684309423,0.024789821,0.791226029,0.000957713,0.207816228,0.128058121,0.097018681,0.879184425,0.023796875,State+Urban+edu_cat,11,0,state,urban/rural,2020,Education,2020,NA,NA,2.022965431,2.158452034,0.146400958,0.054589015,Sikkim
3144,below primary,0,0.599192083,0.599192083,0.130485579,0.241841704,0.164635763,0.593522549,0.477288753,0.176152438,0.56088376,0.262963802,State+Urban+edu_cat,11,1,state,urban/rural,2020,Education,2020,NA,NA,0.862669826,0.962971687,0.40479365,0.325884312,Sikkim
3145,primary and middle,0.063220367,0.585339844,0.54833442,0.060059365,0.335663289,0.135497212,0.528839529,0.268413544,0.082756706,0.670565605,0.246677667,State+Urban+edu_cat,11,1,state,urban/rural,2020,Education,2020,NA,NA,1.343800664,1.388808131,0.211448625,0.166441202,Sikkim
3146,secondary,0.012361125,0.532158077,0.525579989,0.042370297,0.613807976,0.020069383,0.366122633,0.13036418,0.01697078,0.883304179,0.099725053,State+Urban+edu_cat,11,1,state,urban/rural,2020,Education,2020,NA,NA,1.928423405,1.95535183,0.118506119,0.091577701,Sikkim
3147,tertiary,0.064257264,0.754527986,0.706044078,0.034762245,0.74366039,0,0.256339639,0.256868839,0.005091418,0.897067845,0.097840734,State+Urban+edu_cat,11,1,state,urban/rural,2020,Education,2020,NA,NA,2.258799076,2.28285718,0.064662732,0.056643348,Sikkim
3148,below primary,0.001916743,0.533023775,0.532002091,0.093369313,0.038229324,0.068931133,0.892839551,0.492170781,0.811083078,0.113914132,0.075002797,State+Urban+edu_cat,12,0,state,urban/rural,2020,Education,2020,NA,NA,0.913212836,1.190196157,0.433671445,0.239125133,Arunachal Pradesh
3149,primary and middle,0.017370326,0.516824186,0.507846773,0.095766403,0.124763101,0.053263683,0.821973205,0.21540077,0.686314166,0.242077842,0.071608007,State+Urban+edu_cat,12,0,state,urban/rural,2020,Education,2020,NA,NA,1.01956749,1.256806493,0.388351917,0.238158643,Arunachal Pradesh
3150,secondary,0.052960958,0.462989092,0.438468754,0.04521532,0.434971988,0.0246298,0.54039818,0.121089146,0.39834255,0.485212207,0.116445243,State+Urban+edu_cat,12,0,state,urban/rural,2020,Education,2020,NA,NA,1.742385149,1.891898274,0.219888851,0.124192193,Arunachal Pradesh
3151,tertiary,0.288315147,0.832938731,0.592789888,0.044997744,0.750356495,0,0.249643505,0.535760283,0.167047337,0.780130744,0.052821927,State+Urban+edu_cat,12,0,state,urban/rural,2020,Education,2020,NA,NA,2.550006151,2.611462831,0.099725403,0.07920713,Arunachal Pradesh
3152,below primary,0,0.341022164,0.341022164,0.01937972,0.228578925,0.229585409,0.541835666,0.722262502,0.147121519,0.545820355,0.307058126,State+Urban+edu_cat,12,1,state,urban/rural,2020,Education,2020,NA,NA,1.231458426,1.53153789,0.292579651,0.072260983,Arunachal Pradesh
3153,primary and middle,0.034991112,0.412453443,0.398021221,0.029536067,0.392655194,0.139007211,0.468337595,0.242787108,0.119482413,0.628847659,0.251669943,State+Urban+edu_cat,12,1,state,urban/rural,2020,Education,2020,NA,NA,1.719488144,1.841442704,0.177352682,0.100310013,Arunachal Pradesh
3154,secondary,0.083762839,0.38008076,0.348244131,0.012918569,0.621216893,0.04771933,0.331063807,0.14778024,0.072824031,0.746839106,0.180336863,State+Urban+edu_cat,12,1,state,urban/rural,2020,Education,2020,NA,NA,2.096773386,2.167873621,0.108627915,0.061798558,Arunachal Pradesh
3155,tertiary,0.236777008,0.767519474,0.585788488,0.016270479,0.829563558,0.01173201,0.15870443,0.497007996,0.044191763,0.787012219,0.168796048,State+Urban+edu_cat,12,1,state,urban/rural,2020,Education,2020,NA,NA,2.607857227,2.659457207,0.075861827,0.03987243,Arunachal Pradesh
3156,below primary,0,0.791399598,0.791399598,0.306824893,0.027401101,0.016922167,0.955676734,0,0.831167698,0.104937337,0.06389495,State+Urban+edu_cat,13,0,state,urban/rural,2020,Education,2020,NA,NA,0.543494225,0.771668375,0.59314996,0.431692213,Nagaland
3157,primary and middle,0.070490569,0.637233794,0.592314839,0.156823397,0.145866454,0.042771205,0.811362326,0.311403096,0.640435398,0.217991769,0.141572803,State+Urban+edu_cat,13,0,state,urban/rural,2020,Education,2020,NA,NA,0.809151709,1.111764193,0.514411807,0.341988117,Nagaland
3158,secondary,0.246676877,0.572130382,0.43099907,0.077212609,0.42574361,0.02921826,0.545038164,0.411581755,0.346794009,0.534416795,0.118789166,State+Urban+edu_cat,13,0,state,urban/rural,2020,Education,2020,NA,NA,1.377601385,1.54986465,0.325191766,0.210964739,Nagaland
3159,tertiary,0.416490018,0.83863169,0.489349961,0.005997445,0.9132514,0,0.086748585,0.452891618,0.039351989,0.914351404,0.046296593,State+Urban+edu_cat,13,0,state,urban/rural,2020,Education,2020,NA,NA,2.123793602,2.129410505,0.015250095,0.012255942,Nagaland
3160,below primary,0,0.308993757,0.308993757,0.02711919,0.26068455,0.14993389,0.589381576,0.478463233,0.245884567,0.542712808,0.21140261,State+Urban+edu_cat,13,1,state,urban/rural,2020,Education,2020,NA,NA,1.289886475,1.289886475,0.150189802,0.150189802,Nagaland
3161,primary and middle,0.114562087,0.431396902,0.381975174,0.048236694,0.305051833,0.087138087,0.60781008,0.343957067,0.228311747,0.632610559,0.139077678,State+Urban+edu_cat,13,1,state,urban/rural,2020,Education,2020,NA,NA,1.486987472,1.64187479,0.256286681,0.162002251,Nagaland
3162,secondary,0.219523236,0.447078794,0.348934621,0.020337356,0.497475266,0.039459534,0.463065177,0.332015514,0.086074308,0.827663422,0.086262278,State+Urban+edu_cat,13,1,state,urban/rural,2020,Education,2020,NA,NA,1.793019533,1.867026567,0.125400513,0.088200457,Nagaland
3163,tertiary,0.386155665,0.720561504,0.442312598,0.001516037,0.878300726,0,0.121699296,0.509414315,0.013640402,0.957476139,0.028883453,State+Urban+edu_cat,13,1,state,urban/rural,2020,Education,2020,NA,NA,2.25587678,2.25587678,0.003427524,0.003427524,Nagaland
3164,below primary,0.006149193,0.305870175,0.303989321,0.02759956,0.021080887,0.122777492,0.856141627,0.90444833,0.673735797,0.155826554,0.170437619,State+Urban+edu_cat,14,0,state,urban/rural,2020,Education,2020,NA,NA,0.849286497,1.071266294,0.290320128,0.143996045,Manipur
3165,primary and middle,0.021027921,0.468781352,0.458923876,0.024384711,0.104972675,0.170771092,0.724256217,0.426800251,0.474611104,0.242363274,0.283025593,State+Urban+edu_cat,14,0,state,urban/rural,2020,Education,2020,NA,NA,1.13984549,1.312096953,0.196743518,0.087914966,Manipur
3166,secondary,0.04495563,0.361281186,0.345039576,0.010409828,0.318717867,0.112148345,0.569133759,0.178571686,0.320629805,0.486485302,0.192884877,State+Urban+edu_cat,14,0,state,urban/rural,2020,Education,2020,NA,NA,1.568657398,1.757700324,0.159107447,0.046691485,Manipur
3167,tertiary,0.073973738,0.606928885,0.562032044,0.007372266,0.759093463,0.046901979,0.194004565,0.395020485,0.050097339,0.839508593,0.110394068,State+Urban+edu_cat,14,0,state,urban/rural,2020,Education,2020,NA,NA,2.563466311,2.650691271,0.104297869,0.07057526,Manipur
3168,below primary,0.008718581,0.234555021,0.23251003,0.009802539,0.034042697,0.258570343,0.707386971,0.863850296,0.260635555,0.341181248,0.398183197,State+Urban+edu_cat,14,1,state,urban/rural,2020,Education,2020,NA,NA,0.732618272,1.093454242,0.394622922,0.133189395,Manipur
3169,primary and middle,0.035157401,0.41928336,0.404542446,0.013613392,0.129490852,0.196980402,0.673528731,0.384608984,0.176134303,0.436607301,0.38725841,State+Urban+edu_cat,14,1,state,urban/rural,2020,Education,2020,NA,NA,0.975148797,1.243865728,0.283332974,0.102954648,Manipur
3170,secondary,0.064164981,0.403675973,0.377774119,0.010759358,0.368264735,0.076990187,0.554745078,0.120627217,0.111911178,0.684945762,0.203143075,State+Urban+edu_cat,14,1,state,urban/rural,2020,Education,2020,NA,NA,1.481925845,1.719775796,0.23999162,0.072442658,Manipur
3171,tertiary,0.186411694,0.606661856,0.49357301,0.008711325,0.709917486,0.011435993,0.278646559,0.41802755,0.06076112,0.839262187,0.099976666,State+Urban+edu_cat,14,1,state,urban/rural,2020,Education,2020,NA,NA,2.37330842,2.549378633,0.138296515,0.053155087,Manipur
3172,below primary,0,0.667377889,0.667377889,0.20637916,0.002798051,0.057356425,0.939845502,0.416117102,0.856889486,0.085754104,0.057356425,State+Urban+edu_cat,15,0,state,urban/rural,2020,Education,2020,NA,NA,0.765918076,1.033702731,0.487133533,0.320701301,Mizoram
3173,primary and middle,0.0096887,0.65319699,0.646868348,0.201837763,0.019086635,0.058354843,0.922558546,0.204092816,0.73113507,0.173769593,0.095095366,State+Urban+edu_cat,15,0,state,urban/rural,2020,Education,2020,NA,NA,1.049918532,1.129457474,0.377572238,0.324207425,Mizoram
3174,secondary,0.022838708,0.435890555,0.425935388,0.072286904,0.23740007,0.035250317,0.727349639,0.055366781,0.429565132,0.435280919,0.135153934,State+Urban+edu_cat,15,0,state,urban/rural,2020,Education,2020,NA,NA,1.542429924,1.679721475,0.259720802,0.184939787,Mizoram
3175,tertiary,0.147153795,0.849052846,0.724111497,0.011772174,0.910329103,0,0.089670874,0.440334797,0.02900476,0.948967934,0.022027282,State+Urban+edu_cat,15,0,state,urban/rural,2020,Education,2020,NA,NA,3.353698254,3.369240046,0.033192363,0.022766482,Mizoram
3176,below primary,0,0.330529094,0.330529094,0.072867826,0.099221632,0.036844868,0.863933504,0.646162093,0.53837508,0.279291391,0.182333559,State+Urban+edu_cat,15,1,state,urban/rural,2020,Education,2020,NA,NA,1.224938393,1.224938393,0.270068944,0.270068944,Mizoram
3177,primary and middle,0.009400765,0.524468124,0.519537687,0.078402728,0.112755977,0.086607307,0.800636709,0.144216076,0.264740646,0.52294004,0.212319285,State+Urban+edu_cat,15,1,state,urban/rural,2020,Education,2020,NA,NA,1.424113035,1.539983749,0.228834853,0.161146954,Mizoram
3178,secondary,0.021986715,0.346038461,0.338430226,0.009505834,0.434849232,0.060971577,0.50417918,0.040388081,0.096613273,0.757204354,0.146182373,State+Urban+edu_cat,15,1,state,urban/rural,2020,Education,2020,NA,NA,2.290349245,2.386100769,0.094314002,0.043266393,Mizoram
3179,tertiary,0.111914814,0.796116292,0.707019091,0.010195182,0.843643725,0.012208838,0.144147441,0.243870303,0.017770788,0.954501152,0.02772804,State+Urban+edu_cat,15,1,state,urban/rural,2020,Education,2020,NA,NA,3.152763605,3.192991018,0.033027604,0.018535879,Mizoram
3180,below primary,0.006854462,0.564765632,0.56089443,0.063935801,0.042155724,0.384368479,0.573475778,0.650218844,0.637153029,0.12498343,0.237863526,State+Urban+edu_cat,16,0,state,urban/rural,2020,Education,2020,NA,NA,0.623518109,1.064105511,0.574080825,0.286880016,Tripura
3181,primary and middle,0.02359578,0.587843299,0.573972702,0.053524755,0.108691312,0.305244058,0.586064637,0.428966105,0.422576249,0.320961863,0.256461859,State+Urban+edu_cat,16,0,state,urban/rural,2020,Education,2020,NA,NA,0.784317553,1.042641759,0.43628037,0.229516685,Tripura
3182,secondary,0.046075314,0.47821185,0.456178069,0.035056852,0.238382369,0.156494021,0.605123639,0.253524542,0.278562695,0.557676613,0.163760692,State+Urban+edu_cat,16,0,state,urban/rural,2020,Education,2020,NA,NA,1.055044413,1.261172414,0.416789144,0.246941939,Tripura
3183,tertiary,0.183585361,0.759557128,0.620113552,0.041550171,0.292399704,0.038885273,0.668715,0.361086369,0.236257613,0.698236287,0.065506086,State+Urban+edu_cat,16,0,state,urban/rural,2020,Education,2020,NA,NA,1.410154581,1.551574707,0.284421891,0.169028983,Tripura
3184,below primary,0.023244943,0.515414894,0.503434062,0.03147243,0.242476717,0.411824554,0.345698744,0.548254132,0.176437497,0.362318337,0.461244166,State+Urban+edu_cat,16,1,state,urban/rural,2020,Education,2020,NA,NA,0.549839437,0.903275549,0.625620842,0.345869631,Tripura
3185,primary and middle,0.036447212,0.475115657,0.457799017,0.024577826,0.220075488,0.28694436,0.492980152,0.380893975,0.091648646,0.567966998,0.340384334,State+Urban+edu_cat,16,1,state,urban/rural,2020,Education,2020,NA,NA,1.01769495,1.339675307,0.370987445,0.168768272,Tripura
3186,secondary,0.028381974,0.394872576,0.383665323,0.012777757,0.483830094,0.065798171,0.450371742,0.208109811,0.052116424,0.822470367,0.125413209,State+Urban+edu_cat,16,1,state,urban/rural,2020,Education,2020,NA,NA,1.547994494,1.853634953,0.291128039,0.123640135,Tripura
3187,tertiary,0.112719148,0.563136578,0.499660283,0.017770713,0.644165814,0.019210402,0.336623818,0.289792866,0.032828774,0.887468934,0.079702318,State+Urban+edu_cat,16,1,state,urban/rural,2020,Education,2020,NA,NA,2.086918116,2.257907867,0.210090443,0.120736301,Tripura
3188,below primary,0,0.779928684,0.779928684,0.095260687,0.041535586,0.492335141,0.466129273,0.190543607,0.575040281,0.175197333,0.249762371,State+Urban+edu_cat,17,0,state,urban/rural,2020,Education,2020,NA,NA,0.674005806,1.364853501,0.574602485,0.203544766,Meghalaya
3189,primary and middle,0.002045106,0.602831125,0.601598263,0.141630188,0.108960591,0.245975226,0.645064175,0.166778177,0.528844595,0.290370464,0.180784956,State+Urban+edu_cat,17,0,state,urban/rural,2020,Education,2020,NA,NA,0.925001681,1.239322186,0.473785222,0.310438633,Meghalaya
3190,secondary,0.024939924,0.484302998,0.472224504,0.053448599,0.345775276,0.128729269,0.52549547,0.088643894,0.265490621,0.605040431,0.129468933,State+Urban+edu_cat,17,0,state,urban/rural,2020,Education,2020,NA,NA,1.433689356,1.687031746,0.303367198,0.168692097,Meghalaya
3191,tertiary,0.054164276,0.800092697,0.756756246,0.031137347,0.766886711,0.053918,0.17919527,0.245750114,0.06750802,0.834163189,0.098328784,State+Urban+edu_cat,17,0,state,urban/rural,2020,Education,2020,NA,NA,2.285377979,2.519615412,0.226734206,0.096008256,Meghalaya
3192,below primary,0,0.620294392,0.620294392,0.007458255,0.281671405,0.43016845,0.288160145,0.222206339,0.114897996,0.638262749,0.246839255,State+Urban+edu_cat,17,1,state,urban/rural,2020,Education,2020,NA,NA,0.935300529,1.349949479,0.480128884,0.217115954,Meghalaya
3193,primary and middle,0.025409395,0.450619519,0.439169556,0.015482148,0.385260344,0.242377117,0.372362554,0.251253366,0.032353032,0.732373059,0.235273898,State+Urban+edu_cat,17,1,state,urban/rural,2020,Education,2020,NA,NA,1.281401515,1.512072444,0.337153614,0.215604767,Meghalaya
3194,secondary,0.068333678,0.379224539,0.353310734,0.000614382,0.633609593,0.08797019,0.27842021,0.123287894,0.004047768,0.850197554,0.14575468,State+Urban+edu_cat,17,1,state,urban/rural,2020,Education,2020,NA,NA,2.328269482,2.475817204,0.157460511,0.084395744,Meghalaya
3195,tertiary,0.151542097,0.737737894,0.625939548,0.00855301,0.768191397,0.018709108,0.213099509,0.325809449,0,0.9654513,0.034548692,State+Urban+edu_cat,17,1,state,urban/rural,2020,Education,2020,NA,NA,2.420076847,2.565786362,0.176101416,0.111950845,Meghalaya
3196,below primary,0.007997924,0.500667274,0.496662945,0.031499371,0.190061852,0.267257422,0.54268074,0.461623996,0.637901545,0.162042513,0.200055912,State+Urban+edu_cat,18,0,state,urban/rural,2020,Education,2020,NA,NA,0.666143119,1.012642741,0.494077861,0.244857982,Assam
3197,primary and middle,0.041420568,0.511820912,0.490621001,0.038216796,0.146706522,0.224363402,0.628930092,0.358717293,0.434762686,0.305178195,0.260059118,State+Urban+edu_cat,18,0,state,urban/rural,2020,Education,2020,NA,NA,0.907961547,1.13587749,0.313469261,0.15207848,Assam
3198,secondary,0.05619248,0.477569669,0.45073384,0.027522644,0.275605053,0.083693705,0.640701234,0.19634299,0.284237951,0.540113091,0.175648972,State+Urban+edu_cat,18,0,state,urban/rural,2020,Education,2020,NA,NA,1.233870983,1.454664111,0.243442431,0.104071267,Assam
3199,tertiary,0.164237857,0.77204138,0.645242929,0.032056294,0.651077449,0.012069018,0.336853534,0.42005226,0.10071528,0.801543772,0.097740926,State+Urban+edu_cat,18,0,state,urban/rural,2020,Education,2020,NA,NA,2.08491683,2.177778721,0.129476801,0.073853582,Assam
3200,below primary,0.044375952,0.336982608,0.322028697,0.024161451,0.203795239,0.30887863,0.487326115,0.722475946,0.094911322,0.589725971,0.315362751,State+Urban+edu_cat,18,1,state,urban/rural,2020,Education,2020,NA,NA,0.727047622,0.987056673,0.428786665,0.229575038,Assam
3201,primary and middle,0.041728485,0.459920287,0.440728515,0.019186636,0.228332579,0.161875233,0.609792173,0.366200835,0.036384575,0.723235607,0.240379825,State+Urban+edu_cat,18,1,state,urban/rural,2020,Education,2020,NA,NA,1.07036984,1.276314855,0.239004835,0.090398289,Assam
3202,secondary,0.079845659,0.436351061,0.401510328,0.020162346,0.396955281,0.040363453,0.562681258,0.218286201,0.045440413,0.792286038,0.162273541,State+Urban+edu_cat,18,1,state,urban/rural,2020,Education,2020,NA,NA,1.484909773,1.601097465,0.158480495,0.091058999,Assam
3203,tertiary,0.135857895,0.635126948,0.548839986,0.017035047,0.702981651,0.002960247,0.294058114,0.457602799,0.022273254,0.838347018,0.139379695,State+Urban+edu_cat,18,1,state,urban/rural,2020,Education,2020,NA,NA,2.210050583,2.293211699,0.073141314,0.04006999,Assam
3204,below primary,0.036613546,0.52619946,0.506933451,0.030146355,0.099350452,0.426523596,0.474125952,0.484188437,0.657197356,0.131978512,0.210824132,State+Urban+edu_cat,19,0,state,urban/rural,2020,Education,2020,NA,NA,0.422711909,0.923909307,0.690148413,0.328336358,West Bengal
3205,primary and middle,0.05599625,0.571951747,0.539924622,0.052724026,0.110874169,0.331340611,0.557785213,0.374710709,0.462231427,0.180655256,0.357113302,State+Urban+edu_cat,19,0,state,urban/rural,2020,Education,2020,NA,NA,0.612548053,0.989694357,0.559349418,0.286742389,West Bengal
3206,secondary,0.094397128,0.42556262,0.385390729,0.041717988,0.248992234,0.185498223,0.565509558,0.308908969,0.371878415,0.375659913,0.252461672,State+Urban+edu_cat,19,0,state,urban/rural,2020,Education,2020,NA,NA,0.935183823,1.244251251,0.466215014,0.252309114,West Bengal
3207,tertiary,0.161184505,0.699041426,0.586366773,0.035240781,0.508347273,0.020187255,0.471465468,0.441078931,0.198896095,0.705473602,0.095630296,State+Urban+edu_cat,19,0,state,urban/rural,2020,Education,2020,NA,NA,1.540516973,1.793548703,0.297070891,0.124164186,West Bengal
3208,below primary,0.071182482,0.506501853,0.470447809,0.009772619,0.278962851,0.335876256,0.385160863,0.42056182,0.047113642,0.489133656,0.463752717,State+Urban+edu_cat,19,1,state,urban/rural,2020,Education,2020,NA,NA,0.393147618,0.792069674,0.720509827,0.445187747,West Bengal
3209,primary and middle,0.053780597,0.505870938,0.478664905,0.023156585,0.319598258,0.164602324,0.515799463,0.343776375,0.026584962,0.536313295,0.437101722,State+Urban+edu_cat,19,1,state,urban/rural,2020,Education,2020,NA,NA,0.748353064,1.138357997,0.545650244,0.28675136,West Bengal
3210,secondary,0.095370591,0.383124143,0.346585393,0.020468963,0.408758312,0.070713095,0.520528615,0.256771952,0.024856858,0.66825974,0.306883425,State+Urban+edu_cat,19,1,state,urban/rural,2020,Education,2020,NA,NA,1.12966454,1.476500511,0.42656672,0.237030596,West Bengal
