,m_poor_1_20,m_poor_1_33,m_poor_1_50,Year,level,area,dem,SourceSheet,sector,StateName,multidimensionally_poor_1_33,multidimensionally_poor_1_50,head_age_cat,edu_group,head_gender,hhsize_cat
503,0.111295834,0.027100578,0.002474625,2019,State,urban/rural,Age,statesector,1,Maharashtra,NA,NA,65+,NA,NA,NA
504,0.293761969,0,0,2019,State,urban/rural,Age,statesector,1,Maharashtra,NA,NA,NA,NA,NA,NA
766,0.472587675,0.226968348,0.047727235,2019,State,All,Education,state,99,Maharashtra,NA,NA,NA,No education / Preschool,NA,NA
767,0.339205712,0.1251259,0.020577431,2019,State,All,Education,state,99,Maharashtra,NA,NA,NA,Primary,NA,NA
768,0.200684637,0.047030915,0.002737898,2019,State,All,Education,state,99,Maharashtra,NA,NA,NA,Secondary,NA,NA
769,0.067349628,0.010939741,0.000303813,2019,State,All,Education,state,99,Maharashtra,NA,NA,NA,Higher,NA,NA
770,0.24174352,0.034554448,0,2019,State,All,Education,state,99,Maharashtra,NA,NA,NA,NA,NA,NA
1039,0.543400228,0.273478895,0.060460977,2019,State,urban/rural,Education,statesector,0,Maharashtra,NA,NA,NA,No education / Preschool,NA,NA
1040,0.401066571,0.160618246,0.028802937,2019,State,urban/rural,Education,statesector,0,Maharashtra,NA,NA,NA,Primary,NA,NA
1041,0.270422637,0.070546649,0.004064709,2019,State,urban/rural,Education,statesector,0,Maharashtra,NA,NA,NA,Secondary,NA,NA
1042,0.143259823,0.026421137,0.000952344,2019,State,urban/rural,Education,statesector,0,Maharashtra,NA,NA,NA,Higher,NA,NA
1043,0.383673072,0.087593645,0,2019,State,urban/rural,Education,statesector,0,Maharashtra,NA,NA,NA,NA,NA,NA
1044,0.29753527,0.111991726,0.016248727,2019,State,urban/rural,Education,statesector,1,Maharashtra,NA,NA,NA,No education / Preschool,NA,NA
1045,0.225208044,0.059720345,0.005419409,2019,State,urban/rural,Education,statesector,1,Maharashtra,NA,NA,NA,Primary,NA,NA
1046,0.118155248,0.019201906,0.001167723,2019,State,urban/rural,Education,statesector,1,Maharashtra,NA,NA,NA,Secondary,NA,NA
1047,0.031788528,0.003687282,0,2019,State,urban/rural,Education,statesector,1,Maharashtra,NA,NA,NA,Higher,NA,NA
1048,0.149277985,0,0,2019,State,urban/rural,Education,statesector,1,Maharashtra,NA,NA,NA,NA,NA,NA
1266,0.256699562,0.087661125,0.014031869,2019,State,All,Gender,state,99,Maharashtra,NA,NA,NA,NA,1,NA
1267,0.280102372,0.108207919,0.013630761,2019,State,All,Gender,state,99,Maharashtra,NA,NA,NA,NA,2,NA
1268,0.097317092,0.052512519,0,2019,State,All,Gender,state,99,Maharashtra,NA,NA,NA,NA,NA,NA
1422,0.346284568,0.128630415,0.021980505,2019,State,urban/rural,Gender,statesector,0,Maharashtra,NA,NA,NA,NA,1,NA
1423,0.410667807,0.180165052,0.024238409,2019,State,urban/rural,Gender,statesector,0,Maharashtra,NA,NA,NA,NA,2,NA
1424,0.084316172,0.05598785,0,2019,State,urban/rural,Gender,statesector,0,Maharashtra,NA,NA,NA,NA,NA,NA
1425,0.137240365,0.033029668,0.003432576,2019,State,urban/rural,Gender,statesector,1,Maharashtra,NA,NA,NA,NA,1,NA
1426,0.149379104,0.036163781,0.003010288,2019,State,urban/rural,Gender,statesector,1,Maharashtra,NA,NA,NA,NA,2,NA
1427,0.293761969,0,0,2019,State,urban/rural,Gender,statesector,1,Maharashtra,NA,NA,NA,NA,NA,NA
1607,0.531804144,0.268994629,0.010366766,2019,State,All,HH Size,state,99,Maharashtra,NA,NA,NA,NA,NA,1
1608,0.210624978,0.083861925,0.009289256,2019,State,All,HH Size,state,99,Maharashtra,NA,NA,NA,NA,NA,2 to 3
1609,0.227502033,0.074884407,0.013274808,2019,State,All,HH Size,state,99,Maharashtra,NA,NA,NA,NA,NA,4 to 6
1610,0.366438895,0.123456344,0.019981798,2019,State,All,HH Size,state,99,Maharashtra,NA,NA,NA,NA,NA,7+
1829,0.716911912,0.409437388,0.015082058,2019,State,urban/rural,HH Size,statesector,0,Maharashtra,NA,NA,NA,NA,NA,1
1830,0.322819293,0.137738883,0.017026816,2019,State,urban/rural,HH Size,statesector,0,Maharashtra,NA,NA,NA,NA,NA,2 to 3
1831,0.307906359,0.113463737,0.021970822,2019,State,urban/rural,HH Size,statesector,0,Maharashtra,NA,NA,NA,NA,NA,4 to 6
1832,0.4573735,0.162645236,0.026694547,2019,State,urban/rural,HH Size,statesector,0,Maharashtra,NA,NA,NA,NA,NA,7+
1833,0.280492187,0.078322202,0.00396504,2019,State,urban/rural,HH Size,statesector,1,Maharashtra,NA,NA,NA,NA,NA,1
1834,0.090617865,0.026233189,0.001012883,2019,State,urban/rural,HH Size,statesector,1,Maharashtra,NA,NA,NA,NA,NA,2 to 3
1835,0.126288161,0.026320305,0.002328167,2019,State,urban/rural,HH Size,statesector,1,Maharashtra,NA,NA,NA,NA,NA,4 to 6
1836,0.218381807,0.059650134,0.009052296,2019,State,urban/rural,HH Size,statesector,1,Maharashtra,NA,NA,NA,NA,NA,7+
1979,0.376726061,0.172534615,0.034828186,2015,State,All,All Households,state,99,Maharashtra,NA,NA,NA,NA,NA,NA
2033,0.520790577,0.272994369,0.057238515,2015,State,urban/rural,All Households,statesector,0,Maharashtra,NA,NA,NA,NA,NA,NA
2034,0.208589524,0.055288821,0.008673264,2015,State,urban/rural,All Households,statesector,1,Maharashtra,NA,NA,NA,NA,NA,NA
2163,0.51844126,0.278833181,0.074941143,2015,State,All,Age,state,99,Maharashtra,NA,NA,15 to 29,NA,NA,NA
2164,0.374164164,0.164348468,0.036712162,2015,State,All,Age,state,99,Maharashtra,NA,NA,30 to 45,NA,NA,NA
2165,0.346673429,0.148051858,0.027943062,2015,State,All,Age,state,99,Maharashtra,NA,NA,45 to 64,NA,NA,NA
2166,0.406964839,0.210907161,0.035110317,2015,State,All,Age,state,99,Maharashtra,NA,NA,65+,NA,NA,NA
2396,0.671311021,0.421148956,0.126641855,2015,State,urban/rural,Age,statesector,0,Maharashtra,NA,NA,15 to 29,NA,NA,NA
2397,0.517848074,0.266829461,0.06467063,2015,State,urban/rural,Age,statesector,0,Maharashtra,NA,NA,30 to 45,NA,NA,NA
2398,0.502674103,0.248957083,0.048929278,2015,State,urban/rural,Age,statesector,0,Maharashtra,NA,NA,45 to 64,NA,NA,NA
2399,0.52441138,0.292340189,0.045687594,2015,State,urban/rural,Age,statesector,0,Maharashtra,NA,NA,65+,NA,NA,NA
2400,0.365362853,0.136323199,0.023169896,2015,State,urban/rural,Age,statesector,1,Maharashtra,NA,NA,15 to 29,NA,NA,NA
2401,0.221700221,0.055605199,0.007045253,2015,State,urban/rural,Age,statesector,1,Maharashtra,NA,NA,30 to 45,NA,NA,NA
2402,0.178099081,0.039013624,0.005265349,2015,State,urban/rural,Age,statesector,1,Maharashtra,NA,NA,45 to 64,NA,NA,NA
2403,0.203684926,0.069960497,0.01680286,2015,State,urban/rural,Age,statesector,1,Maharashtra,NA,NA,65+,NA,NA,NA
2642,0.576264858,0.322890401,0.08310277,2015,State,All,Education,state,99,Maharashtra,NA,NA,NA,No education / Preschool,NA,NA
2643,0.450312763,0.223513514,0.052559864,2015,State,All,Education,state,99,Maharashtra,NA,NA,NA,Primary,NA,NA
2644,0.302231312,0.107000008,0.010154986,2015,State,All,Education,state,99,Maharashtra,NA,NA,NA,Secondary,NA,NA
2645,0.129179269,0.033560343,0.002450758,2015,State,All,Education,state,99,Maharashtra,NA,NA,NA,Higher,NA,NA
2646,0.378822714,0.146376953,0.024955735,2015,State,All,Education,state,99,Maharashtra,NA,NA,NA,NA,NA,NA
2910,0.676045895,0.417745888,0.115285099,2015,State,urban/rural,Education,statesector,0,Maharashtra,NA,NA,NA,No education / Preschool,NA,NA
2911,0.566084206,0.319805026,0.0753906,2015,State,urban/rural,Education,statesector,0,Maharashtra,NA,NA,NA,Primary,NA,NA
2912,0.432080716,0.180796161,0.017233953,2015,State,urban/rural,Education,statesector,0,Maharashtra,NA,NA,NA,Secondary,NA,NA
2913,0.271892309,0.090561688,0.007894997,2015,State,urban/rural,Education,statesector,0,Maharashtra,NA,NA,NA,Higher,NA,NA
2914,0.659308076,0.342118621,0.061063159,2015,State,urban/rural,Education,statesector,0,Maharashtra,NA,NA,NA,NA,NA,NA
2915,0.384776056,0.140854195,0.021341981,2015,State,urban/rural,Education,statesector,1,Maharashtra,NA,NA,NA,No education / Preschool,NA,NA
2916,0.285172641,0.086160235,0.019993376,2015,State,urban/rural,Education,statesector,1,Maharashtra,NA,NA,NA,Primary,NA,NA
2917,0.165152386,0.029095165,0.00268189,2015,State,urban/rural,Education,statesector,1,Maharashtra,NA,NA,NA,Secondary,NA,NA
2918,0.067252025,0.008825839,8.83E-05,2015,State,urban/rural,Education,statesector,1,Maharashtra,NA,NA,NA,Higher,NA,NA
2919,0.184964567,0.011089635,0,2015,State,urban/rural,Education,statesector,1,Maharashtra,NA,NA,NA,NA,NA,NA
3114,0.374551415,0.172142908,0.035204761,2015,State,All,Gender,state,99,Maharashtra,NA,NA,NA,NA,1,NA
3115,0.396047652,0.17601496,0.031482335,2015,State,All,Gender,state,99,Maharashtra,NA,NA,NA,NA,2,NA
3222,0.516053438,0.269479781,0.056763146,2015,State,urban/rural,Gender,statesector,0,Maharashtra,NA,NA,NA,NA,1,NA
3223,0.572640955,0.311463654,0.06244171,2015,State,urban/rural,Gender,statesector,0,Maharashtra,NA,NA,NA,NA,2,NA
3224,0.20229584,0.053651184,0.008960954,2015,State,urban/rural,Gender,statesector,1,Maharashtra,NA,NA,NA,NA,1,NA
3225,0.254082292,0.067126207,0.006593741,2015,State,urban/rural,Gender,statesector,1,Maharashtra,NA,NA,NA,NA,2,NA
3374,0.571833074,0.359693646,0.036347345,2015,State,All,HH Size,state,99,Maharashtra,NA,NA,NA,NA,NA,1
3375,0.29555136,0.14078182,0.017300151,2015,State,All,HH Size,state,99,Maharashtra,NA,NA,NA,NA,NA,2 to 3
3376,0.338751495,0.150952607,0.029263623,2015,State,All,HH Size,state,99,Maharashtra,NA,NA,NA,NA,NA,4 to 6
3377,0.486106455,0.224450544,0.054764669,2015,State,All,HH Size,state,99,Maharashtra,NA,NA,NA,NA,NA,7+
3590,0.799476206,0.637949526,0.067267396,2015,State,urban/rural,HH Size,statesector,0,Maharashtra,NA,NA,NA,NA,NA,1
3591,0.474532664,0.260991573,0.033320226,2015,State,urban/rural,HH Size,statesector,0,Maharashtra,NA,NA,NA,NA,NA,2 to 3
3592,0.472091228,0.240508631,0.047475733,2015,State,urban/rural,HH Size,statesector,0,Maharashtra,NA,NA,NA,NA,NA,4 to 6
3593,0.617864668,0.324397415,0.084143594,2015,State,urban/rural,HH Size,statesector,0,Maharashtra,NA,NA,NA,NA,NA,7+
3594,0.352127373,0.09113992,0.006505407,2015,State,urban/rural,HH Size,statesector,1,Maharashtra,NA,NA,NA,NA,NA,1
3595,0.136148468,0.033721581,0.003032483,2015,State,urban/rural,HH Size,statesector,1,Maharashtra,NA,NA,NA,NA,NA,2 to 3
3596,0.187564701,0.049409859,0.008613888,2015,State,urban/rural,HH Size,statesector,1,Maharashtra,NA,NA,NA,NA,NA,4 to 6
3597,0.297155499,0.081119373,0.012633134,2015,State,urban/rural,HH Size,statesector,1,Maharashtra,NA,NA,NA,NA,NA,7+
25,0.270726144,0.09671443,0.013775649,2019,State,All,All Households,state,99,Manipur,NA,NA,NA,NA,NA,NA
82,0.328859687,0.128732294,0.019285617,2019,State,urban/rural,All Households,statesector,0,Manipur,NA,NA,NA,NA,NA,NA
83,0.175272748,0.044142134,0.004728457,2019,State,urban/rural,All Households,statesector,1,Manipur,NA,NA,NA,NA,NA,NA
232,0.48533985,0.249102443,0.042919807,2019,State,All,Age,state,99,Manipur,NA,NA,15 to 29,NA,NA,NA
233,0.316090286,0.125037998,0.023639241,2019,State,All,Age,state,99,Manipur,NA,NA,30 to 45,NA,NA,NA
234,0.236458719,0.076462492,0.008085145,2019,State,All,Age,state,99,Manipur,NA,NA,45 to 64,NA,NA,NA
235,0.226541713,0.064458579,0.004616524,2019,State,All,Age,state,99,Manipur,NA,NA,65+,NA,NA,NA
236,0.677164674,0,0,2019,State,All,Age,state,99,Manipur,NA,NA,NA,NA,NA,NA
505,0.526888609,0.289896756,0.048654635,2019,State,urban/rural,Age,statesector,0,Manipur,NA,NA,15 to 29,NA,NA,NA
506,0.360844404,0.15777941,0.030814443,2019,State,urban/rural,Age,statesector,0,Manipur,NA,NA,30 to 45,NA,NA,NA
507,0.29514426,0.102527238,0.012560867,2019,State,urban/rural,Age,statesector,0,Manipur,NA,NA,45 to 64,NA,NA,NA
508,0.291949928,0.093355976,0.006360088,2019,State,urban/rural,Age,statesector,0,Manipur,NA,NA,65+,NA,NA,NA
509,0.677164674,0,0,2019,State,urban/rural,Age,statesector,0,Manipur,NA,NA,NA,NA,NA,NA
510,0.375496358,0.141253546,0.027758503,2019,State,urban/rural,Age,statesector,1,Manipur,NA,NA,15 to 29,NA,NA,NA
511,0.22956723,0.061739132,0.009767447,2019,State,urban/rural,Age,statesector,1,Manipur,NA,NA,30 to 45,NA,NA,NA
512,0.144355744,0.035555631,0.001060802,2019,State,urban/rural,Age,statesector,1,Manipur,NA,NA,45 to 64,NA,NA,NA
513,0.141135886,0.02672622,0.002339889,2019,State,urban/rural,Age,statesector,1,Manipur,NA,NA,65+,NA,NA,NA
771,0.401582628,0.182614401,0.034140024,2019,State,All,Education,state,99,Manipur,NA,NA,NA,No education / Preschool,NA,NA
772,0.40385896,0.184351578,0.044909492,2019,State,All,Education,state,99,Manipur,NA,NA,NA,Primary,NA,NA
773,0.247560069,0.072604075,0.003830551,2019,State,All,Education,state,99,Manipur,NA,NA,NA,Secondary,NA,NA
774,0.10813392,0.021036804,0.000312013,2019,State,All,Education,state,99,Manipur,NA,NA,NA,Higher,NA,NA
775,0.480294973,0,0,2019,State,All,Education,state,99,Manipur,NA,NA,NA,NA,NA,NA
1049,0.45451045,0.219574496,0.045115717,2019,State,urban/rural,Education,statesector,0,Manipur,NA,NA,NA,No education / Preschool,NA,NA
1050,0.448379815,0.21603933,0.054544952,2019,State,urban/rural,Education,statesector,0,Manipur,NA,NA,NA,Primary,NA,NA
1051,0.292266399,0.091924489,0.004249184,2019,State,urban/rural,Education,statesector,0,Manipur,NA,NA,NA,Secondary,NA,NA
1052,0.134251058,0.041325025,0.000746006,2019,State,urban/rural,Education,statesector,0,Manipur,NA,NA,NA,Higher,NA,NA
1053,0.401448041,0,0,2019,State,urban/rural,Education,statesector,0,Manipur,NA,NA,NA,NA,NA,NA
1054,0.270320773,0.090952754,0.006920136,2019,State,urban/rural,Education,statesector,1,Manipur,NA,NA,NA,No education / Preschool,NA,NA
1055,0.292233646,0.104902163,0.02075089,2019,State,urban/rural,Education,statesector,1,Manipur,NA,NA,NA,Primary,NA,NA
1056,0.170733258,0.039402399,0.00311114,2019,State,urban/rural,Education,statesector,1,Manipur,NA,NA,NA,Secondary,NA,NA
1057,0.089357384,0.006450876,0,2019,State,urban/rural,Education,statesector,1,Manipur,NA,NA,NA,Higher,NA,NA
1058,1,0,0,2019,State,urban/rural,Education,statesector,1,Manipur,NA,NA,NA,NA,NA,NA
1269,0.269340634,0.093151286,0.012575624,2019,State,All,Gender,state,99,Manipur,NA,NA,NA,NA,1,NA
1270,0.276313424,0.115754433,0.020111214,2019,State,All,Gender,state,99,Manipur,NA,NA,NA,NA,2,NA
1271,0.677164674,0,0,2019,State,All,Gender,state,99,Manipur,NA,NA,NA,NA,NA,NA
1428,0.328733385,0.127264619,0.017544433,2019,State,urban/rural,Gender,statesector,0,Manipur,NA,NA,NA,NA,1,NA
1429,0.32708475,0.138205573,0.029562568,2019,State,urban/rural,Gender,statesector,0,Manipur,NA,NA,NA,NA,2,NA
1430,0.677164674,0,0,2019,State,urban/rural,Gender,statesector,0,Manipur,NA,NA,NA,NA,NA,NA
1431,0.167554259,0.03468838,0.004060153,2019,State,urban/rural,Gender,statesector,1,Manipur,NA,NA,NA,NA,1,NA
1432,0.209685504,0.086291499,0.007708075,2019,State,urban/rural,Gender,statesector,1,Manipur,NA,NA,NA,NA,2,NA
1611,0.590117931,0.353544116,0.004854432,2019,State,All,HH Size,state,99,Manipur,NA,NA,NA,NA,NA,1
1612,0.238421887,0.092547767,0.011687404,2019,State,All,HH Size,state,99,Manipur,NA,NA,NA,NA,NA,2 to 3
1613,0.25117743,0.08882124,0.01364172,2019,State,All,HH Size,state,99,Manipur,NA,NA,NA,NA,NA,4 to 6
1614,0.342830807,0.111481413,0.016542783,2019,State,All,HH Size,state,99,Manipur,NA,NA,NA,NA,NA,7+
1837,0.701594055,0.4443928,0.007185112,2019,State,urban/rural,HH Size,statesector,0,Manipur,NA,NA,NA,NA,NA,1
1838,0.303889066,0.123464473,0.016416406,2019,State,urban/rural,HH Size,statesector,0,Manipur,NA,NA,NA,NA,NA,2 to 3
1839,0.297750235,0.119004838,0.019526435,2019,State,urban/rural,HH Size,statesector,0,Manipur,NA,NA,NA,NA,NA,4 to 6
1840,0.419561982,0.144936144,0.021790447,2019,State,urban/rural,HH Size,statesector,0,Manipur,NA,NA,NA,NA,NA,7+
1841,0.357930988,0.164320797,0,2019,State,urban/rural,HH Size,statesector,1,Manipur,NA,NA,NA,NA,NA,1
1842,0.133666009,0.043077081,0.004120396,2019,State,urban/rural,HH Size,statesector,1,Manipur,NA,NA,NA,NA,NA,2 to 3
1843,0.176636755,0.040511813,0.004223119,2019,State,urban/rural,HH Size,statesector,1,Manipur,NA,NA,NA,NA,NA,4 to 6
1844,0.205105096,0.051433124,0.007123693,2019,State,urban/rural,HH Size,statesector,1,Manipur,NA,NA,NA,NA,NA,7+
1980,0.447147965,0.210216776,0.034357831,2015,State,All,All Households,state,99,Manipur,NA,NA,NA,NA,NA,NA
2035,0.522437036,0.257400602,0.046627901,2015,State,urban/rural,All Households,statesector,0,Manipur,NA,NA,NA,NA,NA,NA
2036,0.328147978,0.13563925,0.014964073,2015,State,urban/rural,All Households,statesector,1,Manipur,NA,NA,NA,NA,NA,NA
2167,0.673936427,0.378684342,0.071633123,2015,State,All,Age,state,99,Manipur,NA,NA,15 to 29,NA,NA,NA
2168,0.511788905,0.266334474,0.055633418,2015,State,All,Age,state,99,Manipur,NA,NA,30 to 45,NA,NA,NA
2169,0.407743365,0.175093949,0.022819331,2015,State,All,Age,state,99,Manipur,NA,NA,45 to 64,NA,NA,NA
2170,0.376033545,0.156034261,0.016211299,2015,State,All,Age,state,99,Manipur,NA,NA,65+,NA,NA,NA
2171,1,1,0,2015,State,All,Age,state,99,Manipur,NA,NA,NA,NA,NA,NA
2404,0.70902437,0.41018036,0.077223115,2015,State,urban/rural,Age,statesector,0,Manipur,NA,NA,15 to 29,NA,NA,NA
2405,0.588920355,0.321370184,0.072755158,2015,State,urban/rural,Age,statesector,0,Manipur,NA,NA,30 to 45,NA,NA,NA
2406,0.481435657,0.218367904,0.031756584,2015,State,urban/rural,Age,statesector,0,Manipur,NA,NA,45 to 64,NA,NA,NA
2407,0.441408306,0.18543224,0.023896482,2015,State,urban/rural,Age,statesector,0,Manipur,NA,NA,65+,NA,NA,NA
2408,1,1,0,2015,State,urban/rural,Age,statesector,0,Manipur,NA,NA,NA,NA,NA,NA
2409,0.57854867,0.293061435,0.05643655,2015,State,urban/rural,Age,statesector,1,Manipur,NA,NA,15 to 29,NA,NA,NA
2410,0.374962121,0.168704286,0.025260439,2015,State,urban/rural,Age,statesector,1,Manipur,NA,NA,30 to 45,NA,NA,NA
2411,0.299983054,0.111814432,0.009750385,2015,State,urban/rural,Age,statesector,1,Manipur,NA,NA,45 to 64,NA,NA,NA
2412,0.285097957,0.115141995,0.00552129,2015,State,urban/rural,Age,statesector,1,Manipur,NA,NA,65+,NA,NA,NA
2647,0.589039385,0.340637505,0.075784221,2015,State,All,Education,state,99,Manipur,NA,NA,NA,No education / Preschool,NA,NA
2648,0.529219449,0.276738882,0.06202329,2015,State,All,Education,state,99,Manipur,NA,NA,NA,Primary,NA,NA
2649,0.403232992,0.155373082,0.00908468,2015,State,All,Education,state,99,Manipur,NA,NA,NA,Secondary,NA,NA
2650,0.220988348,0.0651059,0.002745025,2015,State,All,Education,state,99,Manipur,NA,NA,NA,Higher,NA,NA
2651,0.400560826,0.228189364,0.031594828,2015,State,All,Education,state,99,Manipur,NA,NA,NA,NA,NA,NA
2920,0.647954047,0.387879819,0.093729496,2015,State,urban/rural,Education,statesector,0,Manipur,NA,NA,NA,No education / Preschool,NA,NA
2921,0.602379382,0.328131735,0.077758707,2015,State,urban/rural,Education,statesector,0,Manipur,NA,NA,NA,Primary,NA,NA
2922,0.458566993,0.181169093,0.011501244,2015,State,urban/rural,Education,statesector,0,Manipur,NA,NA,NA,Secondary,NA,NA
2923,0.281831324,0.086224064,0.004626574,2015,State,urban/rural,Education,statesector,0,Manipur,NA,NA,NA,Higher,NA,NA
2924,0.387151033,0.189025745,0.029520165,2015,State,urban/rural,Education,statesector,0,Manipur,NA,NA,NA,NA,NA,NA
2925,0.462298214,0.239006653,0.037179139,2015,State,urban/rural,Education,statesector,1,Manipur,NA,NA,NA,No education / Preschool,NA,NA
2926,0.381141216,0.172717944,0.030174259,2015,State,urban/rural,Education,statesector,1,Manipur,NA,NA,NA,Primary,NA,NA
2927,0.318741828,0.115984358,0.005394754,2015,State,urban/rural,Education,statesector,1,Manipur,NA,NA,NA,Secondary,NA,NA
2928,0.175705135,0.04938842,0.001344657,2015,State,urban/rural,Education,statesector,1,Manipur,NA,NA,NA,Higher,NA,NA
2929,0.420934349,0.287690699,0.034746867,2015,State,urban/rural,Education,statesector,1,Manipur,NA,NA,NA,NA,NA,NA
3116,0.453639299,0.214220956,0.036594231,2015,State,All,Gender,state,99,Manipur,NA,NA,NA,NA,1,NA
3117,0.411368042,0.188145995,0.02203089,2015,State,All,Gender,state,99,Manipur,NA,NA,NA,NA,2,NA
3226,0.528195739,0.262032807,0.049259949,2015,State,urban/rural,Gender,statesector,0,Manipur,NA,NA,NA,NA,1,NA
3227,0.486504883,0.228497416,0.03020489,2015,State,urban/rural,Gender,statesector,0,Manipur,NA,NA,NA,NA,2,NA
3228,0.330087334,0.134989068,0.01560511,2015,State,urban/rural,Gender,statesector,1,Manipur,NA,NA,NA,NA,1,NA
3229,0.319189638,0.138642564,0.01200297,2015,State,urban/rural,Gender,statesector,1,Manipur,NA,NA,NA,NA,2,NA
3378,0.661308885,0.428017676,0.050423849,2015,State,All,HH Size,state,99,Manipur,NA,NA,NA,NA,NA,1
3379,0.426650852,0.187559545,0.02519151,2015,State,All,HH Size,state,99,Manipur,NA,NA,NA,NA,NA,2 to 3
3380,0.423624367,0.190839842,0.029929023,2015,State,All,HH Size,state,99,Manipur,NA,NA,NA,NA,NA,4 to 6
3381,0.501874864,0.257091492,0.047685478,2015,State,All,HH Size,state,99,Manipur,NA,NA,NA,NA,NA,7+
3598,0.743173778,0.517259955,0.07928849,2015,State,urban/rural,HH Size,statesector,0,Manipur,NA,NA,NA,NA,NA,1
3599,0.529599905,0.244280443,0.032237116,2015,State,urban/rural,HH Size,statesector,0,Manipur,NA,NA,NA,NA,NA,2 to 3
3600,0.507793486,0.238363445,0.042681437,2015,State,urban/rural,HH Size,statesector,0,Manipur,NA,NA,NA,NA,NA,4 to 6
3601,0.543389738,0.294598341,0.059666526,2015,State,urban/rural,HH Size,statesector,0,Manipur,NA,NA,NA,NA,NA,7+
3602,0.533563614,0.288760364,0.005382304,2015,State,urban/rural,HH Size,statesector,1,Manipur,NA,NA,NA,NA,NA,1
3603,0.282462001,0.108117126,0.015323544,2015,State,urban/rural,HH Size,statesector,1,Manipur,NA,NA,NA,NA,NA,2 to 3
3604,0.297457069,0.119603246,0.0108135,2015,State,urban/rural,HH Size,statesector,1,Manipur,NA,NA,NA,NA,NA,4 to 6
3605,0.423753142,0.186512038,0.025139827,2015,State,urban/rural,HH Size,statesector,1,Manipur,NA,NA,NA,NA,NA,7+
26,0.470389754,0.270190626,0.103065871,2019,State,All,All Households,state,99,Meghalaya,NA,NA,NA,NA,NA,NA
84,0.535354674,0.314662158,0.12106353,2019,State,urban/rural,All Households,statesector,0,Meghalaya,NA,NA,NA,NA,NA,NA
85,0.195468888,0.081994355,0.026902726,2019,State,urban/rural,All Households,statesector,1,Meghalaya,NA,NA,NA,NA,NA,NA
237,0.675306618,0.464891404,0.172866732,2019,State,All,Age,state,99,Meghalaya,NA,NA,15 to 29,NA,NA,NA
238,0.517493904,0.316613346,0.143270135,2019,State,All,Age,state,99,Meghalaya,NA,NA,30 to 45,NA,NA,NA
239,0.369709074,0.167375505,0.041757818,2019,State,All,Age,state,99,Meghalaya,NA,NA,45 to 64,NA,NA,NA
240,0.375837475,0.199935004,0.062134042,2019,State,All,Age,state,99,Meghalaya,NA,NA,65+,NA,NA,NA
241,0.659486175,0.659486175,0.033418424,2019,State,All,Age,state,99,Meghalaya,NA,NA,NA,NA,NA,NA
514,0.720507383,0.516291261,0.200367078,2019,State,urban/rural,Age,statesector,0,Meghalaya,NA,NA,15 to 29,NA,NA,NA
515,0.574065864,0.359143138,0.162112147,2019,State,urban/rural,Age,statesector,0,Meghalaya,NA,NA,30 to 45,NA,NA,NA
516,0.435590625,0.202303216,0.051410474,2019,State,urban/rural,Age,statesector,0,Meghalaya,NA,NA,45 to 64,NA,NA,NA
517,0.485648155,0.261789083,0.082557268,2019,State,urban/rural,Age,statesector,0,Meghalaya,NA,NA,65+,NA,NA,NA
518,1,1,0.050673429,2019,State,urban/rural,Age,statesector,0,Meghalaya,NA,NA,NA,NA,NA,NA
519,0.475192159,0.237332091,0.051116165,2019,State,urban/rural,Age,statesector,1,Meghalaya,NA,NA,15 to 29,NA,NA,NA
520,0.234618992,0.10395316,0.049054965,2019,State,urban/rural,Age,statesector,1,Meghalaya,NA,NA,30 to 45,NA,NA,NA
521,0.11410284,0.031863499,0.004307593,2019,State,urban/rural,Age,statesector,1,Meghalaya,NA,NA,45 to 64,NA,NA,NA
522,0.077765323,0.032037113,0.006696864,2019,State,urban/rural,Age,statesector,1,Meghalaya,NA,NA,65+,NA,NA,NA
523,0,0,0,2019,State,urban/rural,Age,statesector,1,Meghalaya,NA,NA,NA,NA,NA,NA
776,0.641044319,0.429314792,0.19628185,2019,State,All,Education,state,99,Meghalaya,NA,NA,NA,No education / Preschool,NA,NA
777,0.602522075,0.381546974,0.167091161,2019,State,All,Education,state,99,Meghalaya,NA,NA,NA,Primary,NA,NA
778,0.324878991,0.13214168,0.018005582,2019,State,All,Education,state,99,Meghalaya,NA,NA,NA,Secondary,NA,NA
779,0.146485969,0.029609667,0,2019,State,All,Education,state,99,Meghalaya,NA,NA,NA,Higher,NA,NA
780,0.560292065,0.372440279,0.016390871,2019,State,All,Education,state,99,Meghalaya,NA,NA,NA,NA,NA,NA
1059,0.665319562,0.448348224,0.207468823,2019,State,urban/rural,Education,statesector,0,Meghalaya,NA,NA,NA,No education / Preschool,NA,NA
1060,0.625272989,0.403476655,0.176037893,2019,State,urban/rural,Education,statesector,0,Meghalaya,NA,NA,NA,Primary,NA,NA
1061,0.380245924,0.158178627,0.019456897,2019,State,urban/rural,Education,statesector,0,Meghalaya,NA,NA,NA,Secondary,NA,NA
1062,0.29833737,0.059938937,0,2019,State,urban/rural,Education,statesector,0,Meghalaya,NA,NA,NA,Higher,NA,NA
1063,0.671041906,0.542679548,0.027499434,2019,State,urban/rural,Education,statesector,0,Meghalaya,NA,NA,NA,NA,NA,NA
1064,0.354235679,0.204436973,0.064109258,2019,State,urban/rural,Education,statesector,1,Meghalaya,NA,NA,NA,No education / Preschool,NA,NA
